geoid,dist_id,district,total_enroll,maep_expected_local_total,maep_expected_local_pp,maep_rev_fy24,local_share_expected_total,local_funding_28_mill,local_funding_27_pct,st_per_sq_mile,maep_rev_fy23,maep_fy23_pp,maep_fy24_pp,maep_rev_full_funding_fy24,maep_full_pp_fy24,gr_prek_enroll,gr_k_enroll,gr_1_enroll,gr_2_enroll,gr_3_enroll,gr_4_enroll,gr_5_enroll,gr_6_enroll,gr_7_enroll,gr_8_enroll,gr_9_enroll,gr_10_enroll,gr_11_enroll,gr_12_enroll,totalEnrollment,direct_cert_pct,vocational_enroll,ell_enroll,autism,deaf_blind,developmentally_delayed,emotional_disability,hearing_impaired,intellectual_disability,language_speech_impaired,multiple_disabilities,other_health_impairment,orthopedic_impairment,specific_learning_disability,traumatic_brain_injury,visually_impaired,sped_enroll,assessed_value,local_revenue,shortName,sq_miles,stpov_rate,federal_revenue,total_ada,sped_tier_1_enroll,sped_tier_2_enroll,sped_tier_3_enroll,ada_addon_fy24,teacher_addon_fy24,econ_dis_enroll,stpov_enroll,mill_1_value,mill_1_value_pp,local_share_mills,local_share_pp_mills,local_share_pct,local_share_pp_pct,rev_total_local_state,rev_pp_local_state,local_revenue_total,local_revenue_pp,urbanicity,mpv,mhi,sped_funding,at_risk_funding,cte_funding,local_share_expected_pp
2800750,614,CLEVELAND,2818,22420828.75,7956.291253,17288876.3,5131952.451,6140151.164,5131952.451,26.20708103,14704672,5218.123492,6135.158375,19007231.3,6744.936586,68,218,217,203,204,184,247,207,203,219,235,227,206,129,2818,0.4468,869,62,34,0,45,5,5,41,153,15,67,5,77,5,5,450,219291113,12328721.85,CLEVELAND,107.5281905,0.405,9162184.58,2530.39444,275,157,25,637882.11,1699925.19,1259.0824,1141.29,219291.113,77.8179961,12867080.14,4566.032696,13875278.85,4923.803708,27279790,9680,12328721,4374,Town,129500,35789,2073160,841033.2699,366002,1821.132878
2801090,2521,CLINTON,5211,39390599.66,7559.124862,31117297.25,8273302.408,8273302.408,9253574.798,38.89745096,27710753,5317.741892,5971.463683,34272499.25,6576.952456,46,342,324,369,358,383,376,444,405,452,465,468,395,348,5211,0.1769,1262,237,49,0,66,21,5,31,252,5,74,5,114,0,5,630,295475086,19754262.53,CLINTON,133.9676475,0.155,9536034.84,4786.26257,432,185,10,1193720.75,2470788.5,921.8259,807.705,295475.086,56.70218499,25999196.84,4989.291277,25018924.45,4801.175293,47207050,9059,19754262,3790,Rural,167600,62362,2332623,1518946.772,423413,1587.66118
2801110,1400,COAHOMA COUNTY,988,8562139.234,8666.132828,6601784.2,1960355.034,4089162.924,1960355.034,1.849373256,6170910,6245.860324,6681.967814,7260574.2,7348.759312,0,49,61,58,78,50,80,87,72,122,82,79,87,63,988,0.5342,365,0,5,0,5,5,5,15,36,5,24,5,66,5,5,162,146041533,5658673.3,COAHOMA COU,534.2350425,0.44,5966637.66,962.591506,107,59,15,226729.81,643050.39,527.7896,434.72,146041.533,147.8153168,3171411.276,3209.930441,5300219.166,5364.594298,11390677,11529,5658673,5727,Rural,71700,27333,992769,308992.9545,107670,1984.165014
2801140,8111,COFFEEVILLE,417,3615963.518,8671.375342,2788218.88,827744.6376,1406185.228,827744.6376,1.240349418,2336671,5603.527578,6686.376211,3065720.88,7351.848633,0,31,26,27,29,24,33,32,20,28,37,36,44,32,417,0.5037,131,0,5,0,5,5,0,5,15,5,5,5,21,0,0,67,50220901,1989737.93,COFFEEVILLE,336.1955864,0.351,2464604.96,368.960894,41,25,5,96067.99,277663.89,210.0429,146.367,50220.901,120.4338153,1659535.652,3979.701803,2237976.242,5366.849502,4404224,10561,1989737,4771,Rural,74000,38197,307919,117224.6558,57880,1984.999131
2801170,4620,COLUMBIA,1646,13236190.86,8041.428225,10813209.57,2422981.288,2422981.288,3218386.384,24.84560052,9044947,5495.107533,6569.38613,11919949.57,7241.767661,5,138,121,140,137,103,98,132,120,120,109,155,106,99,1646,0.3224,498,5,38,0,32,20,0,11,113,5,83,0,65,0,0,363,86535046,6203323.22,COLUMBIA,66.24915339,0.298,6256365.45,1419.66006,210,152,5,367442.53,816243.04,530.6704,490.508,86535.046,52.57293196,9496968.282,5769.725566,8701563.186,5286.490393,15832847,9618,6203323,3768,Town,94100,31430,1456267,459835.4194,79052,1472.042095
2801200,4420,COLUMBUS,3090,24212194.44,7835.661631,18666518.93,5545675.511,6158857.236,5545675.511,46.88638156,16151073,5226.884466,6040.944638,20539538.93,6647.099977,95,255,260,250,248,212,191,221,186,250,265,248,193,172,3090,0.5473,1104,45,69,0,61,33,5,31,91,5,109,5,98,5,5,506,219959187,13334111.09,COLUMBUS,65.90399808,0.329,13193710.86,2717.00049,250,252,15,694447.69,1675292.24,1691.157,1016.61,219959.187,71.18420291,14380681.69,4653.942296,14993863.42,4852.382983,29630890,9589,13334111,4315,Town,127200,40362,2375056,939256.1662,337991,1794.716994
2801220,1500,COPIAH COUNTY,2205,17568251.76,7967.461117,13884637.03,3683614.732,3683614.732,4129570.628,4.934095648,12820619,5814.339683,6296.887542,15294706.03,6936.374617,0,163,174,145,151,130,165,171,162,186,197,202,164,163,2205,0.3936,556,103,24,0,24,5,5,21,86,12,58,5,108,0,5,350,131557669,4941811.16,COPIAH COUN,446.8904045,0.247,6866971.38,2136.74843,218,118,17,509557.71,1106346.32,867.888,544.635,131557.669,59.66334195,11611091.3,5265.801042,11165135.4,5063.55347,17210544,7805,4941811,2241,Rural,99400,46493,1483727,671774.4036,137076,1670.573575
2801260,220,CORINTH,2490,17212260.76,6912.554521,14081800.53,3130460.228,3130460.228,4189722.443,81.66326477,12920052,5188.775904,5655.341578,15517490.53,6231.923908,119,187,193,200,188,182,204,187,174,154,193,176,132,141,2490,0.3242,965,231,35,0,32,5,0,18,98,5,33,5,89,5,5,318,111802151,6702195.74,CORINTH,30.49106605,0.27,5945567.09,2147.51111,219,96,15,548826.38,1041315.15,807.258,672.3,111802.151,44.90046225,12387030.3,4974.710965,11327768.09,4549.304453,19193854,7708,6702195,2691,Town,123400,38646,1309748,731117.5339,149433,1257.212943
2801290,1600,COVINGTON COUNTY,2609,21701161.52,8317.80817,16731988.5,4969173.015,8160987.716,4969173.015,6.305562967,14578892,5587.923342,6413.180721,18404344.5,7054.175738,0,241,209,188,195,178,177,208,192,226,229,216,179,103,2609,0.3836,559,61,34,0,65,5,5,36,167,5,51,0,248,0,0,618,291463847,10299071.68,COVINGTON C,413.7616282,0.286,11599438.1,2312.99991,480,131,5,600717.12,1580427.38,1000.8124,746.174,291463.847,111.7147746,10243356.78,3926.162048,13435171.49,5149.548289,24849915,9524,10299071,3947,Rural,77100,38178,2930320,761519.4541,323221,1904.627449
2801320,1700,DESOTO COUNTY,35003,263758600.3,7535.314125,205127931.5,58630668.77,58630668.77,60973728.9,73.49241433,181119369,5174.395595,5860.295733,225828625.5,6451.693442,5,2388,2584,2490,2574,2485,2564,2684,2736,2877,3092,2794,2597,2437,35003,0.1765,7346,1567,749,5,794,292,66,161,598,110,1131,24,1347,13,5,5297,2093952456,121174285.7,DESOTO COUN,476.2804477,0.127,51394776.14,30014.9157,2739,2423,133,8036987.35,16978282.19,6178.0295,4445.381,2093952.456,59.82208542,167197956.8,4776.67505,164854896.6,4709.736212,301286947,8607,121174285,3461,Suburb,168500,67038,25877680,10076320.69,1562060,1675.018392
2801410,6811,E. TALLAHATCHIE,853,7033428.15,8245.519519,5482119.09,1551309.06,1551309.06,1626653.634,2.320099545,4785661,5610.388042,6426.868804,6024643.09,7062.887562,20,59,60,50,72,40,57,79,55,79,94,70,51,60,853,0.4033,320,0,5,0,5,5,0,5,24,0,16,5,41,5,0,107,55403895,2587029.16,E. TALLAHAT,367.6566387,0.431,4882824.79,770.616667,70,36,5,195642.11,566081.98,344.0149,367.643,55403.895,64.95181125,4473334.03,5244.236846,4397989.456,5155.90792,7307424,8566,2587029,3032,Town,65600,31982,647247,264558.5527,59279,1818.650715
2801380,3111,EAST JASPER,755,6477766.72,8579.82347,4994728.85,1483037.87,2451217.468,1483037.87,2.285488557,3672371,4864.06755,6615.534901,5492732.85,7275.142848,5,59,47,55,65,39,58,50,59,56,62,64,54,64,755,0.3718,212,5,5,0,5,5,5,25,5,5,20,0,48,0,0,116,87543481,5808166.72,EAST JASPER,330.3451237,0.297,3508970.12,682.879915,58,60,5,171800.42,489891.43,280.709,224.235,87543.481,115.9516305,3041515.382,4028.497195,4009694.98,5310.854279,10141203,13432,5808166,7692,Rural,75100,31824,639301,230940.7437,43920,1964.288569
2801440,1211,ENTERPRISE,955,7593430.54,7951.236168,5855066.89,1738363.65,1784787.256,1738363.65,5.296080284,4969352,5203.509948,6130.960094,6438383.89,6741.763236,54,75,53,69,63,71,66,64,62,69,76,72,75,69,955,0.125,291,0,17,0,5,5,0,5,37,5,53,0,37,0,0,164,63742402,3690708.5,ENTERPRISE,180.3220399,0.145,1824087.87,798.201117,79,80,5,208497.93,571244.96,119.375,138.475,63742.402,66.74597068,4653596.634,4872.876057,4700020.24,4921.487162,8766032,9179,3690708,3864,Rural,109200,62896,680199,272743.7195,123212,1820.276074
2801470,6220,FOREST SEPARATE,1645,12267138.62,7457.227127,9600258.52,2666880.104,2666880.104,2853462.2,18.33270915,8395131,5103.4231,5836.023416,10568378.52,6424.546213,0,152,125,162,149,107,110,125,97,130,146,123,99,92,1645,0.265,182,510,16,0,37,5,5,12,71,5,16,5,80,0,5,243,95245718,5753213.69,FOREST SEPA,89.73032771,0.282,4835253.22,1487.47486,188,59,10,378194.67,798644.85,435.925,463.89,95245.718,57.90013252,7901498.416,4803.342502,7714916.32,4689.918735,14176632,8618,5753213,3497,Town,71100,31197,1013349,483513.7777,26415,1621.203711
2801510,1802,FORREST AHS,611,4932659.586,8073.092613,3802241.32,1130418.266,20963441.97,1130418.266,Inf,3286429,5378.770867,6222.980884,4186734.32,6852.265663,0,0,0,0,0,0,0,0,0,0,169,171,5,135,611,0.2814,480,11,5,0,0,5,0,5,0,5,32,5,48,5,5,113,748694356,2377849.11,FORREST AHS,0,0,1634607.82,525.039106,48,52,15,137674.08,319167.24,171.9354,0,748694.356,1225.359011,-16776707.65,-27457.78666,3056316.054,5002.153934,5723249,9367,2377849,3891,NA,NA,NA,431797,175397.9652,303964,1850.111729
2801490,1800,FORREST COUNTY,2129,17152312.86,8056.511442,13225239.85,3927073.01,5323374.588,3927073.01,6.099294675,11758426,5522.980742,6211.949202,14544714.85,6831.712001,57,212,221,188,188,196,164,225,198,209,72,61,47,45,2129,0.3396,575,101,28,0,40,14,5,5,142,5,74,5,93,0,5,418,190120521,9137099.36,FORREST COU,349.0567539,0.252,9825275.76,1940.25,275,131,10,480573.7,1264178.15,723.0084,536.508,190120.521,89.30038563,9221340.262,4331.301203,10617641.84,4987.149761,20617587,9684,9137099,4291,Rural,110900,39531,1873962,631433.0327,233371,1844.56224
2801530,1900,FRANKLIN COUNTY,1211,10361425.92,8556.09077,8409146.81,1952279.112,1952279.112,2500248.279,2.147597055,7162297,5914.365813,6943.96929,9260178.81,7646.720735,41,83,88,84,77,79,74,79,100,103,101,122,100,63,1211,0.2573,301,0,14,0,27,18,5,5,55,5,40,5,108,0,5,275,69724254,3442611.43,FRANKLIN CO,563.8860406,0.314,5208620.27,1086.38889,190,87,10,271608.29,732875.52,311.5903,380.254,69724.254,57.57576713,7307899.698,6034.599255,6759930.531,5582.106136,10847274,8957,3442611,2842,Rural,76600,40219,1232123,348749.8624,275179,1612.12148
2801560,2000,GEORGE COUNTY,4165,30804624.96,7396.068418,25442782.88,5361842.08,5361842.08,7566356.848,8.701916152,22230598,5337.478511,6108.711376,28023543.88,6728.341868,123,314,334,328,303,299,292,318,334,312,297,255,273,254,4165,0.2409,1368,55,54,0,72,13,12,32,125,5,99,5,278,5,5,697,191494360,9944452.61,GEORGE COUN,478.6302151,0.201,14084643.9,3607.17978,475,215,15,932630.86,2055456.02,1003.3485,837.165,191494.36,45.97703721,22661701.8,5440.984826,20457187.03,4911.689564,32399148,7778,9944452,2387,Rural,110800,47292,2616531,1193583.484,534023,1287.357042
2801590,2100,GREENE COUNTY,1640,13975838.28,8521.852611,10774043.01,3201795.273,3571711.892,3201795.273,2.301300767,9199826,5609.65,6569.538421,11858501.01,7230.793299,0,149,149,134,106,124,147,121,129,131,157,103,83,90,1640,0.2595,763,5,22,0,15,5,5,5,59,5,30,0,77,5,0,230,127561139,6635647.57,GREENE COUN,712.6404439,0.234,6685145.14,1503.28556,151,67,10,382168.28,956220.73,425.58,383.76,127561.139,77.78118232,8286789.118,5052.920194,8656705.737,5278.479108,16071301,9799,6635647,4046,Rural,77700,49677,1159160,484975.3827,433484,1952.314191
2801620,7620,GREENVILLE,3542,27385928.68,7731.769814,21983421.92,5402506.76,5402506.76,6532993.418,94.38547615,18699214,5279.281197,6206.499695,24196271.92,6831.245601,110,250,289,315,303,271,287,261,285,247,294,198,198,163,3542,0.6286,984,13,17,0,59,5,5,32,68,5,14,5,168,5,5,388,192946670,11675470.27,GREENVILLE,37.52696013,0.427,16480297.61,3148.30556,295,78,15,793554.33,1936298.59,2226.5012,1512.434,192946.67,54.47393281,18793765.16,5305.975483,17663278.5,4986.809289,30929039,8732,11675470,3296,Town,73000,26150,1973598,1072265.798,421923,1525.270119
