dist_id,district,total_enroll,model_5_total_funding,model_5_pp_funding,model_5_diff_total,model_5_diff_pp,model_5_state_share,model_5_state_share_pp,model_5_local_diff_total,model_5_local_share_total,model_5_local_share_pp,base_funding,sped_tier_1_funding,sped_tier_2_funding,sped_tier_3_funding,total_sped_funding,ell_funding,ed_funding,gifted_funding,vocational_funding,sparsity_funding,sped_pp_diff,ed_pp_diff,ell_enroll,gifted_enroll,econ_dis_enroll,stpov_enroll,sped_tier_1_enroll,sped_tier_2_enroll,sped_tier_3_enroll,maep_expected_local_total,maep_expected_local_pp,maep_rev_fy24,local_share_expected_total,local_funding_28_mill,local_funding_27_pct,maep_rev_fy23,maep_fy23_pp,maep_fy24_pp,maep_rev_full_funding_fy24,maep_full_pp_fy24,direct_cert_pct,vocational_enroll,assessed_value,stpov_rate,mill_1_value,mill_1_value_pp,local_share_mills,local_share_pp_mills,local_share_pct,sped_funding,at_risk_funding,cte_funding,local_share_expected_pp,sparsity_weight_adj,model_5_local_mills_total,cte_pp_funding,cte_model_5_pp,cte_pp_diff
4320,BROOKHAVEN,2586,18777272.032,7261.12607579273,1265603.8420000002,489.40597138437715,13707408.583360001,5300.6220353286935,-7058933.561359999,5069863.448640001,1960.5040404640374,15257400,977040,848125,100300,1925465,34220,1192823.532,38143.5,329220,0,792.4289276807976,411.6293297414478,29,129.3,1010.8674,724.08,276,115,10,17511668.19,6771.720104408353,13459833,4051835.19,6022839.676,4051835.19,13659606,5282.136890951276,5204.885150812065,15006797,5803.092420726992,0.3909,558,215101417,0.28,215101.417,83.17920224284609,8983957.324000001,3474.074757927301,10954961.81,1607701,776720.86168052,280855,1566.834953596288,0,6022839.676,503.32437275985666,590,86.67562724014334
0700,CALHOUN COUNTY,2080,15521141.166097924,7462.08709908554,635326.9220979232,305.44563562400253,12665918.922097925,6089.384097162464,-2110525.2360000005,2855222.244,1372.703001923077,12272000,1047840,597375,100300,1745515,158120,665633.28,30680,470820,178372.88609792493,974.5529715762273,50.26418817293529,134,104,564.096,673.9200000000001,296,81,10,14885814.244,7156.641463461538,12030592,2855222.244,2855222.244,3621588.57,12223903,5876.876442307693,5783.9384615384615,13413291,6448.6975961538465,0.2712,798,101972223,0.324,101972.223,49.02510721153846,10558068.756,5075.9945942307695,9791702.43,1368363,637279.4525084,489806,1372.703001923077,0.01453494834565881,2855222.244,613.7919799498746,590,-23.791979949874644
4520,CANTON,3166,23426776.944,7399.487348073278,2774082.573999997,876.2105413771305,17101547.16912,5401.625764093493,-10219256.185120001,6325229.77488,1997.8615839797853,18679400,573480,1209500,160480,1943460,363440,1816758.4440000001,46698.5,577020,0,823.2134502923973,596.907033946846,308,158.3,1539.6258,987.792,162,164,16,20652694.37,6523.276806696147,15874091,4778603.37,8080929.304,4778603.37,15486257,4891.426721415035,5013.926405559065,17698531,5590.18667087808,0.4863,978,288604618,0.312,288604.618,91.15749147188882,9617601.696,3037.7769096651923,12919927.63,1661921,897744.97433396,393681,1509.3504011370817,0,8080929.3040000005,402.5368098159509,590,187.4631901840491
0800,CARROLL COUNTY,805,6151198.88918507,7641.240856130522,428673.9091850696,532.5141729007073,4490375.189105101,5578.1058249752805,-1235951.629920031,1660823.7000799691,2063.135031155241,4749500,332760,280250,50150,663160,38940,406082.25,11873.75,105020,176622.8891850703,6.3284671532846914,457.1125432020631,33,40.25,344.1375,177.905,94,38,5,5722524.98,7108.726683229815,4398452,1324072.98,2510623.22,1324072.98,4615780,5733.888198757764,5463.91552795031,4903974,6091.893167701864,0.4275,178,89665115,0.221,89665.115,111.38523602484472,2393350.78,2973.106559006211,3579901.02,662293,248772.6821638,99740,1644.811155279503,0.03718768063692395,2510623.22,560.3370786516854,590,29.662921348314626
0911,CHICKASAW COUNTY CONSOL,2214,16414594.376,7413.999266485998,1075541.972000001,485.7913152664869,14195609.972,6411.747954832881,-2257055.666,2218984.404,1002.2513116531165,13062600,757560,1047250,100300,1905110,54280,865527.876,32656.5,494420,0,1051.5491803278692,298.8229756209355,46,110.7,733.4982,584.496,214,142,10,15339052.404,6928.207951219511,13120068,2218984.404,2218984.404,3949555.41,12877302,5816.306233062331,5925.956639566396,14627983,6607.038392050587,0.3313,838,79249443,0.264,79249.443,35.79468970189702,12408998.596,5604.787080397471,10678427.59,1520243,646341.7612634,378375,1002.2513116531164,0,2218984.404,451.5214797136038,590,138.4785202863962
1000,CHOCTAW COUNTY,1230,9391124.998483302,7635.060974376668,228131.13848330267,185.47247031162806,6855521.24889281,5573.594511294968,-8531713.460409509,2535603.749590492,2061.4664630817006,7257000,623040,781750,0,1404790,5900,336434.52,18142.5,219480,149377.97848330266,597.2234042553191,-68.82638952573348,5,61.5,285.11400000000003,364.08,176,106,0,9162993.86,7449.58850406504,7042868,2120125.8600000003,7774436.208,2120125.8600000003,6945544,5646.783739837399,5725.908943089431,7852318,6383.99837398374,0.2318,372,277658436,0.29600000000000004,277658.436,225.7385658536585,77881.79200000037,63.31853008130111,5732192.14,1236373,356057.88722324,239967,1723.67956097561,0.02058398490881944,7774436.208,645.0725806451613,590,-55.07258064516134
1100,CLAIBORNE COUNTY,1188,9435627.560870823,7942.447441810456,818780.7208708227,689.2093610023758,7250790.108870823,6103.3586775006925,-3107900.248,2184837.452,1839.0887643097644,7009200,279660,656375,160480,1096515,0,785871.504,17523,346920,179598.05687082114,1419.032608695652,638.7888906660852,0,59.400000000000006,665.9928,472.824,79,89,16,8616846.84,7253.238080808081,6623088,1993758.84,2184837.452,1993758.84,6431257,5413.5159932659935,5574.989898989899,7384292,6215.7340067340065,0.5606,588,78029909,0.398,78029.909,65.68174158249158,5199454.548,4376.6452424242425,5390533.16,835413,360442.7020964,371360,1678.2481818181818,0.02562318907590326,2184837.452,631.5646258503401,590,-41.56462585034012
1420,CLARKSDALE,2118,15667780.872,7397.441393767705,1589189.5599999987,750.3255712936734,13650558.559999999,6445.022927289895,-3023745.368,2017222.312,952.4184664778093,12496200,403560,752250,200600,1356410,31860,1412820.372,31240.5,339250,0,-481.5084745762715,665.3179271696595,27,105.9,1197.3054,1092.888,114,102,20,14078591.312,6647.115822474032,12061369,2017222.312,2017222.312,3630853.35,11613241,5483.116619452314,5694.6973559962225,13447605,6349.199716713881,0.5653,575,72043654,0.516,72043.654,34.014945231350325,11430382.688,5396.781250236072,9816751.65,1470046,616231.62508296,213402,952.4184664778091,0,2017222.312,371.1339130434783,590,218.8660869565217
0614,CLEVELAND,2818,21121477.732,7495.2014662881475,1669664.2520000003,592.4997345635202,15418678.74436,5471.497070390347,-6625922.862359999,5702798.987640001,2023.7043958978002,16626200,973500,1157875,250750,2382125,73160,1485717.232,41565.5,512710,0,676.0722100656458,512.0268237361748,62,140.9,1259.0824,1141.29,275,157,25,19451813.48,6902.701731724627,14951069,4500744.48,6140151.164000001,4500744.48,14704672,5218.123491838183,5305.560326472676,16669424,5915.338537970191,0.4468,869,219291113,0.405,219291.113,77.81799609652236,10529272.836,3736.434647267565,12168679.52,2073160,841033.26990588,366002,1597.141405251952,0,6140151.164000001,421.1760644418872,590,168.8239355581128
2521,CLINTON,5211,35927711.812,6894.590637497601,210766.51200000197,40.4464617156018,27654409.404,5306.929457685665,-11480960.122000001,8273302.408,1587.6611798119363,30744900,1529280,1364375,100300,2993955,279660,1087754.5620000002,76862.25,744580,0,1054.7559808612436,-467.7588363566699,237,260.55,921.8259,807.705,432,185,10,35716945.3,6854.144175781999,27452788,8264157.300000001,8273302.408,8264157.300000001,27710753,5317.741892151219,5268.2379581654195,30607990,5873.726731913261,0.1769,1262,295475086,0.155,295475.086,56.70218499328344,22334687.592,4286.065552101324,22343832.7,2332623,1518946.77230744,423413,1585.9062176165803,0,8273302.408,335.5095087163233,590,254.4904912836767
