dist_id,district,model_4_total_funding,model_4_pp_funding,model_4_diff_pp,model_4_local_share_total,model_4_diff_total,base_funding,sped_tier_1_funding,sped_tier_2_funding,sped_tier_3_funding,total_sped_funding,ell_funding,ed_funding,gifted_funding,vocational_funding,sparsity_funding,conc_pov_funding,geoid,total_enroll,local_diff_pp,maep_expected_local_total,maep_expected_local_pp,maep_rev_fy24,local_share_expected_total,local_funding_28_mill,local_funding_27_pct,st_per_sq_mile,maep_rev_fy23,maep_fy23_pp,maep_fy24_pp,maep_rev_full_funding_fy24,maep_full_pp_fy24,gr_prek_enroll,gr_k_enroll,gr_1_enroll,gr_2_enroll,gr_3_enroll,gr_4_enroll,gr_5_enroll,gr_6_enroll,gr_7_enroll,gr_8_enroll,gr_9_enroll,gr_10_enroll,gr_11_enroll,gr_12_enroll,totalEnrollment,direct_cert_pct,vocational_enroll,ell_enroll,autism,deaf_blind,developmentally_delayed,emotional_disability,hearing_impaired,intellectual_disability,language_speech_impaired,multiple_disabilities,other_health_impairment,orthopedic_impairment,specific_learning_disability,traumatic_brain_injury,visually_impaired,sped_enroll,assessed_value,local_revenue,shortName,sq_miles,stpov_rate,federal_revenue,total_ada,sped_tier_1_enroll,sped_tier_2_enroll,sped_tier_3_enroll,ada_addon_fy24,teacher_addon_fy24,econ_dis_enroll,stpov_enroll,mill_1_value,mill_1_value_pp,local_share_mills,local_share_pp_mills,local_share_pct,local_share_pp_pct,rev_total_local_state,rev_pp_local_state,local_revenue_total,local_revenue_pp,urbanicity,mpv,mhi,sped_funding,at_risk_funding,cte_funding,local_share_expected_pp,sparsity_weight_adj,conc_pov_weight_adj,conc_pov_adm,gifted_enroll,sparsity_weighted_enroll,model_4_local_mills_total,model_4_local_pct_total,model_4_local_share_pp,model_4_state_share,model_4_state_share_pp,model_4_local_diff_total,current_local_pp,model_4_local_diff_pp,sped_pp_funding,sped_model_4_pp,sped_pp_diff,at_risk_pp_funding,ed_model_4_pp,ed_pp_diff,cte_pp_funding,cte_model_4_pp,cte_pp_diff
4000,LEAKE COUNTY,21183220.04011103,8366.200647753172,276.1050458574382,3731170.044,699097.9761110321,16078200,910590,1571625,140335,2622550,346710,1511190.0180000002,40195.5,446405,137969.52211103213,0,2802520,2532,661.3941374407582,20484122.064,8090.095601895734,16752952.02,3731170.044,3731170.044,4982155.2954,4.344414921585149,14271744,5636.549763033176,6616.489739336493,18452427.02,7287.688396524486,0,200,214,182,170,164,183,153,179,221,230,214,146,178,2532,0.3133,703,273,41,0,84,19,5,24,53,13,104,5,102,0,0,445,133256073,5407327.41,LEAKE COUNT,582.8172597925218,0.289,10802074.2,2305.08907,239,198,13,585523.89,1380629.13,793.2756,731.7479999999999,133256.073,52.62878080568721,14721256.976,5814.082533965245,13470271.724599998,5320.012529462874,20194126,7975,5407327,2135,Town,83300,37096,2171897,753334.28731416,330948,1473.6058625592418,0.006555850784148509,0,0,126.60000000000001,3314.21268,3731170.044,5719469.410829979,1473.6058625592418,17452049.99611103,6892.59478519393,-1676157.366,2135.595343601896,-661.989481042654,4826.437777777778,5827.888888888889,1001.4511111111105,949.650143423244,1905,955.349856576756,470.7652916073969,635,164.23470839260312
4100,LEE COUNTY,49438680.015,7843.674443122322,-55.40086292241813,10281198.424,-349191.63899999857,40024050,2495550,2460625,226695,5182870,158750,2953774.89,100060.12500000001,1019175,0,0,2802550,6303,2148.8404848484847,49787871.654,7899.0753060447405,39506673.23,10281198.424,10281198.424,11727518.9121,20.45800627480389,33279992,5280.024115500555,6267.915790893225,43435255.23,6891.20343169919,0,501,507,496,465,426,464,476,487,499,522,530,428,433,6303,0.246,1605,125,84,0,87,36,5,39,227,11,141,5,341,5,5,984,367185658,23825813.85,LEE COUNTY,308.0945384087982,0.196,12212271.08,5627.86111,655,310,21,1458784.26,3866068.97,1550.538,1235.388,367185.658,58.25569696969697,33154056.80599999,5260.043916547675,31707736.317899995,5030.578505140408,58007633,9203,23825813,3780,Rural,121200,49723,3681223,1827354.36881476,540267,1631.1595151515153,0,0,0,315.15000000000003,7785.6188999999995,10281198.424,13348443.604050001,1631.1595151515153,39157481.591,6212.514927970808,-13544615.426,3780.075178486435,-2148.91566333492,3733.4918864097363,5256.4604462474645,1522.9685598377282,1178.5292387640677,1905,726.4707612359323,336.614953271028,635,298.385046728972
4225,LEFLORE LEGACY,2508656.4,8362.188,404.38928258726264,484922.4552238213,121316.78477617865,1905000,60960,119062.5,53975,233997.5,0,321297.3,4762.5,3175,0,40424.10000000001,.,300,NA,2387339.6152238213,7957.7987174127375,1902417.16,484922.4552238213,484922.4552238213,569206.2132000001,Inf,1703264,5677.546666666667,6341.390533333334,2108171.16,7027.2372000000005,0,0,0,0,0,0,0,89,5,87,0,0,0,0,241,0.5622,5,0,0,0,0,5,0,5,5,5,5,0,11,0,0,22,17318659.115136474,772039.69,LEFLORE LEG,0,0.473,1012642.76,180.584932,16,15,5,55396.87,56793.29,168.66,141.9,17318.659115136474,57.72886371712158,1623248.7047761788,5410.829015920596,1538964.9468,5129.883156,NA,NA,NA,NA,NA,NA,NA,46028,98796.61876488,0,1616.4081840794042,0,0.21220000000000006,63.66000000000002,15,395.064,484922.4552238213,677337.228,1616.4081840794042,2023733.9447761786,6745.779815920595,-287117.23477617867,2573.4656333333332,-957.057449253929,1278.5555555555557,6499.930555555556,5221.375,585.7738572564923,1905,1319.2261427435078,0,635,635
7612,LELAND,6137898.51278371,8768.426446833872,679.5315574053002,1657232.5984516018,475672.09018370975,4445000,259080,238125,53975,551180,0,786231.6000000001,11112.5,157480,80392.21278370966,106502.20000000003,2802610,700,3711.524224857143,5662226.4226,8088.894889428571,4366193.38,1296033.0426,1821726.508,1296033.0426,3.6728497041148818,3691126,5273.0371428571425,6237.419114285714,4800122.38,6857.317685714285,42,43,40,50,54,44,57,55,53,66,54,43,45,29,700,0.5896,248,0,5,0,5,5,0,15,36,5,5,0,27,0,0,90,65061661,3894638.12,LELAND,190.5877061116207,0.305,5355699.91,631.15,68,30,5,152867.31,437800.07,412.72,213.5,65061.661,92.94523,2978395.872,4254.851245714286,3504089.3373999996,5005.841910571428,7670164,10957,3894638,5563,Town,72000,38088,403540,196738.47161756,139560,1851.4757751428572,0.013271502958851182,0.23960000000000004,167.72000000000003,35,953.938,1821726.508,1657232.5984516018,2367.4751406451455,4480665.914332109,6400.951306188726,-2237405.5215483983,5563.768742857143,-3196.293602211997,3917.864077669903,5351.26213592233,1433.3980582524273,476.6875160340182,1905,1428.3124839659818,562.741935483871,635,72.25806451612902
4300,LINCOLN COUNTY,22010040.1175,7874.790739713774,13.432953667263064,3318204.652,37545.10550000146,17748250,1173480,984250,161925,2319655,15240,1247524.4925000002,44370.625,635000,0,0,2802640,2795,1001.8069223613596,21972495.012,7861.357786046511,18654290.36,3318204.652,3318204.652,5552462.8872,6.414606713935994,16291711,5828.876923076923,6674.164708407871,20564677.36,7357.66631842576,0,218,247,188,207,207,218,221,227,219,240,237,176,171,2795,0.2343,1000,12,22,0,19,12,5,27,122,5,58,0,167,5,5,437,118507309,6118841.939999999,LINCOLN COU,435.7242968501481,0.204,4856062.13,2580.22472,308,124,15,649101.73,1383288.63,654.8685,570.18,118507.309,42.39975277280858,17246472.708,6170.47324078712,15012214.4728,5371.096412450805,22740741,8136,6118841,2189,Rural,95000,50288,1605913,815307.9485986,325768,1187.1930776386405,0,0,0,139.75,3466.1480500000007,3318204.652,5942710.831725,1187.1930776386403,18691835.4655,6687.597662075134,-2800637.287999999,2189.209996422182,-1002.0169187835418,3592.646532438479,5189.384787472036,1596.738255033557,1244.9949090521227,1905.0000000000002,660.0050909478775,325.768,635,309.232
2422,LONG BEACH,23421152.929,7996.296664049164,44.97132980539482,4251399.544,131721.02500000224,18599150,1059180,1754187.5,205105,3018472.5,60960,1278877.5539999998,46497.87500000001,417195,0,0,2802670,2929,2012.5150071696823,23289431.904,7951.325334243769,19038032.36,4251399.544,4251399.544,5665847.4972,180.4985717233992,17060468,5824.6732673267325,6499.840341413452,20984620.36,7164.431669511779,37,194,226,211,178,214,242,216,199,245,269,237,208,205,2929,0.2292,657,48,60,0,74,30,5,16,95,14,105,5,109,0,5,511,151835698,10147927.49,LONG BEACH,16.227275219044266,0.171,10563525.94,2663.46667,278,221,19,668969.81,1432179.55,671.3267999999999,500.859,151835.698,51.838749743939914,16733220.816,5712.946676681461,15318772.862799998,5230.035118743598,27084810,9247,10147927,3464,Suburb,151300,53491,2371597,852141.64659312,222298,1451.4849928303174,0,0,0,146.45000000000002,3688.3705400000003,4251399.544,6323711.290830001,1451.4849928303174,19169753.385,6544.811671218847,-5896527.946,3464.6389518607034,-2013.153959030386,4578.372586872587,5827.166988416989,1248.7944015444018,1269.3395326882824,1904.9999999999998,635.6604673117174,338.3531202435312,635,296.6468797564688
8020,LOUISVILLE,20208788.953277644,8009.825189567041,-127.46845212935204,4553163.888,-321602.9047223553,16021050,750570,642937.5,107950,1501457.5,6350,1817267.7015,40052.625,608330,169261.97627764713,45019.150500000025,2802700,2523,1646.3373412604042,20530391.858,8137.293641696393,15977227.97,4553163.888,4553163.888,4745276.4519,4.155359423044693,13490290,5346.9242964724535,6332.630982956797,17575097.97,6965.952425683709,39,173,208,176,155,145,184,163,214,234,212,206,189,185,2523,0.3781,958,5,22,0,30,5,5,11,57,5,33,5,110,0,5,288,162612996,8706891.66,LOUISVILLE,607.1676943294018,0.3,8989137.49,2317.5366,197,81,10,574304.27,1500172.7,953.9463,756.9,162612.996,64.45223781212843,13021934.082,5161.289766944114,12829821.5181,5085.145270749108,22609642,8961,8706891,3451,Town,84900,34724,1458545,767365.87391684,483678,1804.662658739596,0.008446405769553068,0.028100000000000014,70.89630000000004,126.15,3155.8310199999996,4553163.888,5456373.017384964,1804.6626587395958,15655625.065277644,6205.162530827445,-4153727.772,3451.0073959571937,-1646.3447372175979,5064.392361111111,5213.394097222223,149.0017361111113,804.4120239439474,1905,1100.5879760560526,504.8830897703549,635,130.1169102296451
4400,LOWNDES COUNTY,41749631.8295,7935.6836779129435,111.27634512450004,11272400.593965,585424.8517000005,33407350,2045970,2500312.5,323850,4870132.5,36830,2354215.9545,83518.375,997585,0,0,2802730,5261,4385.133275460939,41164206.9778,7824.4073327884435,31731935.14,9432271.8378,14721070.056,9432271.8378,11.971104316286183,27400597,5208.248812012926,6031.540608249383,34934340.14,6640.247127922448,133,366,424,356,356,354,401,355,421,403,482,401,341,389,5261,0.2349,1571,29,77,0,74,42,5,25,181,20,161,5,282,5,5,874,525752502,32506676.7,LOWNDES COU,439.4749106682356,0.182,11894740.24,4739.23333,537,315,30,1197694.37,2670741.77,1235.8089,957.502,525752.502,99.9339482988025,20213270.084,3842.096575555978,25502068.3022,4847.380403383388,60370175,11475,32506676,6178,Rural,139400,61457,3521717,1550810.29741144,514790,1792.866724539061,0,0,0,263.05,6574.74517,14721070.056,11272400.593965,2142.634593036495,30477231.235534996,5793.049084876448,-21234276.106035,6178.8018817715265,-4036.1672887350314,3992.87641723356,5521.692176870748,1528.815759637188,1254.8949092464377,1905,650.1050907535623,327.6830044557607,635,307.3169955442393
4500,MADISON COUNTY,101036918.83,7676.410790913235,37.801336438230464,27279968.0841,497541.190200001,83578700,3093720,6270625,809625,10173970,760730,3209422.08,208946.75,3105150,0,0,2802790,13162,4436.726189044218,100539377.6398,7638.609454475005,77528597.74000001,23010779.899800003,43065030.428,23010779.899800003,24.987582801714243,65947698,5010.461783923416,5890.335643519223,85225110.74000001,6475.088188725119,85,888,1009,942,929,917,1001,943,978,1038,1151,1128,992,916,13162,0.128,4890,599,213,0,91,76,17,75,325,65,404,5,396,5,5,1680,1538036801,81414049.97,MADISON COU,526.7416262087198,0.101,18540132.69,11965.6851,812,790,75,3033504.59,7529248.15,1684.736,1329.362,1538036.801,116.8543383224434,42160080.31200001,3203.1667156967032,62214330.84020001,4726.814377769337,148379894,11273,81414049,6185,Suburb,228300,83293,6936614,3809644.23340488,1200043,1748.273810955782,0,0,0,658.1,15911.3258,43065030.428,27279968.0841,2072.6309135465735,73756950.7459,5603.779877366662,-54134081.8859,6185.537909892114,-4112.90699634554,4136.323196183661,6066.768038163387,1930.4448419797263,2261.270747111049,1905,-356.2707471110489,245.4075664621677,635,389.59243353783233
4600,MARION COUNTY,15660584.111968702,8225.096697462553,-212.55118594080704,2836300.1799999997,-404697.45803129673,12090400,910590,762000,53975,1726565,6350,1171197.048,30226,480695,155151.06396870044,0,2802820,1904,1470.3465441176472,16065281.569999998,8437.64788340336,13228981.39,2836300.1799999997,2836300.1799999997,3935226.6153,3.999376131653976,11385341,5979.695903361345,6947.994427521007,14574913.39,7654.891486344537,40,144,147,119,138,116,128,166,148,175,177,154,120,114,1904,0.3229,757,5,15,0,11,12,5,14,145,5,45,5,83,0,0,334,101296435,5635882.7,MARION COUN,476.0742519140315,0.27399999999999997,9011834.97,1727.22803,239,96,5,436162.7,1082127.69,614.8016,521.6959999999999,101296.435,53.20190913865546,11738613.21,6165.238030462185,10639686.7747,5588.070785031512,17346573,9110,5635882,2960,Rural,86200,32855,1346342,567705.08742668,483338,1489.6534558823528,0.01000623868346024,0,0,95.2,2441.8004800000003,2836300.1799999997,4228357.71023155,1489.6534558823528,12824283.931968702,6735.4432415802,-2799582.5200000005,2960.0224264705885,-1470.3689705882357,3959.829411764706,5078.132352941177,1118.3029411764705,923.3955920522653,1905,981.6044079477347,638.4914134742404,635,-3.491413474240403
