geoid,dist_id,district,maep_expected_local_addon_total,maep_expected_local_addon_pp,maep_rev_fy24,local_share_expected_total,local_funding_28_mill,local_funding_27_pct,total_enroll,st_per_sq_mile,maep_rev_fy23,maep_fy23_pp,maep_fy24_pp,maep_fy24_addon_total,maep_full_addon_pp_fy24,gr_prek_enroll,gr_k_enroll,gr_1_enroll,gr_2_enroll,gr_3_enroll,gr_4_enroll,gr_5_enroll,gr_6_enroll,gr_7_enroll,gr_8_enroll,gr_9_enroll,gr_10_enroll,gr_11_enroll,gr_12_enroll,direct_cert_pct,vocational_enroll,ell_enroll,autism,deaf_blind,developmentally_delayed,emotional_disability,hearing_impaired,intellectual_disability,language_speech_impaired,multiple_disabilities,other_health_impairment,orthopedic_impairment,specific_learning_disability,traumatic_brain_injury,visually_impaired,sped_enroll,assessed_value,maep_rev_full_funding_fy24,local_revenue,shortName,sq_miles,stpov_rate,federal_revenue,total_ada,sped_tier_1_enroll,sped_tier_2_enroll,sped_tier_3_enroll,teacher_add_fy24,ada_add_fy24,econ_dis_enroll,stpov_enroll,mill_1_value,mill_1_value_pp,local_share_mills,local_share_pp_mills,local_share_pct,local_share_pp_pct,rev_total_local_state,rev_pp_local_state,local_revenue_total,local_revenue_pp,urbanicity,mpv,mhi,sped_funding,at_risk_funding,cte_funding,local_share_expected_pp
.,1425,CLARKSDALE COLLEGIATE,4477099.7663701605,8761.447683698943,3758302,486685.83637016045,486685.83637016045,1077411.7611,511,Inf,3152814,6169.890410958904,7354.79843444227,3990413.93,7809.029217221136,0,69,73,78,76,5,70,75,0,0,0,0,0,0,0.5208,0,0,5,0,5,5,0,5,21,0,5,0,15,0,0,58,17381637.013220016,4190251,396211,CLARKSDALE C,0,0.516,1251932,416.883333,41,20,0,113604.7,118507.23,266.1288,263.676,17381.637013220017,34.014945231350325,3503728.09362984,6856.610750743326,2913002.1689,5700.591328571429,NA,NA,NA,NA,NA,NA,NA,68371,187836.37553092,0,952.4184664778091
2800750,0614,CLEVELAND,21956872.901,7791.651135911994,14951069,4667996.601000001,6140151.164000001,4667996.601000001,2818,26.20708102528859,14704672,5218.123491838183,5305.560326472676,17288876.3,6135.158374733854,68,218,217,203,204,184,247,207,203,219,235,227,206,129,0.4468,869,62,34,0,45,5,5,41,153,15,67,5,77,5,5,450,219291113,16669424,12328721.85,CLEVELAND,107.5281904642781,0.405,9162184.58,2530.39444,275,157,25,1699925.19,637882.11,1259.0824,1141.29,219291.113,77.81799609652236,11148725.136,3956.254484031228,12620879.699000001,4478.665613555713,27279790,9680,12328721,4374,Town,129500,35789,2073160,841033.26990588,366002,1656.4927611781409
2801090,2521,CLINTON,39390599.658,7559.124862406448,27452788,8273302.408,8273302.408,8401670.2575,5211,38.89745095683939,27710753,5317.741892151219,5268.2379581654195,31117297.25,5971.463682594512,46,342,324,369,358,383,376,444,405,452,465,468,395,348,0.1769,1262,237,49,0,66,21,5,31,252,5,74,5,114,0,5,630,295475086,30607990,19754262.53,CLINTON,133.9676475402495,0.155,9536034.84,4786.26257,432,185,10,2470788.5,1193720.75,921.8259,807.705,295475.086,56.70218499328344,22843994.842,4383.802502782575,22715626.9925,4359.1684882939935,47207050,9059,19754262,3790,Rural,167600,62362,2332623,1518946.77230744,423413,1587.6611798119363
2801110,1400,COAHOMA COUNTY,8384265.933999999,8486.099123481781,5732004,1782481.734,4089162.9239999996,1782481.734,988,1.8493732558731437,6170910,6245.86032388664,5801.6234817813765,6601784.199999999,6681.967813765182,0,49,61,58,78,50,80,87,72,122,82,79,87,63,0.5342,365,0,5,0,5,5,5,15,36,5,24,5,66,5,5,162,146041533,6390794,5658673.3,COAHOMA COU,534.2350425271701,0.44,5966637.66,962.591506,107,59,15,643050.39,226729.81,527.7896000000001,434.72,146041.533,147.81531680161942,2512621.2759999996,2543.138943319838,4819302.465999999,4877.836504048582,11390677,11529,5658673,5727,Rural,71700,27333,992769,308992.95452468,107670,1804.1313097165992
2801140,8111,COFFEEVILLE,3541037.9776000003,8491.697788009593,2414487,752819.0976000001,1406185.228,752819.0976000001,417,1.2403494183040804,2336671,5603.52757793765,5790.136690647482,2788218.8800000004,6686.376211031176,0,31,26,27,29,24,33,32,20,28,37,36,44,32,0.5037,131,0,5,0,5,5,0,5,15,5,5,5,21,0,0,67,50220901,2691989,1989737.93,COFFEEVILLE,336.1955863777166,0.35100000000000003,2464604.96,368.960894,41,25,5,277663.89,96067.99,210.0429,146.36700000000002,50220.901,120.43381534772182,1382033.6520000005,3314.229381294965,2035399.7824000004,4881.054634052759,4404224,10561,1989737,4771,Rural,74000,38197,307919,117224.65579764,57880,1805.3215769784174
2801170,4620,COLUMBIA,13236190.858000001,8041.428224787363,9629524,2422981.288,2422981.288,2919566.5839000004,1646,24.845600519653804,9044947,5495.107533414338,5850.25759416768,10813209.57,6569.386130012151,5,138,121,140,137,103,98,132,120,120,109,155,106,99,0.3224,498,5,38,0,32,20,0,11,113,5,83,0,65,0,0,363,86535046,10736264,6203323.22,COLUMBIA,66.2491533942982,0.298,6256365.45,1419.66006,210,152,5,816243.04,367442.53,530.6704000000001,490.508,86535.046,52.5729319562576,8390228.282,5097.344035236938,7893642.986099999,4795.65187490887,15832847,9618,6203323,3768,Town,94100,31430,1456267,459835.41939272,79052,1472.0420947752127
2801200,4420,COLUMBUS,23706479.0411,7671.999689676375,16296779,5039960.1111,6158857.2360000005,5039960.1111,3090,46.88638155601814,16151073,5226.884466019417,5274.038511326861,18666518.93,6040.944637540453,95,255,260,250,248,212,191,221,186,250,265,248,193,172,0.5473,1104,45,69,0,61,33,5,31,91,5,109,5,98,5,5,506,219959187,18169799,13334111.09,COLUMBUS,65.90399807901962,0.32899999999999996,13193710.86,2717.00049,250,252,15,1675292.24,694447.69,1691.157,1016.6099999999999,219959.187,71.18420291262136,12507661.693999998,4047.7869559870546,13626558.8189,4409.88958540453,29630890,9589,13334111,4315,Town,127200,40362,2375056,939256.16621032,337991,1631.0550521359223
2801220,1500,COPIAH COUNTY,17568251.762000002,7967.461116553289,12268733,3683614.732,3683614.732,3748851.9981000004,2205,4.93409564785735,12820619,5814.339682539682,5564.051247165533,13884637.030000001,6296.887541950114,0,163,174,145,151,130,165,171,162,186,197,202,164,163,0.3936,556,103,24,0,24,5,5,21,86,12,58,5,108,0,5,350,131557669,13678802,4941811.16,COPIAH COUN,446.89040451770114,0.247,6866971.38,2136.74843,218,118,17,1106346.32,509557.71,867.888,544.635,131557.669,59.66334195011338,10201022.298,4626.313967346939,10135785.0319,4596.727905623583,17210544,7805,4941811,2241,Rural,99400,46493,1483727,671774.403562,137076,1670.5735746031746
2801260,0220,CORINTH,17212260.758,6912.554521285141,12491659,3130460.228,3130460.228,3802086.1431000005,2490,81.66326476738158,12920052,5188.775903614458,5016.730522088354,14081800.530000001,5655.341578313253,119,187,193,200,188,182,204,187,174,154,193,176,132,141,0.3242,965,231,35,0,32,5,0,18,98,5,33,5,89,5,5,318,111802151,13927349,6702195.74,CORINTH,30.4910660514588,0.27,5945567.09,2147.51111,219,96,15,1041315.15,548826.38,807.2579999999999,672.3000000000001,111802.151,44.900462248995986,10951340.302000001,4398.128635341366,10279714.3869,4128.399352168675,19193854,7708,6702195,2691,Town,123400,38646,1309748,731117.53393968,149433,1257.2129429718875
2801290,1600,COVINGTON COUNTY,21249625.395,8144.7395151399005,14550844,4517636.8950000005,8160987.716,4517636.8950000005,2609,6.305562967360604,14578892,5587.923342276735,5577.172863165964,16731988.5,6413.180720582599,0,241,209,188,195,178,177,208,192,226,229,216,179,103,0.3836,559,61,34,0,65,5,5,36,167,5,51,0,248,0,0,618,291463847,16223200,10299071.680000002,COVINGTON C,413.7616281852912,0.28600000000000003,11599438.1,2312.99991,480,131,5,1580427.38,600717.12,1000.8124,746.1740000000001,291463.847,111.7147746262936,8571000.784,3285.167031046378,12214351.605,4681.621926025297,24849915,9524,10299071,3947,Rural,77100,38178,2930320,761519.45408596,323221,1731.5587945573018
2801320,1700,DESOTO COUNTY,260512473.0558,7442.575580830215,180112662,55384541.5158,58630668.768,55384541.5158,35003,73.49241433175584,181119369,5174.395594663315,5145.635002714053,205127931.54,5860.295732937177,5,2388,2584,2490,2574,2485,2564,2684,2736,2877,3092,2794,2597,2437,0.1765,7346,1567,749,5,794,292,66,161,598,110,1131,24,1347,13,5,5297,2093952456,200813356,121174285.74,DESOTO COUN,476.28044769343376,0.127,51394776.14,30014.9157,2739,2423,133,16978282.19,8036987.35,6178.0295,4445.381,2093952.456,59.82208542124961,146497262.77199998,4185.277341142188,149743390.0242,4278.0158850441385,301286947,8607,121174285,3461,Suburb,168500,67038,25877680,10076320.6892928,1562060,1582.2798478930376
2801410,6811,E. TALLAHATCHIE,6962291.2443,8162.1233813599065,4720395,1480172.1543,1551309.0599999998,1480172.1543,853,2.320099544837993,4785661,5610.388042203986,5533.874560375147,5482119.09,6426.8688042203985,20,59,60,50,72,40,57,79,55,79,94,70,51,60,0.4033,320,0,5,0,5,5,0,5,24,0,16,5,41,5,0,107,55403895,5262919,2587029.16,E. TALLAHAT,367.65663865494315,0.431,4882824.79,770.616667,70,36,5,566081.98,195642.11,344.0149,367.643,55403.895,64.95181125439625,3930810.0300000003,4608.218089097304,4001946.9357,4691.6142270808905,7307424,8566,2587029,3032,Town,65600,31982,647247,264558.55273288,59279,1735.2545771395078
2801380,3111,EAST JASPER,6343305.6395,8401.729323841058,4333037,1348576.7895,2451217.468,1348576.7895,755,2.2854885570485277,3672371,4864.067549668875,5739.121854304636,4994728.85,6615.534900662251,5,59,47,55,65,39,58,50,59,56,62,64,54,64,0.3718,212,5,5,0,5,5,5,25,5,5,20,0,48,0,0,116,87543481,4831041,5808166.72,EAST JASPER,330.34512365925144,0.297,3508970.12,682.879915,58,60,5,489891.43,171800.42,280.709,224.23499999999999,87543.481,115.95163046357617,2543511.3819999998,3368.889247682119,3646152.0604999997,4829.3404774834435,10141203,13432,5808166,7692,Rural,75100,31824,639301,230940.74366248,43920,1786.194423178808
2801440,1211,ENTERPRISE,7435934.9503,7786.319319685864,5075324,1580868.0603,1784787.256,1580868.0603,955,5.296080283810711,4969352,5203.509947643979,5314.475392670157,5855066.89,6130.960094240837,54,75,53,69,63,71,66,64,62,69,76,72,75,69,0.125,291,0,17,0,5,5,0,5,37,5,53,0,37,0,0,164,63742402,5658641,3690708.5,ENTERPRISE,180.32203985262188,0.145,1824087.87,798.201117,79,80,5,571244.96,208497.93,119.375,138.475,63742.402,66.74597068062828,4070279.6339999996,4262.072915183246,4274198.8297,4475.600868795811,8766032,9179,3690708,3864,Rural,109200,62896,680199,272743.71950468,123212,1655.3592254450261
2801470,6220,FOREST SEPARATE,12192328.3204,7411.749738844985,8423419,2592069.8004,2666880.104,2592069.8004,1645,18.332709151893855,8395131,5103.423100303951,5120.619452887538,9600258.52,5836.0234164133735,0,152,125,162,149,107,110,125,97,130,146,123,99,92,0.265,182,510,16,0,37,5,5,12,71,5,16,5,80,0,5,243,95245718,9391539,5753213.69,FOREST SEPA,89.73032770936987,0.282,4835253.22,1487.47486,188,59,10,798644.85,378194.67,435.925,463.88999999999993,95245.718,57.90013252279635,6933378.415999999,4214.819705775076,7008188.7195999995,4260.297093981762,14176632,8618,5753213,3497,Town,71100,31197,1013349,483513.77772492,26415,1575.726322431611
2801510,1802,FORREST AHS,4828846.4764,7903.185722422259,3345400,1026605.1564000001,20963441.968000002,1026605.1564000001,611,Inf,3286429,5378.770867430442,5475.2864157119475,3802241.3200000003,6222.980883797054,0,0,0,0,0,0,0,0,0,0,169,171,5,135,0.2814,480,11,5,0,0,5,0,5,0,5,32,5,48,5,5,113,748694356,3729893,2377849.11,FORREST AHS,0,0,1634607.82,525.039106,48,52,15,319167.24,137674.08,171.9354,0,748694.356,1225.3590114566284,-17161200.648000002,-28087.071436988546,2775636.1636,4542.77604517185,5723249,9367,2377849,3891,NA,NA,NA,431797,175397.96518344,303964,1680.2048386252047
2801490,1800,FORREST COUNTY,16796054.6095,7889.175485908877,11480488,3570814.7595,5323374.588,3570814.7595,2129,6.099294674878881,11758426,5522.980742132457,5392.432127759512,13225239.85,6211.949201503053,57,212,221,188,188,196,164,225,198,209,72,61,47,45,0.3396,575,101,28,0,40,14,5,5,142,5,74,5,93,0,5,418,190120521,12799963,9137099.36,FORREST COU,349.05675385199805,0.252,9825275.76,1940.25,275,131,10,1264178.15,480573.7,723.0084,536.508,190120.521,89.30038562705496,7901865.261999999,3711.538403945514,9654425.090499999,4534.722917097229,20617587,9684,9137099,4291,Rural,110900,39531,1873962,631433.0326775201,233371,1677.2262844058243
2801530,1900,FRANKLIN COUNTY,10361425.922,8556.090769611892,7404663,1952279.112,1952279.112,2270469.6387000005,1211,2.1475970546666097,7162297,5914.365813377374,6114.50289017341,8409146.81,6943.969289843105,41,83,88,84,77,79,74,79,100,103,101,122,100,63,0.2573,301,0,14,0,27,18,5,5,55,5,40,5,108,0,5,275,69724254,8255695,3442611.43,FRANKLIN CO,563.8860406185433,0.314,5208620.27,1086.38889,190,87,10,732875.52,271608.29,311.59029999999996,380.254,69724.254,57.5757671345995,6456867.698000001,5331.84781007432,6138677.1713,5069.097581585466,10847274,8957,3442611,2842,Rural,76600,40219,1232123,348749.86243464,275179,1612.121479768786
