dist_id,district,model_1_diff_total,model_1_diff_pp,total_sped_funding,ed_funding,ed_pp_diff,model_1_state_local_total,model_1_state_local_pp,model_1_total_funding,model_1_pp_funding,model_1_local_share_total,geoid,maep_expected_local_total,maep_expected_local_pp,maep_rev_fy24,local_share_expected_total,local_funding_28_mill,local_funding_27_pct,total_enroll,st_per_sq_mile,maep_rev_fy23,maep_fy23_pp,maep_fy24_pp,maep_rev_full_funding_fy24,maep_full_pp_fy24,gr_prek_enroll,gr_k_enroll,gr_1_enroll,gr_2_enroll,gr_3_enroll,gr_4_enroll,gr_5_enroll,gr_6_enroll,gr_7_enroll,gr_8_enroll,gr_9_enroll,gr_10_enroll,gr_11_enroll,gr_12_enroll,direct_cert_pct,vocational_enroll,ell_enroll,autism,deaf_blind,developmentally_delayed,emotional_disability,hearing_impaired,intellectual_disability,language_speech_impaired,multiple_disabilities,other_health_impairment,orthopedic_impairment,specific_learning_disability,traumatic_brain_injury,visually_impaired,sped_enroll,assessed_value,local_revenue,shortName,sq_miles,stpov_rate,federal_revenue,total_ada,sped_tier_1_enroll,sped_tier_2_enroll,sped_tier_3_enroll,econ_dis_enroll,stpov_enroll,mill_1_value,mill_1_value_pp,local_share_mills,local_share_pp_mills,local_share_pct,local_share_pp_pct,rev_total_local_state,rev_pp_local_state,local_revenue_total,local_revenue_pp,urbanicity,mpv,mhi,sped_funding,at_risk_funding,cte_funding,local_share_expected_pp,base_funding,gifted_enroll,sped_tier_1_funding,sped_tier_2_funding,sped_tier_3_funding,ell_funding,gifted_funding,model_1_local_mills_total,model_1_local_pct_total,model_1_local_share_pp,model_1_state_share,model_1_state_share_pp,model_1_local_diff_total,current_local_pp,model_1_local_diff_pp,model_1_state_diff_total,sped_pp_funding,sped_model_1_pp,sped_pp_diff,at_risk_pp_funding,ed_model_1_pp
4320,BROOKHAVEN,1249062.6899999976,483.0095475638045,1958100,1213040.88,431.6293297414478,25824130.5424,9986.129366744006,18760730.88,7254.729651972158,5065397.3376,2800840,17511668.19,6771.720104408353,13459833,4051835.19,6022839.676,4051835.19,2586,17.19387533487206,13659606,5282.136890951276,5204.885150812065,15006797,5803.092420726992,77,196,201,212,196,158,199,159,169,228,220,189,194,150,0.3909,558,29,26,0,38,5,5,18,134,5,61,0,104,5,0,399,215101417,12128797.01,BROOKHAVEN,150.4023932728626,0.28,7496815.42,2368.99435,276,115,10,1010.8674,724.08,215101.417,83.17920224284609,8983957.324000001,3474.074757927301,10954961.81,4236.257467130703,25588630,9895,12128797,4690,Town,101900,39841,1607701,776720.86168052,280855,1566.834953596288,15516000,129.3,993600,862500,102000,34800,38790,6022839.676,5065397.3376,1958.7770060324826,13695333.542399999,5295.952645939675,-7063399.6724,4690.176724671307,-2731.399718638824,-1311463.4576000012,4009.2294264339153,4883.042394014962,873.8129675810469,768.3706702585522,1200
0700,CALHOUN COUNTY,238200.95599999838,114.5196903846163,1775100,676915.2,70.26418817293529,17234539.956,8285.836517307693,15124015.2,7271.161153846154,2855222.244,2800870,14885814.244,7156.641463461538,12030592,2855222.244,2855222.244,3621588.57,2080,3.546505165434119,12223903,5876.876442307693,5783.9384615384615,13413291,6448.6975961538465,86,150,158,134,149,139,155,151,164,138,169,166,150,130,0.2712,798,134,19,0,47,5,5,14,131,5,33,5,118,5,0,382,101972223,4965747.48,CALHOUN COU,586.492871989203,0.324,7455794.86,1911.48889,296,81,10,564.096,673.9200000000001,101972.223,49.02510721153846,10558068.756,5075.9945942307695,9791702.43,4707.549245192307,16996339,8171,4965747,2387,Rural,70500,37263,1368363,637279.4525084,489806,1372.703001923077,12480000,104,1065600,607500,102000,160800,31200,2855222.244,4083484.1040000003,1372.703001923077,12268792.956,5898.458151923077,-2110525.2360000005,2387.3785961538465,-1014.6755942307695,-1144498.0439999998,3535.8217054263564,4586.821705426357,1051.0000000000005,1129.7358118270647,1200
4520,CANTON,2584346.59,816.2812981680354,1976400,1847550.96,616.907033946846,33507524.9008,10583.551769046115,23237040.96,7339.5581048641825,6274001.059200001,2800900,20652694.37,6523.276806696147,15874091,4778603.37,8080929.304,4778603.37,3166,16.883714589148912,15486257,4891.426721415035,5013.926405559065,17698531,5590.18667087808,94,231,245,237,260,182,252,240,253,259,252,258,167,168,0.4863,978,308,38,0,13,13,5,27,57,11,76,5,92,5,0,335,288604618,16544485.96,CANTON,187.51797676293188,0.312,11363603.64,2751.11876,162,164,16,1539.6258,987.792,288604.618,91.15749147188882,9617601.696,3037.7769096651923,12919927.63,4080.836269740998,32418576,10239,16544485,5225,Rural,153400,41939,1661921,897744.97433396,393681,1509.3504011370817,18996000,158.3,583200,1230000,163200,369600,47490,8080929.3040000005,6274001.059200001,1981.6806883133295,16963039.9008,5357.877416550853,-10270484.9008,5225.674655716994,-3243.993967403664,-735491.0991999991,4859.418128654971,5778.9473684210525,919.5292397660814,583.092966053154,1200
0800,CARROLL COUNTY,246515.01999999955,306.2298385093154,674400,412965,477.1125432020631,7254174.2,9011.39652173913,5969040,7414.95652173913,1611640.8,2800930,5722524.98,7108.726683229815,4398452,1324072.98,2510623.22,1324072.98,805,1.281231936307605,4615780,5733.888198757764,5463.91552795031,4903974,6091.893167701864,20,54,53,50,69,56,54,53,61,79,83,63,47,46,0.4275,178,33,5,0,5,5,5,5,37,5,18,0,52,0,0,137,89665115,2896775.33,CARROLL COU,628.3015410308437,0.221,3245091.3,738.583333,94,38,5,344.1375,177.905,89665.115,111.38523602484472,2393350.78,2973.106559006211,3579901.02,4447.08201242236,7295227,9062,2896775,3598,Rural,99000,46052,662293,248772.6821638,99740,1644.811155279503,4830000,40.25,338400,285000,51000,39600,12075,2510623.22,1611640.8,2002.0382608695652,4357399.2,5412.9182608695655,-1285134.53,3598.4786708074535,-1596.4404099378883,-546574.7999999998,4834.255474452555,4922.6277372262775,88.37226277372247,722.8874567979369,1200
0911,CHICKASAW COUNTY CONSOL,850955.4360000007,384.3520487804881,1937400,880197.84,318.8229756209355,18447063.436,8332.006971996387,16190007.84,7312.5599999999995,2218984.404,2800200,15339052.404,6928.207951219511,13120068,2218984.404,2218984.404,3949555.41,2214,5.496836147575836,12877302,5816.306233062331,5925.956639566396,14627983,6607.038392050587,59,194,183,174,154,146,134,150,152,171,195,168,150,126,0.3313,838,46,23,0,28,12,5,25,109,5,72,5,77,0,5,362,79249443,4476040.07,CHICKASAW C,402.7771504479714,0.264,5634791.05,1955.66111,214,142,10,733.4982,584.496,79249.443,35.79468970189702,12408998.596,5604.787080397471,10678427.59,4823.138026196929,17596108,7947,4476040,2021,NA,NA,NA,1520243,646341.7612634,378375,1002.2513116531164,13284000,110.7,770400,1065000,102000,55200,33210,2218984.404,4371302.1168,1002.2513116531165,13971023.436,6310.308688346884,-2257055.666,2021.6983152664861,-1019.4470036133696,-656959.5639999993,4153.669398907104,5293.44262295082,1139.7732240437163,881.1770243790645,1200
1000,CHOCTAW COUNTY,12192.940000001341,9.91295934959453,1428600,342136.80000000005,-48.826389525733475,17765203.364,14443.254767479675,9175186.8,7459.501463414635,2477300.436,2800990,9162993.86,7449.58850406504,7042868,2120125.8600000003,7774436.208,2120125.8600000003,1230,2.941601509118056,6945544,5646.783739837399,5725.908943089431,7852318,6383.99837398374,65,91,105,89,96,83,92,103,88,95,99,86,65,62,0.2318,372,5,14,0,16,5,0,5,79,0,82,0,81,0,0,280,277658436,11067317.21,CHOCTAW COU,418.1395733539638,0.29600000000000004,4353851.68,1098.55556,176,106,0,285.11400000000003,364.08,277658.436,225.7385658536585,77881.79200000037,63.31853008130111,5732192.14,4660.31881300813,18110185,14723,11067317,8997,Rural,81400,36777,1236373,356057.88722324,239967,1723.67956097561,7380000,61.5,633600,795000,0,6000,18450,7774436.208,2477300.436,2014.0653951219515,6697886.364,5445.436068292683,-8590016.774,8997.8188699187,-6983.7534747967475,-1154431.636,4384.301418439716,5065.95744680851,681.6560283687941,1248.8263895257335,1200
1100,CLAIBORNE COUNTY,443264.51999999955,373.11828282828264,1115100,799191.36,658.7888906660852,12168010.908,10242.433424242425,9060111.36,7626.356363636363,2184837.452,2801020,8616846.84,7253.238080808081,6623088,1993758.84,2184837.452,1993758.84,1188,2.437681092409674,6431257,5413.5159932659935,5574.989898989899,7384292,6215.7340067340065,39,75,91,87,90,61,83,80,97,93,96,109,73,81,0.5606,588,0,5,0,5,5,5,15,30,11,59,0,44,0,5,179,78029909,5292737.7,CLAIBORNE C,487.34840816509313,0.398,3868931.62,1017.72881,79,89,16,665.9928,472.824,78029.909,65.68174158249158,5199454.548,4376.6452424242425,5390533.16,4537.485824915825,11915825,10030,5292737,4455,Rural,67500,29338,835413,360442.7020964,371360,1678.2481818181818,7128000,59.400000000000006,284400,667500,163200,0,17820,2184837.452,2446230.0672,1839.0887643097644,6875273.908,5787.267599326599,-3107900.248,4455.166414141414,-2616.0776498316495,-509018.0920000002,4540.288043478261,6060.326086956522,1520.038043478261,541.2111093339148,1200
1420,CLARKSDALE,1509745.1679999996,712.816415486308,1379400,1436766.48,685.3179271696595,18612081.168,8787.57373371105,15588336.48,7359.93223796034,2017222.312,2801050,14078591.312,6647.115822474032,12061369,2017222.312,2017222.312,3630853.35,2118,112.71631676836104,11613241,5483.116619452314,5694.6973559962225,13447605,6349.199716713881,75,173,167,153,179,121,110,183,110,167,190,164,149,133,0.5653,575,27,17,5,30,15,0,41,52,5,24,5,32,5,5,220,72043654,5040967.68,CLARKSDALE,18.79053592881872,0.516,14527676.69,1745.65093,114,102,20,1197.3054,1092.888,72043.654,34.014945231350325,11430382.688,5396.781250236072,9816751.65,4634.915793201133,17102336,8074,5040967,2380,Town,65400,30223,1470046,616231.62508296,213402,952.4184664778091,12708000,105.9,410400,765000,204000,32400,31770,2017222.312,4208850.8496,952.4184664778093,13571114.168000001,6407.513771482531,-3023745.368,2380.0602832861186,-1427.6418168083094,123509.16800000146,6229.0084745762715,5844.9152542372885,-384.093220338983,514.6820728303405,1200
0614,CLEVELAND,1506255.3999999985,534.5122072391769,2422500,1510898.8800000001,532.0268237361748,27628111.282399997,9804.15588445706,20958068.88,7437.213938963804,5658678.5976,2800750,19451813.48,6902.701731724627,14951069,4500744.48,6140151.164000001,4500744.48,2818,26.20708102528859,14704672,5218.123491838183,5305.560326472676,16669424,5915.338537970191,68,218,217,203,204,184,247,207,203,219,235,227,206,129,0.4468,869,62,34,0,45,5,5,41,153,15,67,5,77,5,5,450,219291113,12328721.85,CLEVELAND,107.5281904642781,0.405,9162184.58,2530.39444,275,157,25,1259.0824,1141.29,219291.113,77.81799609652236,10529272.836,3736.434647267565,12168679.52,4318.19713271824,27279790,9680,12328721,4374,Town,129500,35789,2073160,841033.26990588,366002,1597.141405251952,16908000,140.9,990000,1177500,255000,74400,42270,6140151.164000001,5658678.5976,2008.0477635202271,15299390.282399999,5429.166175443576,-6670043.2524,4374.990010645848,-2366.942247125621,-1370033.717600001,4536.455142231947,5300.8752735229755,764.4201312910282,667.9731762638252,1200
2521,CLINTON,62510.78000000119,11.995927844943253,3044700,1106191.08,-447.7588363566699,47260415.672,9069.356298599118,35779456.08,6866.140103626943,8273302.408,2801090,35716945.3,6854.144175781999,27452788,8264157.300000001,8273302.408,8264157.300000001,5211,38.89745095683939,27710753,5317.741892151219,5268.2379581654195,30607990,5873.726731913261,46,342,324,369,358,383,376,444,405,452,465,468,395,348,0.1769,1262,237,49,0,66,21,5,31,252,5,74,5,114,0,5,630,295475086,19754262.53,CLINTON,133.9676475402495,0.155,9536034.84,4786.26257,432,185,10,921.8259,807.705,295475.086,56.70218499328344,22334687.592,4286.065552101324,22343832.7,4287.82051429668,47207050,9059,19754262,3790,Rural,167600,62362,2332623,1518946.77230744,423413,1585.9062176165803,31266000,260.55,1555200,1387500,102000,284400,78165,8273302.408,9660453.1416,1587.6611798119363,27506153.672,5278.478923815006,-11480960.122000001,3790.8774764920363,-2203.2162966800997,-3101836.3280000016,3720.2918660287082,4855.980861244019,1135.688995215311,1647.75883635667,1200
1400,COAHOMA COUNTY,99349.13999999966,100.55580971659856,980700,633347.52,614.5527791288803,11175186.2896,11310.917297165992,7556867.52,7648.651336032388,2040354.2304,2801110,7457518.38,7548.095526315789,5732004,1725514.38,4089162.924,1725514.38,988,1.8493732558731435,6170910,6245.86032388664,5801.6234817813765,6390794,6468.414979757085,0,49,61,58,78,50,80,87,72,122,82,79,87,63,0.5342,365,0,5,0,5,5,5,15,36,5,24,5,66,5,5,162,146041533,5658673.3,COAHOMA COU,534.2350425271701,0.44,5966637.66,962.591506,107,59,15,527.7896000000001,434.72,146041.533,147.81531680161942,2301631.0760000004,2329.5861093117414,4665279.62,4721.9429352226725,11390677,11529,5658673,5727,Rural,71700,27333,992769,308992.95452468,107670,1746.472044534413,5928000,49.400000000000006,385200,442500,153000,0,14820.000000000002,4089162.9239999996,2040354.2304,2065.135860728745,5516513.2896,5583.515475303643,-3618319.0696,5727.4021255060725,-3662.2662647773277,-874280.7104000002,5484.911602209945,5418.232044198895,-66.67955801105018,585.4472208711197,1200
8111,COFFEEVILLE,5082.449999999721,12.188129496402325,386100,252051.48,641.90136492288,4286613.7304,10279.649233573142,3146406.48,7545.339280575539,849529.7496000001,2801140,3141324.0300000003,7533.151151079137,2414487,726837.03,1406185.228,726837.03,417,1.2403494183040804,2336671,5603.52757793765,5790.136690647482,2691989,6455.6091127098325,0,31,26,27,29,24,33,32,20,28,37,36,44,32,0.5037,131,0,5,0,5,5,0,5,15,5,5,5,21,0,0,67,50220901,1989737.93,COFFEEVILLE,336.1955863777166,0.35100000000000003,2464604.96,368.960894,41,25,5,210.0429,146.36700000000002,50220.901,120.43381534772182,1285803.772,3083.4622829736213,1965151.97,4712.594652278178,4404224,10561,1989737,4771,Rural,74000,38197,307919,117224.65579764,57880,1743.0144604316547,2502000,20.85,147600,187500,51000,0,6255,1406185.228,849529.7496000001,2037.241605755396,2296876.7304,5508.097674820144,-1140208.1804,4771.553788968825,-2734.312183213429,-395112.26960000023,4336.887323943662,5438.028169014085,1101.140845070423,558.09863507712,1200
4620,COLUMBIA,437989.1919999998,266.093069258809,1947000,636804.4800000001,333.4820645871338,16270836.192,9885.076665856623,12490494.48,7588.392758201701,2422981.288,2801170,12052505.288,7322.299688942892,9629524,2422981.288,2422981.288,2898791.2800000003,1646,24.845600519653804,9044947,5495.107533414338,5850.25759416768,10736264,6522.6391251518835,5,138,121,140,137,103,98,132,120,120,109,155,106,99,0.3224,498,5,38,0,32,20,0,11,113,5,83,0,65,0,0,363,86535046,6203323.22,COLUMBIA,66.2491533942982,0.298,6256365.45,1419.66006,210,152,5,530.6704000000001,490.508,86535.046,52.5729319562576,8313282.711999999,5050.597030376671,7837472.72,4761.526561360874,15832847,9618,6203323,3768,Town,94100,31430,1456267,459835.41939272,79052,1472.0420947752127,9876000,82.30000000000001,756000,1140000,51000,6000,24690.000000000004,2422981.288,3372433.5096000005,1472.0420947752127,10067513.192,6116.350663426489,-3780341.9319999996,3768.7261360874845,-2296.684041312272,-668750.8080000002,3968.0299727520437,5305.177111716621,1337.1471389645772,866.5179354128662,1200
