dist_id,district,total_enroll,model_4_total_funding,model_4_pp_funding,model_4_diff_total,model_4_diff_pp,model_4_state_share,model_4_state_share_pp,model_4_local_diff_total,model_4_local_share_total,model_4_local_share_pp,base_funding,sped_tier_1_funding,sped_tier_2_funding,sped_tier_3_funding,total_sped_funding,ell_funding,ed_funding,gifted_funding,vocational_funding,sparsity_funding,sped_pp_diff,ed_pp_diff,ell_enroll,gifted_enroll,econ_dis_enroll,stpov_enroll,sped_tier_1_enroll,sped_tier_2_enroll,sped_tier_3_enroll,maep_expected_local_total,maep_expected_local_pp,maep_rev_fy24,local_share_expected_total,local_funding_28_mill,local_funding_27_pct,maep_rev_fy23,maep_fy23_pp,maep_fy24_pp,maep_rev_full_funding_fy24,maep_full_pp_fy24,direct_cert_pct,vocational_enroll,assessed_value,stpov_rate,mill_1_value,mill_1_value_pp,local_share_mills,local_share_pp_mills,local_share_pct,sped_funding,at_risk_funding,cte_funding,local_share_expected_pp,sparsity_weight_adj,model_4_local_mills_total,cte_pp_funding,cte_model_4_pp,cte_pp_diff
4320,BROOKHAVEN,2586,19095530.88,7384.196009280742,1583862.6899999976,612.475904872389,13939737.542399999,5390.463086774941,-6973003.6724,5155793.3376,1993.7329225058006,15516000,993600,862500,102000,1958100,34800,1213040.88,38790,334800,0,873.8129675810469,431.6293297414478,29,129.3,1010.8674,724.08,276,115,10,17511668.19,6771.720104408353,13459833,4051835.19,6022839.676,4051835.19,13659606,5282.136890951276,5204.885150812065,15006797,5803.092420726992,0.3909,558,215101417,0.28,215101.417,83.17920224284609,8983957.324000001,3474.074757927301,10954961.81,1607701,776720.86168052,280855,1566.834953596288,0,6022839.676,503.32437275985666,600,96.67562724014334
0700,CALHOUN COUNTY,2080,15784211.355353821,7588.563151612414,898397.1113538202,431.92168815087643,12928989.111353822,6215.860149689338,-2110525.2360000005,2855222.244,1372.703001923077,12480000,1065600,607500,102000,1775100,160800,676915.2,31200,478800,181396.15535382193,1051.0000000000005,70.26418817293529,134,104,564.096,673.9200000000001,296,81,10,14885814.244,7156.641463461538,12030592,2855222.244,2855222.244,3621588.57,12223903,5876.876442307693,5783.9384615384615,13413291,6448.6975961538465,0.2712,798,101972223,0.324,101972.223,49.02510721153846,10558068.756,5075.9945942307695,9791702.43,1368363,637279.4525084,489806,1372.703001923077,0.01453494834565881,2855222.244,613.7919799498746,600,-13.791979949874644
4520,CANTON,3166,23823840.96,7524.902387871131,3171146.59,1001.6255811749843,17391403.9008,5493.178743145926,-10112048.9008,6432437.059200001,2031.7236447252055,18996000,583200,1230000,163200,1976400,369600,1847550.96,47490,586800,0,919.5292397660814,616.907033946846,308,158.3,1539.6258,987.792,162,164,16,20652694.37,6523.276806696147,15874091,4778603.37,8080929.304,4778603.37,15486257,4891.426721415035,5013.926405559065,17698531,5590.18667087808,0.4863,978,288604618,0.312,288604.618,91.15749147188882,9617601.696,3037.7769096651923,12919927.63,1661921,897744.97433396,393681,1509.3504011370817,0,8080929.3040000005,402.5368098159509,600,197.4631901840491
0800,CARROLL COUNTY,805,6255456.497476343,7770.753413014091,532931.5174763426,662.0267297842765,4566483.24315773,5672.649991500286,-1207802.0756813874,1688973.2543186126,2098.1034215138047,4830000,338400,285000,51000,674400,39600,412965,12075,106800,179616.4974763427,88.37226277372247,477.1125432020631,33,40.25,344.1375,177.905,94,38,5,5722524.98,7108.726683229815,4398452,1324072.98,2510623.22,1324072.98,4615780,5733.888198757764,5463.91552795031,4903974,6091.893167701864,0.4275,178,89665115,0.221,89665.115,111.38523602484472,2393350.78,2973.106559006211,3579901.02,662293,248772.6821638,99740,1644.811155279503,0.03718768063692395,2510623.22,560.3370786516854,600,39.662921348314626
0911,CHICKASAW COUNTY CONSOL,2214,16692807.84,7539.66027100271,1353755.4360000007,611.4523197831986,14473823.436,6537.408959349594,-2257055.666,2218984.404,1002.2513116531165,13284000,770400,1065000,102000,1937400,55200,880197.84,33210,502800,0,1139.7732240437163,318.8229756209355,46,110.7,733.4982,584.496,214,142,10,15339052.404,6928.207951219511,13120068,2218984.404,2218984.404,3949555.41,12877302,5816.306233062331,5925.956639566396,14627983,6607.038392050587,0.3313,838,79249443,0.264,79249.443,35.79468970189702,12408998.596,5604.787080397471,10678427.59,1520243,646341.7612634,378375,1002.2513116531164,0,2218984.404,451.5214797136038,600,148.4785202863962
1000,CHOCTAW COUNTY,1230,9550296.608627088,7764.468787501698,387302.74862708896,314.8802834366579,6971716.524297774,5668.062214876239,-8488737.125670686,2578580.084329314,2096.4065726254585,7380000,633600,795000,0,1428600,6000,342136.80000000005,18450,223200,151909.80862708745,681.6560283687941,-48.826389525733475,5,61.5,285.11400000000003,364.08,176,106,0,9162993.86,7449.58850406504,7042868,2120125.8600000003,7774436.208,2120125.8600000003,6945544,5646.783739837399,5725.908943089431,7852318,6383.99837398374,0.2318,372,277658436,0.29600000000000004,277658.436,225.7385658536585,77881.79200000037,63.31853008130111,5732192.14,1236373,356057.88722324,239967,1723.67956097561,0.02058398490881944,7774436.208,645.0725806451613,600,-45.07258064516134
1100,CLAIBORNE COUNTY,1188,9595553.451733038,8077.065195061479,978706.611733038,823.8271142533986,7410715.999733038,6237.976430751715,-3107900.248,2184837.452,1839.0887643097644,7128000,284400,667500,163200,1115100,0,799191.36,17820,352800,182642.09173303843,1520.038043478261,658.7888906660852,0,59.400000000000006,665.9928,472.824,79,89,16,8616846.84,7253.238080808081,6623088,1993758.84,2184837.452,1993758.84,6431257,5413.5159932659935,5574.989898989899,7384292,6215.7340067340065,0.5606,588,78029909,0.398,78029.909,65.68174158249158,5199454.548,4376.6452424242425,5390533.16,835413,360442.7020964,371360,1678.2481818181818,0.02562318907590326,2184837.452,631.5646258503401,600,-31.56462585034012
1420,CLARKSDALE,2118,15933336.48,7522.821756373938,1854745.1679999996,875.7059338999061,13916114.168000001,6570.4032898961295,-3023745.368,2017222.312,952.4184664778093,12708000,410400,765000,204000,1379400,32400,1436766.48,31770,345000,0,-384.093220338983,685.3179271696595,27,105.9,1197.3054,1092.888,114,102,20,14078591.312,6647.115822474032,12061369,2017222.312,2017222.312,3630853.35,11613241,5483.116619452314,5694.6973559962225,13447605,6349.199716713881,0.5653,575,72043654,0.516,72043.654,34.014945231350325,11430382.688,5396.781250236072,9816751.65,1470046,616231.62508296,213402,952.4184664778091,0,2017222.312,371.1339130434783,600,228.8660869565217
0614,CLEVELAND,2818,21479468.88,7622.238779276082,2027655.3999999985,719.5370475514546,15680012.282399999,5564.23430887154,-6529265.2524,5799456.5976,2058.004470404542,16908000,990000,1177500,255000,2422500,74400,1510898.8800000001,42270,521400,0,764.4201312910282,532.0268237361748,62,140.9,1259.0824,1141.29,275,157,25,19451813.48,6902.701731724627,14951069,4500744.48,6140151.164000001,4500744.48,14704672,5218.123491838183,5305.560326472676,16669424,5915.338537970191,0.4468,869,219291113,0.405,219291.113,77.81799609652236,10529272.836,3736.434647267565,12168679.52,2073160,841033.26990588,366002,1597.141405251952,0,6140151.164000001,421.1760644418872,600,178.8239355581128
2521,CLINTON,5211,36536656.08,7011.448105929763,819710.7800000012,157.30393014776382,28263353.672,5423.7869261178275,-11480960.122000001,8273302.408,1587.6611798119363,31266000,1555200,1387500,102000,3044700,284400,1106191.08,78165,757200,0,1135.688995215311,-447.7588363566699,237,260.55,921.8259,807.705,432,185,10,35716945.3,6854.144175781999,27452788,8264157.300000001,8273302.408,8264157.300000001,27710753,5317.741892151219,5268.2379581654195,30607990,5873.726731913261,0.1769,1262,295475086,0.155,295475.086,56.70218499328344,22334687.592,4286.065552101324,22343832.7,2332623,1518946.77230744,423413,1585.9062176165803,0,8273302.408,335.5095087163233,600,264.4904912836767
