dist_id,district,total_enroll,model_1_total_funding,model_1_pp_funding,model_1_diff_total,model_1_diff_pp,model_1_state_share,model_1_state_share_pp,model_1_local_diff_total,model_1_local_share_total,model_1_local_share_pp,base_funding,sped_tier_1_funding,sped_tier_2_funding,sped_tier_3_funding,total_sped_funding,ell_funding,ed_funding,gifted_funding,sped_pp_diff,ed_pp_diff,ell_enroll,gifted_enroll,econ_dis_enroll,stpov_enroll,sped_tier_1_enroll,sped_tier_2_enroll,sped_tier_3_enroll,vocational_enroll,maep_expected_local_total,maep_expected_local_pp,maep_rev_fy24,local_share_expected_total,local_funding_28_mill,local_funding_27_pct,maep_rev_fy23,maep_fy23_pp,maep_fy24_pp,maep_rev_full_funding_fy24,maep_full_pp_fy24,direct_cert_pct,assessed_value,stpov_rate,mill_1_value,mill_1_value_pp,local_share_mills,local_share_pp_mills,local_share_pct,sped_funding,at_risk_funding,cte_funding,local_share_expected_pp,model_1_local_mills_total
4320,BROOKHAVEN,2586,18760730.88,7254.729651972158,1249062.6899999976,483.0095475638045,13695333.542399999,5295.952645939675,-7063399.6724,5065397.3376,1958.7770060324826,15516000,993600,862500,102000,1958100,34800,1213040.88,38790,873.8129675810469,431.6293297414478,29,129.3,1010.8674,724.08,276,115,10,558,17511668.19,6771.720104408353,13459833,4051835.19,6022839.676,4051835.19,13659606,5282.136890951276,5204.885150812065,15006797,5803.092420726992,0.3909,215101417,0.28,215101.417,83.17920224284609,8983957.324000001,3474.074757927301,10954961.81,1607701,776720.86168052,280855,1566.834953596288,6022839.676
0700,CALHOUN COUNTY,2080,15124015.2,7271.161153846154,238200.95599999838,114.5196903846163,12268792.956,5898.458151923077,-2110525.2360000005,2855222.244,1372.703001923077,12480000,1065600,607500,102000,1775100,160800,676915.2,31200,1051.0000000000005,70.26418817293529,134,104,564.096,673.9200000000001,296,81,10,798,14885814.244,7156.641463461538,12030592,2855222.244,2855222.244,3621588.57,12223903,5876.876442307693,5783.9384615384615,13413291,6448.6975961538465,0.2712,101972223,0.324,101972.223,49.02510721153846,10558068.756,5075.9945942307695,9791702.43,1368363,637279.4525084,489806,1372.703001923077,2855222.244
4520,CANTON,3166,23237040.96,7339.5581048641825,2584346.59,816.2812981680354,16963039.9008,5357.877416550853,-10270484.9008,6274001.059200001,1981.6806883133295,18996000,583200,1230000,163200,1976400,369600,1847550.96,47490,919.5292397660814,616.907033946846,308,158.3,1539.6258,987.792,162,164,16,978,20652694.37,6523.276806696147,15874091,4778603.37,8080929.304,4778603.37,15486257,4891.426721415035,5013.926405559065,17698531,5590.18667087808,0.4863,288604618,0.312,288604.618,91.15749147188882,9617601.696,3037.7769096651923,12919927.63,1661921,897744.97433396,393681,1509.3504011370817,8080929.3040000005
0800,CARROLL COUNTY,805,5969040,7414.95652173913,246515.01999999955,306.2298385093154,4357399.2,5412.9182608695655,-1285134.53,1611640.8,2002.0382608695652,4830000,338400,285000,51000,674400,39600,412965,12075,88.37226277372247,477.1125432020631,33,40.25,344.1375,177.905,94,38,5,178,5722524.98,7108.726683229815,4398452,1324072.98,2510623.22,1324072.98,4615780,5733.888198757764,5463.91552795031,4903974,6091.893167701864,0.4275,89665115,0.221,89665.115,111.38523602484472,2393350.78,2973.106559006211,3579901.02,662293,248772.6821638,99740,1644.811155279503,2510623.22
0911,CHICKASAW COUNTY CONSOL,2214,16190007.84,7312.5599999999995,850955.4360000007,384.3520487804881,13971023.436,6310.308688346884,-2257055.666,2218984.404,1002.2513116531165,13284000,770400,1065000,102000,1937400,55200,880197.84,33210,1139.7732240437163,318.8229756209355,46,110.7,733.4982,584.496,214,142,10,838,15339052.404,6928.207951219511,13120068,2218984.404,2218984.404,3949555.41,12877302,5816.306233062331,5925.956639566396,14627983,6607.038392050587,0.3313,79249443,0.264,79249.443,35.79468970189702,12408998.596,5604.787080397471,10678427.59,1520243,646341.7612634,378375,1002.2513116531164,2218984.404
1000,CHOCTAW COUNTY,1230,9175186.8,7459.501463414635,12192.940000001341,9.91295934959453,6697886.364,5445.436068292683,-8590016.774,2477300.436,2014.0653951219515,7380000,633600,795000,0,1428600,6000,342136.80000000005,18450,681.6560283687941,-48.826389525733475,5,61.5,285.11400000000003,364.08,176,106,0,372,9162993.86,7449.58850406504,7042868,2120125.8600000003,7774436.208,2120125.8600000003,6945544,5646.783739837399,5725.908943089431,7852318,6383.99837398374,0.2318,277658436,0.29600000000000004,277658.436,225.7385658536585,77881.79200000037,63.31853008130111,5732192.14,1236373,356057.88722324,239967,1723.67956097561,7774436.208
1100,CLAIBORNE COUNTY,1188,9060111.36,7626.356363636363,443264.51999999955,373.11828282828264,6875273.908,5787.267599326599,-3107900.248,2184837.452,1839.0887643097644,7128000,284400,667500,163200,1115100,0,799191.36,17820,1520.038043478261,658.7888906660852,0,59.400000000000006,665.9928,472.824,79,89,16,588,8616846.84,7253.238080808081,6623088,1993758.84,2184837.452,1993758.84,6431257,5413.5159932659935,5574.989898989899,7384292,6215.7340067340065,0.5606,78029909,0.398,78029.909,65.68174158249158,5199454.548,4376.6452424242425,5390533.16,835413,360442.7020964,371360,1678.2481818181818,2184837.452
1420,CLARKSDALE,2118,15588336.48,7359.93223796034,1509745.1679999996,712.816415486308,13571114.168000001,6407.513771482531,-3023745.368,2017222.312,952.4184664778093,12708000,410400,765000,204000,1379400,32400,1436766.48,31770,-384.093220338983,685.3179271696595,27,105.9,1197.3054,1092.888,114,102,20,575,14078591.312,6647.115822474032,12061369,2017222.312,2017222.312,3630853.35,11613241,5483.116619452314,5694.6973559962225,13447605,6349.199716713881,0.5653,72043654,0.516,72043.654,34.014945231350325,11430382.688,5396.781250236072,9816751.65,1470046,616231.62508296,213402,952.4184664778091,2017222.312
0614,CLEVELAND,2818,20958068.88,7437.213938963804,1506255.3999999985,534.5122072391769,15299390.282399999,5429.166175443576,-6670043.2524,5658678.5976,2008.0477635202271,16908000,990000,1177500,255000,2422500,74400,1510898.8800000001,42270,764.4201312910282,532.0268237361748,62,140.9,1259.0824,1141.29,275,157,25,869,19451813.48,6902.701731724627,14951069,4500744.48,6140151.164000001,4500744.48,14704672,5218.123491838183,5305.560326472676,16669424,5915.338537970191,0.4468,219291113,0.405,219291.113,77.81799609652236,10529272.836,3736.434647267565,12168679.52,2073160,841033.26990588,366002,1597.141405251952,6140151.164000001
2521,CLINTON,5211,35779456.08,6866.140103626943,62510.78000000119,11.995927844943253,27506153.672,5278.478923815006,-11480960.122000001,8273302.408,1587.6611798119363,31266000,1555200,1387500,102000,3044700,284400,1106191.08,78165,1135.688995215311,-447.7588363566699,237,260.55,921.8259,807.705,432,185,10,1262,35716945.3,6854.144175781999,27452788,8264157.300000001,8273302.408,8264157.300000001,27710753,5317.741892151219,5268.2379581654195,30607990,5873.726731913261,0.1769,295475086,0.155,295475.086,56.70218499328344,22334687.592,4286.065552101324,22343832.7,2332623,1518946.77230744,423413,1585.9062176165803,8273302.408
