dist_id,district,sped_pp_diff,model_4_diff_total,model_4_diff_pp,ell_funding,sparsity_funding,model_4_total_funding,model_4_local_share_total,model_4_state_share_pp,geoid,maep_expected_local_total,maep_expected_local_pp,maep_rev_fy24,maep_expected_local_addon_total,maep_expected_local_addon_pp,local_share_expected_total,local_funding_28_mill,local_funding_27_pct,local_funding_27_pct_addon,total_enroll,st_per_sq_mile,maep_rev_fy23,maep_fy23_pp,maep_fy24_pp,maep_rev_full_funding_fy24,maep_full_pp_fy24,gr_prek_enroll,gr_k_enroll,gr_1_enroll,gr_2_enroll,gr_3_enroll,gr_4_enroll,gr_5_enroll,gr_6_enroll,gr_7_enroll,gr_8_enroll,gr_9_enroll,gr_10_enroll,gr_11_enroll,gr_12_enroll,direct_cert_pct,vocational_enroll,ell_enroll,autism,deaf_blind,developmentally_delayed,emotional_disability,hearing_impaired,intellectual_disability,language_speech_impaired,multiple_disabilities,other_health_impairment,orthopedic_impairment,specific_learning_disability,traumatic_brain_injury,visually_impaired,sped_enroll,assessed_value,local_revenue,shortName,sq_miles,stpov_rate,federal_revenue,total_ada,sped_tier_1_enroll,sped_tier_2_enroll,sped_tier_3_enroll,ada_addon_fy24,teacher_addon_fy24,econ_dis_enroll,stpov_enroll,maep_rev_full_funding_addon_fy24,mill_1_value,mill_1_value_pp,local_share_mills,local_share_pp_mills,local_share_pct,local_share_pp_pct,maep_fy24_addon_total,maep_fy24_addon_pp,rev_total_local_state,rev_pp_local_state,local_revenue_total,local_revenue_pp,urbanicity,mpv,mhi,sped_funding,at_risk_funding,cte_funding,local_share_expected_addon_total,local_share_expected_pp,sparsity_weight_adj,gifted_enroll,base_funding,sped_tier_1_funding,sped_tier_2_funding,sped_tier_3_funding,total_sped_funding,ed_funding,gifted_funding,vocational_funding,model_4_pp_funding,model_4_local_mills_total,model_4_local_pct_total,model_4_local_share_pp,model_4_state_share,model_4_local_diff_total,current_local_pp,model_4_local_diff_pp,sped_pp_funding,sped_model_4_pp,at_risk_pp_funding,ed_model_4_pp,ed_pp_diff,cte_pp_funding,cte_model_4_pp,cte_pp_diff
4320,BROOKHAVEN,873.8129675810469,-532924.9100000001,-206.08078499613293,34800,0,19095530.88,5155793.3376,5390.463086774941,2800840,18050492.0754,6980.082009048725,13459833,19628455.79,7590.276794276875,4590659.0754,6022839.676,4590659.0754,4172978.790000001,2586,17.19387533487206,13659606,5282.136890951276,5204.885150812065,15006797,5803.092420726992,77,196,201,212,196,158,199,159,169,228,220,189,194,150,0.3909,558,29,26,0,38,5,5,18,134,5,61,0,104,5,0,399,215101417,12128797.01,BROOKHAVEN,150.4023932728626,0.28,7496815.42,2368.99435,276,115,10,578745.37,1416898.65,1010.8674,724.08,17002441.02,215101.417,83.17920224284609,10979601.344,4245.785515854602,12411781.9446,4799.6063204176335,15455477,5976,27584274,10666,12128797,4690,Town,101900,39841,1607701,776720.86168052,280855,4172978.790000001,1775.1968582366592,0,129.3,15516000,993600,862500,102000,1958100,1213040.88,38790,334800,7384.196009280742,6022839.676,5155793.3376,1993.7329225058006,13939737.542399999,-6973003.6724,4690.176724671307,-2696.4438021655064,4009.2294264339153,4883.042394014962,768.3706702585522,1200,431.6293297414478,503.32437275985666,600,96.67562724014334
0700,CALHOUN COUNTY,1051.0000000000005,-913590.8886461798,-439.22638877220106,160800,181396.15535382193,15784211.355353821,2855222.244,6215.860149689338,2800870,14885814.244,7156.641463461538,12030592,16697802.244,8027.789540384615,2855222.244,2855222.244,4110825.3894000007,3737496.6,2080,3.546505165434119,12223903,5876.876442307693,5783.9384615384615,13413291,6448.6975961538465,86,150,158,134,149,139,155,151,164,138,169,166,150,130,0.2712,798,134,19,0,47,5,5,14,131,5,33,5,118,5,0,382,101972223,4965747.48,CALHOUN COU,586.492871989203,0.324,7455794.86,1911.48889,296,81,10,464211.75,1347776.47,564.096,673.9200000000001,15225279.22,101972.223,49.02510721153846,12370056.976,5947.142776923077,11114453.8306,5343.487418557693,13842580,6655,18808327,9042,4965747,2387,Rural,70500,37263,1368363,637279.4525084,489806,2855222.244,1372.703001923077,0.01453494834565881,104,12480000,1065600,607500,102000,1775100,676915.2,31200,478800,7588.563151612414,2855222.244,4261737.065945532,1372.703001923077,12928989.111353822,-2110525.2360000005,2387.3785961538465,-1014.6755942307695,3535.8217054263564,4586.821705426357,1129.7358118270647,1200,70.26418817293529,613.7919799498746,600,-13.791979949874644
4520,CANTON,919.5292397660814,594235.4000000022,187.69279848389124,369600,0,23823840.96,6432437.059200001,5493.178743145926,2800900,21305267.4545,6729.395911086544,15874091,23229605.56,7337.20958938724,5431176.4545,8080929.304,5431176.4545,4938577.5600000005,3166,16.883714589148912,15486257,4891.426721415035,5013.926405559065,17698531,5590.18667087808,94,231,245,237,260,182,252,240,253,259,252,258,167,168,0.4863,978,308,38,0,13,13,5,27,57,11,76,5,92,5,0,335,288604618,16544485.96,CANTON,187.51797676293188,0.312,11363603.64,2751.11876,162,164,16,718289.38,1698647.97,1539.6258,987.792,20115468.35,288604.618,91.15749147188882,12034539.045999996,3801.180999999998,14684291.895499997,4638.121255685406,18291028,5777,34835514,11003,16544485,5225,Rural,153400,41939,1661921,897744.97433396,393681,4938577.5600000005,1715.4695055274794,0,158.3,18996000,583200,1230000,163200,1976400,1847550.96,47490,586800,7524.902387871131,8080929.3040000005,6432437.059200001,2031.7236447252055,17391403.9008,-10112048.9008,5225.674655716994,-3193.9510109917883,4859.418128654971,5778.9473684210525,583.092966053154,1200,616.907033946846,402.5368098159509,600,197.4631901840491
0800,CARROLL COUNTY,88.37226277372247,-137893.68252365664,-171.29650002938706,39600,179616.4974763427,6255456.497476343,1688973.2543186126,5672.649991500286,2800930,5894159.3279,7321.937053291926,4398452,6393350.18,7942.049913043478,1495707.3279,2510623.22,1495707.3279,1359216.1800000002,805,1.281231936307605,4615780,5733.888198757764,5463.91552795031,4903974,6091.893167701864,20,54,53,50,69,56,54,53,61,79,83,63,47,46,0.4275,178,33,5,0,5,5,5,5,37,5,18,0,52,0,0,137,89665115,2896775.33,CARROLL COU,628.3015410308437,0.221,3245091.3,738.583333,94,38,5,180916.36,454766.41,344.1375,177.905,5539656.7700000005,89665.115,111.38523602484472,3029033.5500000003,3762.774596273293,4043949.4421000006,5023.53967962733,5034134,6253,7930910,9852,2896775,3598,Rural,99000,46052,662293,248772.6821638,99740,1359216.1800000002,1858.0215253416152,0.03718768063692395,40.25,4830000,338400,285000,51000,674400,412965,12075,106800,7770.753413014091,2510623.22,1688973.2543186126,2098.1034215138047,4566483.24315773,-1207802.0756813874,3598.4786708074535,-1500.3752492936487,4834.255474452555,4922.6277372262775,722.8874567979369,1200,477.1125432020631,560.3370786516854,600,39.662921348314626
0911,CHICKASAW COUNTY CONSOL,1139.7732240437163,-379462.5639999993,-171.3923053297185,55200,0,16692807.84,2218984.404,6537.408959349594,2800200,15339052.404,6928.207951219511,13120068,17072270.404,7711.0525763324285,2218984.404,2218984.404,4417524.3942,4010387.22,2214,5.496836147575836,12877302,5816.306233062331,5925.956639566396,14627983,6607.038392050587,59,194,183,174,154,146,134,150,152,171,195,168,150,126,0.3313,838,46,23,0,28,12,5,25,109,5,72,5,77,0,5,362,79249443,4476040.07,CHICKASAW C,402.7771504479714,0.264,5634791.05,1955.66111,214,142,10,492494.54,1240723.92,733.4982,584.496,16361201.46,79249.443,35.79468970189702,14142217.055999998,6387.631913279132,11943677.0658,5394.614754200542,14853286,6708,19329326,8730,4476040,2021,NA,NA,NA,1520243,646341.7612634,378375,2218984.404,1002.2513116531164,0,110.7,13284000,770400,1065000,102000,1937400,880197.84,33210,502800,7539.66027100271,2218984.404,4507058.1168,1002.2513116531165,14473823.436,-2257055.666,2021.6983152664861,-1019.4470036133696,4153.669398907104,5293.44262295082,881.1770243790645,1200,318.8229756209355,451.5214797136038,600,148.4785202863962
1000,CHOCTAW COUNTY,681.6560283687941,-957393.8313729111,-778.3689685958625,6000,151909.80862708745,9550296.608627088,2578580.084329314,5668.062214876239,2800990,9495338.2019,7719.78715601626,7042868,10507690.44,8542.83775609756,2452470.2019,7774436.208,2452470.2019,2233918.44,1230,2.941601509118056,6945544,5646.783739837399,5725.908943089431,7852318,6383.99837398374,65,91,105,89,96,83,92,103,88,95,99,86,65,62,0.2318,372,5,14,0,16,5,0,5,79,0,82,0,81,0,0,280,277658436,11067317.21,CHOCTAW COU,418.1395733539638,0.29600000000000004,4353851.68,1098.55556,176,106,0,269270.86,961634.11,285.11400000000003,364.08,9083222.97,277658.436,225.7385658536585,1308786.762000001,1064.0542780487813,6630752.768100001,5390.855909024391,8273772,6726,19341090,15724,11067317,8997,Rural,81400,36777,1236373,356057.88722324,239967,2233918.44,1993.8782129268295,0.02058398490881944,61.5,7380000,633600,795000,0,1428600,342136.80000000005,18450,223200,7764.468787501698,7774436.208,2578580.084329314,2096.4065726254585,6971716.524297774,-8488737.125670686,8997.8188699187,-6901.412297293241,4384.301418439716,5065.95744680851,1248.8263895257335,1200,-48.826389525733475,645.0725806451613,600,-45.07258064516134
1100,CLAIBORNE COUNTY,1520.038043478261,70463.2817330379,59.312526711310966,0,182642.09173303843,9595553.451733038,2184837.452,6237.976430751715,2801020,8807925.452,7414.078663299663,6623088,9525090.17,8017.752668350168,2184837.452,2184837.452,2230544.3148000003,2025019.17,1188,2.437681092409674,6431257,5413.5159932659935,5574.989898989899,7384292,6215.7340067340065,39,75,91,87,90,61,83,80,97,93,96,109,73,81,0.5606,588,0,5,0,5,5,5,15,30,11,59,0,44,0,5,179,78029909,5292737.7,CLAIBORNE C,487.34840816509313,0.398,3868931.62,1017.72881,79,89,16,267400.93,609582.31,665.9928,472.824,8261275.24,78029.909,65.68174158249158,6076437.788000001,5114.846622895623,6030730.9252,5076.372832659933,7500071,6313,12792808,10768,5292737,4455,Rural,67500,29338,835413,360442.7020964,371360,2025019.17,1839.0887643097644,0.02562318907590326,59.400000000000006,7128000,284400,667500,163200,1115100,799191.36,17820,352800,8077.065195061479,2184837.452,2590799.43196792,1839.0887643097644,7410715.999733038,-3107900.248,4455.166414141414,-2616.0776498316495,4540.288043478261,6060.326086956522,541.2111093339148,1200,658.7888906660852,631.5646258503401,600,-31.56462585034012
1420,CLARKSDALE,-384.093220338983,256818.1679999996,121.25503682719682,32400,0,15933336.48,2017222.312,6570.4032898961295,2801050,14078591.312,6647.115822474032,12061369,15676518.312,7401.566719546741,2017222.312,2017222.312,4062293.8695,3688009.92,2118,112.71631676836104,11613241,5483.116619452314,5694.6973559962225,13447605,6349.199716713881,75,173,167,153,179,121,110,183,110,167,190,164,149,133,0.5653,575,27,17,5,30,15,0,41,52,5,24,5,32,5,5,220,72043654,5040967.68,CLARKSDALE,18.79053592881872,0.516,14527676.69,1745.65093,114,102,20,471224.01,1126703.84,1197.3054,1092.888,15045532.85,72043.654,34.014945231350325,13028310.538,6151.232548630783,10983238.9805,5185.665241029273,13659296,6449,18700264,8829,5040967,2380,Town,65400,30223,1470046,616231.62508296,213402,2017222.312,952.4184664778091,0,105.9,12708000,410400,765000,204000,1379400,1436766.48,31770,345000,7522.821756373938,2017222.312,4302000.8496,952.4184664778093,13916114.168000001,-3023745.368,2380.0602832861186,-1427.6418168083094,6229.0084745762715,5844.9152542372885,514.6820728303405,1200,685.3179271696595,371.1339130434783,600,228.8660869565217
0614,CLEVELAND,764.4201312910282,-477403.6400000006,-169.4122214336412,74400,0,21479468.88,5799456.5976,5564.23430887154,2800750,20083021.451,7126.693204755146,14951069,21956872.52,7791.651000709723,5131952.451,6140151.164000001,5131952.451,4667996.5200000005,2818,26.20708102528859,14704672,5218.123491838183,5305.560326472676,16669424,5915.338537970191,68,218,217,203,204,184,247,207,203,219,235,227,206,129,0.4468,869,62,34,0,45,5,5,41,153,15,67,5,77,5,5,450,219291113,12328721.85,CLEVELAND,107.5281904642781,0.405,9162184.58,2530.39444,275,157,25,637882.11,1699925.19,1259.0824,1141.29,19007231.3,219291.113,77.81799609652236,12867080.136,4566.032695528744,13875278.849,4923.8037079488995,17288876,6135,29617598,10510,12328721,4374,Town,129500,35789,2073160,841033.26990588,366002,4667996.5200000005,1821.13287828247,0,140.9,16908000,990000,1177500,255000,2422500,1510898.8800000001,42270,521400,7622.238779276082,6140151.164000001,5799456.5976,2058.004470404542,15680012.282399999,-6529265.2524,4374.990010645848,-2316.985540241306,4536.455142231947,5300.8752735229755,667.9731762638252,1200,532.0268237361748,421.1760644418872,600,178.8239355581128
2521,CLINTON,1135.688995215311,-2853943.3280000016,-547.676708501248,284400,0,36536656.08,8273302.408,5423.7869261178275,2801090,35726090.408,6855.899137977355,27452788,39390599.408,7559.124814431011,8273302.408,8273302.408,9253574.7975,8401670.190000001,5211,38.89745095683939,27710753,5317.741892151219,5268.2379581654195,30607990,5873.726731913261,46,342,324,369,358,383,376,444,405,452,465,468,395,348,0.1769,1262,237,49,0,66,21,5,31,252,5,74,5,114,0,5,630,295475086,19754262.53,CLINTON,133.9676475402495,0.155,9536034.84,4786.26257,432,185,10,1193720.75,2470788.5,921.8259,807.705,34272499.25,295475.086,56.70218499328344,25999196.842,4989.291276530416,25018924.4525,4801.175293129918,31117297,5971,50871559,9762,19754262,3790,Rural,167600,62362,2332623,1518946.77230744,423413,8273302.408,1587.6611798119363,0,260.55,31266000,1555200,1387500,102000,3044700,1106191.08,78165,757200,7011.448105929763,8273302.408,9864897.1416,1587.6611798119363,28263353.672,-11480960.122000001,3790.8774764920363,-2203.2162966800997,3720.2918660287082,4855.980861244019,1647.75883635667,1200,-447.7588363566699,335.5095087163233,600,264.4904912836767
