dist_id,district,total_enroll,model_2_total_funding,model_2_pp_funding,model_2_diff_total,model_2_diff_pp,model_2_state_share,model_2_state_share_pp,model_2_local_diff_total,model_2_local_share_total,model_2_local_share_pp,base_funding,sped_tier_1_funding,sped_tier_2_funding,sped_tier_3_funding,total_sped_funding,ell_funding,ed_funding,gifted_funding,vocational_funding,sparsity_funding,conc_pov_funding,gr_9_12_funding,sped_pp_diff,ed_pp_diff,ell_enroll,gifted_enroll,econ_dis_enroll,stpov_enroll,sped_tier_1_enroll,sped_tier_2_enroll,sped_tier_3_enroll,maep_expected_local_total,maep_expected_local_pp,maep_rev_fy24,local_share_expected_total,local_funding_28_mill,local_funding_27_pct,maep_rev_fy23,maep_fy23_pp,maep_fy24_pp,maep_rev_full_funding_fy24,maep_full_pp_fy24,direct_cert_pct,vocational_enroll,assessed_value,stpov_rate,mill_1_value,mill_1_value_pp,local_share_mills,local_share_pp_mills,local_share_pct,sped_funding,at_risk_funding,cte_funding,local_share_expected_pp,sparsity_weight_adj,gr_9_12_enroll,conc_pov_weight_adj,conc_pov_adm,model_2_local_mills_total,cte_pp_funding,cte_model_2_pp,cte_pp_diff
0700,CALHOUN COUNTY,2080,15870288.816842027,7629.946546558667,984474.5728420261,473.3050830971297,13015066.572842028,6257.24354463559,-2110525.2360000005,2855222.244,1372.703001923077,12064000,1030080,587250,98600,1715930,194300,817939.2,30160,694260,175349.61684202787,0,178350,898.105943152455,320.2641881729353,134,104,564.096,673.9200000000001,296,81,10,14885814.244,7156.641463461538,12030592,2855222.244,2855222.244,3621588.57,12223903,5876.876442307693,5783.9384615384615,13413291,6448.6975961538465,0.2712,798,101972223,0.324,101972.223,49.02510721153846,10558068.756,5075.9945942307695,9791702.43,1368363,637279.4525084,489806,1372.703001923077,0.01453494834565881,615,0,0,2855222.244,613.7919799498746,870,256.20802005012536
4520,CANTON,3166,24331900.856,7685.376138976626,3679206.4859999977,1162.0993322804788,17762287.62488,5610.324581452937,-9974872.728880001,6569613.23112,2075.051557523689,18362800,563760,1189000,157760,1910520,446600,2232457.41,45907,850860,0,237706.44599999994,245050,726.8976608187131,866.907033946846,308,158.3,1539.6258,987.792,162,164,16,20652694.37,6523.276806696147,15874091,4778603.37,8080929.304,4778603.37,15486257,4891.426721415035,5013.926405559065,17698531,5590.18667087808,0.4863,978,288604618,0.312,288604.618,91.15749147188882,9617601.696,3037.7769096651923,12919927.63,1661921,897744.97433396,393681,1509.3504011370817,0,845,0.08629999999999999,273.22579999999994,8080929.3040000005,402.5368098159509,870,467.4631901840491
0800,CARROLL COUNTY,805,6296500.780893798,7821.74010048919,573975.8008937975,713.0134172593753,4596445.570052473,5709.870273357109,-1196720.1191586745,1700055.2108413256,2111.8698271320814,4669000,327120,275500,49300,651920,47850,498999.375,11672.5,154860,173629.28089379793,19259.624999999978,69310,-75.715328467154,727.1125432020631,33,40.25,344.1375,177.905,94,38,5,5722524.98,7108.726683229815,4398452,1324072.98,2510623.22,1324072.98,4615780,5733.888198757764,5463.91552795031,4903974,6091.893167701864,0.4275,178,89665115,0.221,89665.115,111.38523602484472,2393350.78,2973.106559006211,3579901.02,662293,248772.6821638,99740,1644.811155279503,0.03718768063692395,239,0.02749999999999997,22.137499999999974,2510623.22,560.3370786516854,870,309.6629213483146
0911,CHICKASAW COUNTY CONSOL,2214,16790765.39,7583.904873532069,1451712.9860000014,655.696922312558,14571780.986000001,6581.653561878953,-2257055.666,2218984.404,1002.2513116531165,12841200,744720,1029500,98600,1872820,66700,1063572.39,32103,729060,0,0,185310,963.3251366120221,568.8229756209353,46,110.7,733.4982,584.496,214,142,10,15339052.404,6928.207951219511,13120068,2218984.404,2218984.404,3949555.41,12877302,5816.306233062331,5925.956639566396,14627983,6607.038392050587,0.3313,838,79249443,0.264,79249.443,35.79468970189702,12408998.596,5604.787080397471,10678427.59,1520243,646341.7612634,378375,1002.2513116531164,0,639,0,0,2218984.404,451.5214797136038,870,418.4785202863962
1000,CHOCTAW COUNTY,1230,9514446.448339518,7735.322315723185,351452.58833951876,285.733811658145,6945545.907287848,5646.785290477926,-8498416.66894833,2568900.54105167,2088.5370252452603,7134000,612480,768500,0,1380980,7250,413415.30000000005,17835,323640,146846.14833951788,0,90480,512.7907801418442,201.17361047426652,5,61.5,285.11400000000003,364.08,176,106,0,9162993.86,7449.58850406504,7042868,2120125.8600000003,7774436.208,2120125.8600000003,6945544,5646.783739837399,5725.908943089431,7852318,6383.99837398374,0.2318,372,277658436,0.29600000000000004,277658.436,225.7385658536585,77881.79200000037,63.31853008130111,5732192.14,1236373,356057.88722324,239967,1723.67956097561,0.02058398490881944,312,0,0,7774436.208,645.0725806451613,870,224.92741935483866
1100,CLAIBORNE COUNTY,1188,9909459.318008604,8341.295722229464,1292612.4780086037,1088.0576414213838,7724621.866008604,6502.2069579197005,-3107900.248,2184837.452,1839.0887643097644,6890400,274920,645250,157760,1077930,0,965689.5599999999,17226,511560,176554.02200860382,165989.73599999995,104110,1318.027173913043,908.7888906660852,0,59.400000000000006,665.9928,472.824,79,89,16,8616846.84,7253.238080808081,6623088,1993758.84,2184837.452,1993758.84,6431257,5413.5159932659935,5574.989898989899,7384292,6215.7340067340065,0.5606,588,78029909,0.398,78029.909,65.68174158249158,5199454.548,4376.6452424242425,5390533.16,835413,360442.7020964,371360,1678.2481818181818,0.02562318907590326,359,0.16059999999999997,190.79279999999997,2184837.452,631.5646258503401,870,238.43537414965988
1420,CLARKSDALE,2118,16413055.528,7749.318001888574,2334464.216,1102.2021794145421,14395833.216000002,6796.899535410766,-3023745.368,2017222.312,952.4184664778093,12284400,396720,739500,197200,1333420,39150,1736092.8299999998,30711,500250,0,304591.69800000003,184440,-578.92372881356,935.3179271696595,27,105.9,1197.3054,1092.888,114,102,20,14078591.312,6647.115822474032,12061369,2017222.312,2017222.312,3630853.35,11613241,5483.116619452314,5694.6973559962225,13447605,6349.199716713881,0.5653,575,72043654,0.516,72043.654,34.014945231350325,11430382.688,5396.781250236072,9816751.65,1470046,616231.62508296,213402,952.4184664778091,0,636,0.1653,350.10540000000003,2017222.312,371.1339130434783,870,498.8660869565217
0614,CLEVELAND,2818,21744478.168,7716.28040028389,2292664.688000001,813.578668559263,15873469.06264,5632.884692207239,-6457712.744639999,5871009.10536,2083.3957080766504,16344400,957000,1138250,246500,2341750,89900,1825669.48,40861,756030,0,114737.68799999988,231130,587.7242888402625,782.0268237361748,62,140.9,1259.0824,1141.29,275,157,25,19451813.48,6902.701731724627,14951069,4500744.48,6140151.164000001,4500744.48,14704672,5218.123491838183,5305.560326472676,16669424,5915.338537970191,0.4468,869,219291113,0.405,219291.113,77.81799609652236,10529272.836,3736.434647267565,12168679.52,2073160,841033.26990588,366002,1597.141405251952,0,797,0.04679999999999995,131.88239999999988,6140151.164000001,421.1760644418872,870,448.8239355581128
2521,CLINTON,5211,36506847.055,7005.727701976588,789901.7550000027,151.58352619458856,28233544.647,5418.066522164651,-11480960.122000001,8273302.408,1587.6611798119363,30223800,1503360,1341250,98600,2943210,343650,1336647.5550000002,75559.5,1097940,0,0,486040,973.8229665071772,-197.75883635666992,237,260.55,921.8259,807.705,432,185,10,35716945.3,6854.144175781999,27452788,8264157.300000001,8273302.408,8264157.300000001,27710753,5317.741892151219,5268.2379581654195,30607990,5873.726731913261,0.1769,1262,295475086,0.155,295475.086,56.70218499328344,22334687.592,4286.065552101324,22343832.7,2332623,1518946.77230744,423413,1585.9062176165803,0,1676,0,0,8273302.408,335.5095087163233,870,534.4904912836766
1400,COAHOMA COUNTY,988,8161667.386945445,8260.79695034964,704149.0069454452,712.7014240338513,5958017.192470174,6030.381773755237,-3455023.1055247295,2203650.1944752703,2230.415176594403,5730400,372360,427750,147900,948010,0,765294.92,14326.000000000002,317550,180543.5149454454,115352.95199999999,90190,-247.28729281768028,864.5527791288803,0,49.400000000000006,527.7896000000001,434.72,107,59,15,7457518.38,7548.095526315789,5732004,1725514.38,4089162.924,1725514.38,6170910,6245.86032388664,5801.6234817813765,6390794,6468.414979757085,0.5342,365,146041533,0.44,146041.533,147.81531680161942,2301631.0760000004,2329.5861093117414,4665279.62,992769,308992.95452468,107670,1746.472044534413,0.03150626744126857,311,0.13419999999999999,132.5896,4089162.9239999996,294.986301369863,870,575.013698630137
