dist_id,district,model_5_diff_total,model_5_diff_pp,ell_funding,sparsity_funding,model_5_total_funding,model_5_local_share_total,model_5_state_share_pp,geoid,maep_expected_local_total,maep_expected_local_pp,maep_rev_fy24,local_share_expected_total,local_funding_28_mill,local_funding_27_pct,total_enroll,st_per_sq_mile,maep_rev_fy23,maep_fy23_pp,maep_fy24_pp,maep_rev_full_funding_fy24,maep_full_pp_fy24,gr_prek_enroll,gr_k_enroll,gr_1_enroll,gr_2_enroll,gr_3_enroll,gr_4_enroll,gr_5_enroll,gr_6_enroll,gr_7_enroll,gr_8_enroll,gr_9_enroll,gr_10_enroll,gr_11_enroll,gr_12_enroll,direct_cert_pct,vocational_enroll,ell_enroll,autism,deaf_blind,developmentally_delayed,emotional_disability,hearing_impaired,intellectual_disability,language_speech_impaired,multiple_disabilities,other_health_impairment,orthopedic_impairment,specific_learning_disability,traumatic_brain_injury,visually_impaired,sped_enroll,assessed_value,local_revenue,shortName,sq_miles,stpov_rate,federal_revenue,total_ada,sped_tier_1_enroll,sped_tier_2_enroll,sped_tier_3_enroll,econ_dis_enroll,stpov_enroll,mill_1_value,mill_1_value_pp,local_share_mills,local_share_pp_mills,local_share_pct,local_share_pp_pct,rev_total_local_state,rev_pp_local_state,local_revenue_total,local_revenue_pp,urbanicity,mpv,mhi,sped_funding,at_risk_funding,cte_funding,local_share_expected_pp,sparsity_weight_adj,gifted_enroll,base_funding,sped_tier_1_funding,sped_tier_2_funding,sped_tier_3_funding,total_sped_funding,ed_funding,gifted_funding,vocational_funding,model_5_pp_funding,model_5_local_mills_total,model_5_local_pct_total,model_5_local_share_pp,model_5_state_share,model_5_local_diff_total,current_local_pp,model_5_local_diff_pp,model_5_state_diff_total,model_5_state_diff_pp,sped_pp_funding,sped_model_5_pp,sped_pp_diff,at_risk_pp_funding,ed_model_5_pp,ed_pp_diff,cte_pp_funding,cte_model_5_pp,cte_pp_diff
4320,BROOKHAVEN,1265603.8420000002,489.40597138437715,34220,0,18777272.032,5069863.448640001,5300.6220353286935,2800840,17511668.19,6771.720104408353,13459833,4051835.19,6022839.676,4051835.19,2586,17.19387533487206,13659606,5282.136890951276,5204.885150812065,15006797,5803.092420726992,77,196,201,212,196,158,199,159,169,228,220,189,194,150,0.3909,558,29,26,0,38,5,5,18,134,5,61,0,104,5,0,399,215101417,12128797.01,BROOKHAVEN,150.4023932728626,0.28,7496815.42,2368.99435,276,115,10,1010.8674,724.08,215101.417,83.17920224284609,8983957.324000001,3474.074757927301,10954961.81,4236.257467130703,27584274,10666,12128797,4690,Town,101900,39841,1607701,776720.86168052,280855,1566.834953596288,0,129.3,15257400,977040,848125,100300,1925465,1192823.532,38143.5,329220,7261.12607579273,6022839.676,5069863.448640001,1960.5040404640374,13707408.583360001,-7058933.561359999,4690.176724671307,-2729.6726842072694,-1299388.4166399986,-502.4703853982983,4009.2294264339153,4801.658354114713,792.4289276807976,768.3706702585522,1180,411.6293297414478,503.32437275985666,590,86.67562724014334
0700,CALHOUN COUNTY,635326.9220979232,305.44563562400253,158120,178372.88609792493,15521141.166097924,2855222.244,6089.384097162464,2800870,14885814.244,7156.641463461538,12030592,2855222.244,2855222.244,3621588.57,2080,3.546505165434119,12223903,5876.876442307693,5783.9384615384615,13413291,6448.6975961538465,86,150,158,134,149,139,155,151,164,138,169,166,150,130,0.2712,798,134,19,0,47,5,5,14,131,5,33,5,118,5,0,382,101972223,4965747.48,CALHOUN COU,586.492871989203,0.324,7455794.86,1911.48889,296,81,10,564.096,673.9200000000001,101972.223,49.02510721153846,10558068.756,5075.9945942307695,9791702.43,4707.549245192307,18808327,9042,4965747,2387,Rural,70500,37263,1368363,637279.4525084,489806,1372.703001923077,0.01453494834565881,104,12272000,1047840,597375,100300,1745515,665633.28,30680,470820,7462.08709908554,2855222.244,4190708.1148464396,1372.703001923077,12665918.922097925,-2110525.2360000005,2387.3785961538465,-1014.6755942307695,-747372.0779020749,-359.3134989913824,3535.8217054263564,4510.374677002584,974.5529715762273,1129.7358118270647,1180,50.26418817293529,613.7919799498746,590,-23.791979949874644
4520,CANTON,2774082.573999997,876.2105413771305,363440,0,23426776.944,6325229.77488,5401.625764093493,2800900,20652694.37,6523.276806696147,15874091,4778603.37,8080929.304,4778603.37,3166,16.883714589148912,15486257,4891.426721415035,5013.926405559065,17698531,5590.18667087808,94,231,245,237,260,182,252,240,253,259,252,258,167,168,0.4863,978,308,38,0,13,13,5,27,57,11,76,5,92,5,0,335,288604618,16544485.96,CANTON,187.51797676293188,0.312,11363603.64,2751.11876,162,164,16,1539.6258,987.792,288604.618,91.15749147188882,9617601.696,3037.7769096651923,12919927.63,4080.836269740998,34835514,11003,16544485,5225,Rural,153400,41939,1661921,897744.97433396,393681,1509.3504011370817,0,158.3,18679400,573480,1209500,160480,1943460,1816758.4440000001,46698.5,577020,7399.487348073278,8080929.3040000005,6325229.77488,1997.8615839797853,17101547.16912,-10219256.185120001,5225.674655716994,-3227.8130717372082,-596983.8308800012,-188.56090678458713,4859.418128654971,5682.631578947368,823.2134502923973,583.092966053154,1180,596.907033946846,402.5368098159509,590,187.4631901840491
0800,CARROLL COUNTY,428673.9091850696,532.5141729007073,38940,176622.8891850703,6151198.88918507,1660823.7000799691,5578.1058249752805,2800930,5722524.98,7108.726683229815,4398452,1324072.98,2510623.22,1324072.98,805,1.281231936307605,4615780,5733.888198757764,5463.91552795031,4903974,6091.893167701864,20,54,53,50,69,56,54,53,61,79,83,63,47,46,0.4275,178,33,5,0,5,5,5,5,37,5,18,0,52,0,0,137,89665115,2896775.33,CARROLL COU,628.3015410308437,0.221,3245091.3,738.583333,94,38,5,344.1375,177.905,89665.115,111.38523602484472,2393350.78,2973.106559006211,3579901.02,4447.08201242236,7930910,9852,2896775,3598,Rural,99000,46052,662293,248772.6821638,99740,1644.811155279503,0.03718768063692395,40.25,4749500,332760,280250,50150,663160,406082.25,11873.75,105020,7641.240856130522,2510623.22,1660823.7000799691,2063.135031155241,4490375.189105101,-1235951.629920031,3598.4786708074535,-1535.3436396522125,-413598.81089489907,-513.7873427265831,4834.255474452555,4840.58394160584,6.3284671532846914,722.8874567979369,1180,457.1125432020631,560.3370786516854,590,29.662921348314626
0911,CHICKASAW COUNTY CONSOL,1075541.972000001,485.7913152664869,54280,0,16414594.376,2218984.404,6411.747954832881,2800200,15339052.404,6928.207951219511,13120068,2218984.404,2218984.404,3949555.41,2214,5.496836147575836,12877302,5816.306233062331,5925.956639566396,14627983,6607.038392050587,59,194,183,174,154,146,134,150,152,171,195,168,150,126,0.3313,838,46,23,0,28,12,5,25,109,5,72,5,77,0,5,362,79249443,4476040.07,CHICKASAW C,402.7771504479714,0.264,5634791.05,1955.66111,214,142,10,733.4982,584.496,79249.443,35.79468970189702,12408998.596,5604.787080397471,10678427.59,4823.138026196929,19329326,8730,4476040,2021,NA,NA,NA,1520243,646341.7612634,378375,1002.2513116531164,0,110.7,13062600,757560,1047250,100300,1905110,865527.876,32656.5,494420,7413.999266485998,2218984.404,4431940.48152,1002.2513116531165,14195609.972,-2257055.666,2021.6983152664861,-1019.4470036133696,-432373.02800000086,-195.2904372177063,4153.669398907104,5205.218579234973,1051.5491803278692,881.1770243790645,1180,298.8229756209355,451.5214797136038,590,138.4785202863962
1000,CHOCTAW COUNTY,228131.13848330267,185.47247031162806,5900,149377.97848330266,9391124.998483302,2535603.749590492,5573.594511294968,2800990,9162993.86,7449.58850406504,7042868,2120125.8600000003,7774436.208,2120125.8600000003,1230,2.941601509118056,6945544,5646.783739837399,5725.908943089431,7852318,6383.99837398374,65,91,105,89,96,83,92,103,88,95,99,86,65,62,0.2318,372,5,14,0,16,5,0,5,79,0,82,0,81,0,0,280,277658436,11067317.21,CHOCTAW COU,418.1395733539638,0.29600000000000004,4353851.68,1098.55556,176,106,0,285.11400000000003,364.08,277658.436,225.7385658536585,77881.79200000037,63.31853008130111,5732192.14,4660.31881300813,19341090,15724,11067317,8997,Rural,81400,36777,1236373,356057.88722324,239967,1723.67956097561,0.02058398490881944,61.5,7257000,623040,781750,0,1404790,336434.52,18142.5,219480,7635.060974376668,7774436.208,2535603.749590492,2061.4664630817006,6855521.24889281,-8531713.460409509,8997.8188699187,-6936.352406836999,-996796.7511071898,-810.4038626887723,4384.301418439716,4981.524822695035,597.2234042553191,1248.8263895257335,1180,-68.82638952573348,645.0725806451613,590,-55.07258064516134
1100,CLAIBORNE COUNTY,818780.7208708227,689.2093610023758,0,179598.05687082114,9435627.560870823,2184837.452,6103.3586775006925,2801020,8616846.84,7253.238080808081,6623088,1993758.84,2184837.452,1993758.84,1188,2.437681092409674,6431257,5413.5159932659935,5574.989898989899,7384292,6215.7340067340065,39,75,91,87,90,61,83,80,97,93,96,109,73,81,0.5606,588,0,5,0,5,5,5,15,30,11,59,0,44,0,5,179,78029909,5292737.7,CLAIBORNE C,487.34840816509313,0.398,3868931.62,1017.72881,79,89,16,665.9928,472.824,78029.909,65.68174158249158,5199454.548,4376.6452424242425,5390533.16,4537.485824915825,12792808,10768,5292737,4455,Rural,67500,29338,835413,360442.7020964,371360,1678.2481818181818,0.02562318907590326,59.400000000000006,7009200,279660,656375,160480,1096515,785871.504,17523,346920,7942.447441810456,2184837.452,2547619.4414351224,1839.0887643097644,7250790.108870823,-3107900.248,4455.166414141414,-2616.0776498316495,-133501.89112917706,-112.375329233314,4540.288043478261,5959.320652173913,1419.032608695652,541.2111093339148,1180,638.7888906660852,631.5646258503401,590,-41.56462585034012
1420,CLARKSDALE,1589189.5599999987,750.3255712936734,31860,0,15667780.872,2017222.312,6445.022927289895,2801050,14078591.312,6647.115822474032,12061369,2017222.312,2017222.312,3630853.35,2118,112.71631676836104,11613241,5483.116619452314,5694.6973559962225,13447605,6349.199716713881,75,173,167,153,179,121,110,183,110,167,190,164,149,133,0.5653,575,27,17,5,30,15,0,41,52,5,24,5,32,5,5,220,72043654,5040967.68,CLARKSDALE,18.79053592881872,0.516,14527676.69,1745.65093,114,102,20,1197.3054,1092.888,72043.654,34.014945231350325,11430382.688,5396.781250236072,9816751.65,4634.915793201133,18700264,8829,5040967,2380,Town,65400,30223,1470046,616231.62508296,213402,952.4184664778091,0,105.9,12496200,403560,752250,200600,1356410,1412820.372,31240.5,339250,7397.441393767705,2017222.312,4230300.8354400005,952.4184664778093,13650558.559999999,-3023745.368,2380.0602832861186,-1427.6418168083094,202953.55999999866,95.82321057601439,6229.0084745762715,5747.5,-481.5084745762715,514.6820728303405,1180,665.3179271696595,371.1339130434783,590,218.8660869565217
0614,CLEVELAND,1669664.2520000003,592.4997345635202,73160,0,21121477.732,5702798.987640001,5471.497070390347,2800750,19451813.48,6902.701731724627,14951069,4500744.48,6140151.164000001,4500744.48,2818,26.20708102528859,14704672,5218.123491838183,5305.560326472676,16669424,5915.338537970191,68,218,217,203,204,184,247,207,203,219,235,227,206,129,0.4468,869,62,34,0,45,5,5,41,153,15,67,5,77,5,5,450,219291113,12328721.85,CLEVELAND,107.5281904642781,0.405,9162184.58,2530.39444,275,157,25,1259.0824,1141.29,219291.113,77.81799609652236,10529272.836,3736.434647267565,12168679.52,4318.19713271824,29617598,10510,12328721,4374,Town,129500,35789,2073160,841033.26990588,366002,1597.141405251952,0,140.9,16626200,973500,1157875,250750,2382125,1485717.232,41565.5,512710,7495.2014662881475,6140151.164000001,5702798.987640001,2023.7043958978002,15418678.74436,-6625922.862359999,4374.990010645848,-2351.285614748048,-1250745.25564,-443.841467579844,4536.455142231947,5212.527352297593,676.0722100656458,667.9731762638252,1180,512.0268237361748,421.1760644418872,590,168.8239355581128
2521,CLINTON,210766.51200000197,40.4464617156018,279660,0,35927711.812,8273302.408,5306.929457685665,2801090,35716945.3,6854.144175781999,27452788,8264157.300000001,8273302.408,8264157.300000001,5211,38.89745095683939,27710753,5317.741892151219,5268.2379581654195,30607990,5873.726731913261,46,342,324,369,358,383,376,444,405,452,465,468,395,348,0.1769,1262,237,49,0,66,21,5,31,252,5,74,5,114,0,5,630,295475086,19754262.53,CLINTON,133.9676475402495,0.155,9536034.84,4786.26257,432,185,10,921.8259,807.705,295475.086,56.70218499328344,22334687.592,4286.065552101324,22343832.7,4287.82051429668,50871559,9762,19754262,3790,Rural,167600,62362,2332623,1518946.77230744,423413,1585.9062176165803,0,260.55,30744900,1529280,1364375,100300,2993955,1087754.5620000002,76862.25,744580,6894.590637497601,8273302.408,9700482.189240001,1587.6611798119363,27654409.404,-11480960.122000001,3790.8774764920363,-2203.2162966800997,-2953580.596000001,-566.7972742275961,3720.2918660287082,4775.047846889952,1054.7559808612436,1647.75883635667,1180,-467.7588363566699,335.5095087163233,590,254.4904912836767
