dist_id,district,total_enroll,model_3_total_funding,model_3_pp_funding,model_3_diff_total,model_3_diff_pp,model_3_state_share,model_3_state_share_pp,model_3_local_diff_total,model_3_local_share_total,model_3_local_share_pp,base_funding,sped_tier_1_funding,sped_tier_2_funding,sped_tier_3_funding,total_sped_funding,ell_funding,ed_funding,gifted_funding,vocational_funding,sparsity_funding,conc_pov_funding,gr_9_12_funding,sped_pp_diff,ed_pp_diff,ell_enroll,gifted_enroll,econ_dis_enroll,stpov_enroll,sped_tier_1_enroll,sped_tier_2_enroll,sped_tier_3_enroll,maep_expected_local_total,maep_expected_local_pp,maep_rev_fy24,local_share_expected_total,local_funding_28_mill,local_funding_27_pct,maep_rev_fy23,maep_fy23_pp,maep_fy24_pp,maep_rev_full_funding_fy24,maep_full_pp_fy24,direct_cert_pct,vocational_enroll,assessed_value,stpov_rate,mill_1_value,mill_1_value_pp,local_share_mills,local_share_pp_mills,local_share_pct,sped_funding,at_risk_funding,cte_funding,local_share_expected_pp,sparsity_weight_adj,conc_pov_weight_adj,conc_pov_adm,gr_9_12_enroll,model_3_local_mills_total,cte_pp_funding,cte_model_3_pp,cte_pp_diff
0911,CHICKASAW COUNTY CONSOL,2214,19111897.398463827,8632.29331457264,3772844.9944638275,1704.0853633531287,16892912.994463827,7630.042002919525,-2257055.666,2218984.404,1002.2513116531165,13948200,808920,1118250,107100,2034270,86940,1386311.598,34870.5,791910,628110.3004638272,0,201285,1404.4453551912566,1008.8229756209355,46,110.7,733.4982,584.496,214,142,10,15339052.404,6928.207951219511,13120068,2218984.404,2218984.404,3949555.41,12877302,5816.306233062331,5925.956639566396,14627983,6607.038392050587,0.3313,838,79249443,0.264,79249.443,35.79468970189702,12408998.596,5604.787080397471,10678427.59,1520243,646341.7612634,378375,1002.2513116531164,0.04503163852424164,0,0,639,2218984.404,451.5214797136038,945,493.4785202863962
1000,CHOCTAW COUNTY,1230,10813493.259058442,8791.457934193855,1650499.3990584426,1341.869430128815,7893850.079112662,6417.764291961514,-8147674.030054221,2919643.1799457795,2373.693642232341,7749000,665280,834750,0,1500030,9450,538865.4600000001,19372.5,351540,546955.2990584418,0,98280,934.9539007092199,641.1736104742665,5,61.5,285.11400000000003,364.08,176,106,0,9162993.86,7449.58850406504,7042868,2120125.8600000003,7774436.208,2120125.8600000003,6945544,5646.783739837399,5725.908943089431,7852318,6383.99837398374,0.2318,372,277658436,0.29600000000000004,277658.436,225.7385658536585,77881.79200000037,63.31853008130111,5732192.14,1236373,356057.88722324,239967,1723.67956097561,0.07058398490881944,0,0,312,7774436.208,645.0725806451613,945,299.92741935483866
1100,CLAIBORNE COUNTY,1188,11407830.51631969,9602.550939663039,2790983.6763196904,2349.312858854958,9222993.06431969,7763.462175353275,-3107900.248,2184837.452,1839.0887643097644,7484400,298620,700875,171360,1170855,0,1258726.392,18711,555660,565994.1963196904,240398.92799999999,113085,1823.054347826087,1348.788890666085,0,59.400000000000006,665.9928,472.824,79,89,16,8616846.84,7253.238080808081,6623088,1993758.84,2184837.452,1993758.84,6431257,5413.5159932659935,5574.989898989899,7384292,6215.7340067340065,0.5606,588,78029909,0.398,78029.909,65.68174158249158,5199454.548,4376.6452424242425,5390533.16,835413,360442.7020964,371360,1678.2481818181818,0.07562318907590326,0.16059999999999997,190.79279999999997,359,2184837.452,631.5646258503401,945,313.4353741496599
1420,CLARKSDALE,2118,18323913.51,8651.517237960341,4245322.198000001,2004.401415486309,16306691.198000003,7699.098771482532,-3023745.368,2017222.312,952.4184664778093,13343400,430920,803250,214200,1448370,51030,2262907.206,33358.5,543375,0,441132.804,200340,-91.84745762711918,1375.3179271696592,27,105.9,1197.3054,1092.888,114,102,20,14078591.312,6647.115822474032,12061369,2017222.312,2017222.312,3630853.35,11613241,5483.116619452314,5694.6973559962225,13447605,6349.199716713881,0.5653,575,72043654,0.516,72043.654,34.014945231350325,11430382.688,5396.781250236072,9816751.65,1470046,616231.62508296,213402,952.4184664778091,0,0.1653,350.10540000000003,636,2017222.312,371.1339130434783,945,573.8660869565217
0614,CLEVELAND,2818,24076686.060000002,8543.891433640882,4624872.580000002,1641.1897019162543,17936534.896,6364.987542938255,-6188570.685999999,6140151.164000001,2178.903890702626,17753400,1039500,1236375,267750,2543625,117180,2379665.736,44383.5,821205,0,166171.82399999985,251055,1029.463894967177,1222.0268237361747,62,140.9,1259.0824,1141.29,275,157,25,19451813.48,6902.701731724627,14951069,4500744.48,6140151.164000001,4500744.48,14704672,5218.123491838183,5305.560326472676,16669424,5915.338537970191,0.4468,869,219291113,0.405,219291.113,77.81799609652236,10529272.836,3736.434647267565,12168679.52,2073160,841033.26990588,366002,1597.141405251952,0,0.04679999999999995,131.88239999999988,797,6140151.164000001,421.1760644418872,945,523.8239355581128
2521,CLINTON,5211,40019019.201,7679.719670120898,4302073.901000001,825.5754943388984,31745716.792999998,6092.058490308961,-11480960.122000001,8273302.408,1587.6611798119363,32829300,1632960,1456875,107100,3196935,447930,1742250.9510000001,82073.25,1192590,0,0,527940,1378.4880382775123,242.24116364333008,237,260.55,921.8259,807.705,432,185,10,35716945.3,6854.144175781999,27452788,8264157.300000001,8273302.408,8264157.300000001,27710753,5317.741892151219,5268.2379581654195,30607990,5873.726731913261,0.1769,1262,295475086,0.155,295475.086,56.70218499328344,22334687.592,4286.065552101324,22343832.7,2332623,1518946.77230744,423413,1585.9062176165803,0,0,0,1676,8273302.408,335.5095087163233,945,609.4904912836766
1400,COAHOMA COUNTY,988,9384498.851061432,9498.48061848323,1926980.4710614318,1950.3850921674411,6850684.161274845,6933.890851492758,-3124858.610213413,2533814.689786587,2564.5897669904725,6224400,404460,464625,160650,1029735,0,997522.3440000002,15561.000000000002,344925,507327.6110614321,167062.896,97965,204.23204419889498,1304.5527791288803,0,49.400000000000006,527.7896000000001,434.72,107,59,15,7457518.38,7548.095526315789,5732004,1725514.38,4089162.924,1725514.38,6170910,6245.86032388664,5801.6234817813765,6390794,6468.414979757085,0.5342,365,146041533,0.44,146041.533,147.81531680161942,2301631.0760000004,2329.5861093117414,4665279.62,992769,308992.95452468,107670,1746.472044534413,0.08150626744126857,0.13419999999999999,132.5896,311,4089162.9239999996,294.986301369863,945,650.013698630137
8111,COFFEEVILLE,417,3891394.6654317337,9331.881691682815,750070.6354317334,1798.7305406036776,2840718.1057651658,6812.273634928455,-939061.3703334318,1050676.5596665682,2519.60805675436,2627100,154980,196875,53550,405405,0,396981.081,6567.75,123795,230124.78043173347,54486.054000000004,46935,1373.0422535211273,1331.90136492288,0,20.85,210.0429,146.36700000000002,41,25,5,3141324.0300000003,7533.151151079137,2414487,726837.03,1406185.228,726837.03,2336671,5603.52757793765,5790.136690647482,2691989,6455.6091127098325,0.5037,131,50220901,0.35100000000000003,50220.901,120.43381534772182,1285803.772,3083.4622829736213,1965151.97,307919,117224.65579764,57880,1743.0144604316547,0.08759650581695919,0.10370000000000001,43.242900000000006,149,1406185.228,441.8320610687023,945,503.1679389312977
4620,COLUMBIA,1646,14070836.556,8548.50337545565,2018331.2679999992,1226.2036865127575,11647855.268,7076.461280680437,-3780341.9319999996,2422981.288,1472.0420947752127,10369800,793800,1197000,53550,2044350,9450,1002967.0560000002,25924.500000000004,470610,0,0,147735,1602.4059945504082,1023.4820645871338,5,82.30000000000001,530.6704000000001,490.508,210,152,5,12052505.288,7322.299688942892,9629524,2422981.288,2422981.288,2898791.2800000003,9044947,5495.107533414338,5850.25759416768,10736264,6522.6391251518835,0.3224,498,86535046,0.298,86535.046,52.5729319562576,8313282.711999999,5050.597030376671,7837472.72,1456267,459835.41939272,79052,1472.0420947752127,0,0,0,469,2422981.288,158.73895582329317,945,786.2610441767068
4420,COLUMBUS,3090,27780502.05,8990.453737864078,6577877.32,2128.7628867313915,21621644.814,6997.296056310679,-7175253.853999999,6158857.2360000005,1993.157681553398,19467000,945000,1984500,160650,3090150,85050,3196286.73,48667.5,1043280,0,573497.8200000001,276570,1383.1605415860731,1334.6073509376597,45,154.5,1691.157,1016.61,250,252,15,21202624.73,6861.6908511326865,16296779,4905845.73,6158857.2360000005,4905845.73,16151073,5226.884466019417,5274.038511326861,18169799,5880.193851132686,0.5473,1104,219959187,0.32899999999999996,219959.187,71.18420291262136,12010941.764,3887.036169579288,13263953.27,2375056,939256.16621032,337991,1587.6523398058257,0,0.1473,455.157,878,6158857.2360000005,306.151268115942,945,638.848731884058
