geoid,dist_id,district,maep_expected_local_total,maep_expected_local_pp,maep_rev_fy24,local_share_expected_total,local_funding_28_mill,local_funding_27_pct,total_enroll,st_per_sq_mile,maep_rev_fy23,maep_fy23_pp,maep_fy24_pp,maep_rev_full_funding_fy24,maep_full_pp_fy24,gr_prek_enroll,gr_k_enroll,gr_1_enroll,gr_2_enroll,gr_3_enroll,gr_4_enroll,gr_5_enroll,gr_6_enroll,gr_7_enroll,gr_8_enroll,gr_9_enroll,gr_10_enroll,gr_11_enroll,gr_12_enroll,direct_cert_pct,vocational_enroll,ell_enroll,autism,deaf_blind,developmentally_delayed,emotional_disability,hearing_impaired,intellectual_disability,language_speech_impaired,multiple_disabilities,other_health_impairment,orthopedic_impairment,specific_learning_disability,traumatic_brain_injury,visually_impaired,sped_enroll,assessed_value,local_revenue,shortName,sq_miles,stpov_rate,federal_revenue,total_ada,sped_tier_1_enroll,sped_tier_2_enroll,sped_tier_3_enroll,econ_dis_enroll,stpov_enroll,mill_1_value,mill_1_value_pp,local_share_mills,local_share_pp_mills,local_share_pct,local_share_pp_pct,rev_total_local_state,rev_pp_local_state,local_revenue_total,local_revenue_pp,urbanicity,mpv,mhi,sped_funding,at_risk_funding,cte_funding,ada_add_fy24,teacher_add_fy24,local_share_expected_pp,maep_expected_local_add_total,maep_expected_local_add_pp
2800820,5921,BOONEVILLE,8885387.212,6726.258298258895,7466023,1419364.2119999998,1419364.2119999998,2247508.89,1321,191.98868213975783,7346069,5560.990915972748,5651.7963663891,8324107,6301.367903103709,39,100,98,99,93,90,113,98,99,102,86,115,84,82,0.1809,460,0,12,0,15,5,5,15,71,5,53,0,50,5,5,226,50691579,4253175.59,BOONEVILLE,6.880613926181233,0.22,2787017.86,1164.18436,136,90,15,238.96890000000002,290.62,50691.579,38.37364042392127,6904742.788000001,5226.905971233914,6076598.109999999,4599.998569265707,11719198,8871,4253175,3219,Town,96200,32016,795434,373889.82572456,116419,298956.11,710956.76,1074.4619318697955,9895300.081999999,7490.764634367902
2800840,4320,BROOKHAVEN,17511668.19,6771.720104408353,13459833,4051835.1900000004,6022839.676,4051835.1900000004,2586,17.19387533487206,13659606,5282.136890951276,5204.885150812065,15006797,5803.092420726992,77,196,201,212,196,158,199,159,169,228,220,189,194,150,0.3909,558,29,26,0,38,5,5,18,134,5,61,0,104,5,0,399,215101417,12128797.01,BROOKHAVEN,150.4023932728626,0.28,7496815.42,2368.99435,276,115,10,1010.8674000000001,724.08,215101.417,83.17920224284609,8983957.324000001,3474.074757927301,10954961.809999999,4236.257467130703,25588630,9895,12128797,4690,Town,101900,39841,1607701,776720.86168052,280855,578745.37,1416898.65,1566.834953596288,19507312.21,7543.430862335654
2800870,0700,CALHOUN COUNTY,14885814.243999999,7156.641463461538,12030592,2855222.244,2855222.244,3621588.5700000003,2080,3.546505165434119,12223903,5876.876442307693,5783.9384615384615,13413291,6448.6975961538465,86,150,158,134,149,139,155,151,164,138,169,166,150,130,0.2712,798,134,19,0,47,5,5,14,131,5,33,5,118,5,0,382,101972223,4965747.48,CALHOUN COU,586.492871989203,0.324,7455794.86,1911.48889,296,81,10,564.096,673.9200000000001,101972.223,49.02510721153846,10558068.756000001,5075.9945942307695,9791702.43,4707.549245192307,16996339,8171,4965747,2387,Rural,70500,37263,1368363,637279.4525084,489806,464211.75,1347776.47,1372.703001923077,16697802.464,8027.789646153846
2800900,4520,CANTON,20652694.37,6523.276806696147,15874091,4778603.37,8080929.3040000005,4778603.37,3166,16.883714589148912,15486257,4891.426721415035,5013.926405559065,17698531,5590.18667087808,94,231,245,237,260,182,252,240,253,259,252,258,167,168,0.4863,978,308,38,0,13,13,5,27,57,11,76,5,92,5,0,335,288604618,16544485.96,CANTON,187.51797676293188,0.312,11363603.64,2751.11876,162,164,16,1539.6258,987.792,288604.618,91.15749147188882,9617601.695999999,3037.7769096651923,12919927.629999999,4080.836269740998,32418576,10239,16544485,5225,Rural,153400,41939,1661921,897744.97433396,393681,718289.38,1698647.97,1509.3504011370815,23069631.72,7286.680897030954
2800930,0800,CARROLL COUNTY,5722524.98,7108.726683229815,4398452,1324072.98,2510623.22,1324072.98,805,1.281231936307605,4615780,5733.888198757764,5463.91552795031,4903974,6091.893167701864,20,54,53,50,69,56,54,53,61,79,83,63,47,46,0.4275,178,33,5,0,5,5,5,5,37,5,18,0,52,0,0,137,89665115,2896775.33,CARROLL COU,628.3015410308437,0.221,3245091.3,738.583333,94,38,5,344.1375,177.905,89665.115,111.38523602484473,2393350.78,2973.106559006211,3579901.02,4447.08201242236,7295227,9062,2896775,3598,Rural,99000,46052,662293,248772.6821638,99740,180916.36,454766.41,1644.811155279503,6358207.750000001,7898.394720496895
2800200,0911,CHICKASAW COUNTY CONSOL,15339052.404,6928.207951219511,13120068,2218984.404,2218984.404,3949555.41,2214,5.496836147575836,12877302,5816.306233062331,5925.956639566396,14627983,6607.038392050587,59,194,183,174,154,146,134,150,152,171,195,168,150,126,0.3313,838,46,23,0,28,12,5,25,109,5,72,5,77,0,5,362,79249443,4476040.07,CHICKASAW C,402.7771504479714,0.264,5634791.05,1955.66111,214,142,10,733.4982,584.496,79249.443,35.79468970189702,12408998.596,5604.787080397471,10678427.59,4823.138026196929,17596108,7947,4476040,2021,NA,NA,NA,1520243,646341.7612634,378375,492494.54,1240723.92,1002.2513116531165,17072270.864,7711.052784101174
2800990,1000,CHOCTAW COUNTY,9162993.86,7449.58850406504,7042868,2120125.8600000003,7774436.208,2120125.8600000003,1230,2.941601509118056,6945544,5646.783739837399,5725.908943089431,7852318,6383.99837398374,65,91,105,89,96,83,92,103,88,95,99,86,65,62,0.2318,372,5,14,0,16,5,0,5,79,0,82,0,81,0,0,280,277658436,11067317.21,CHOCTAW COU,418.1395733539638,0.29600000000000004,4353851.68,1098.55556,176,106,0,285.11400000000003,364.08000000000004,277658.436,225.7385658536585,77881.79200000037,63.31853008130111,5732192.14,4660.31881300813,18110185,14723,11067317,8997,Rural,81400,36777,1236373,356057.88722324,239967,269270.86,961634.11,1723.67956097561,10393898.829999998,8450.324252032518
2801020,1100,CLAIBORNE COUNTY,8616846.84,7253.238080808081,6623088,1993758.84,2184837.452,1993758.84,1188,2.437681092409674,6431257,5413.5159932659935,5574.989898989899,7384292,6215.7340067340065,39,75,91,87,90,61,83,80,97,93,96,109,73,81,0.5606,588,0,5,0,5,5,5,15,30,11,59,0,44,0,5,179,78029909,5292737.7,CLAIBORNE C,487.34840816509313,0.39799999999999996,3868931.62,1017.72881,79,89,16,665.9928,472.82399999999996,78029.909,65.68174158249158,5199454.548,4376.6452424242425,5390533.16,4537.485824915825,11915825,10030,5292737,4455,Rural,67500,29338,835413,360442.7020964,371360,267400.93,609582.31,1678.2481818181818,9493830.08,7991.439461279461
2801050,1420,CLARKSDALE,14078591.311999999,6647.115822474032,12061369,2017222.312,2017222.312,3630853.35,2118,112.71631676836104,11613241,5483.116619452314,5694.6973559962225,13447605,6349.199716713881,75,173,167,153,179,121,110,183,110,167,190,164,149,133,0.5653,575,27,17,5,30,15,0,41,52,5,24,5,32,5,5,220,72043654,5040967.68,CLARKSDALE,18.79053592881872,0.516,14527676.69,1745.65093,114,102,20,1197.3054,1092.888,72043.654,34.014945231350325,11430382.688000001,5396.781250236072,9816751.65,4634.915793201133,17102336,8074,5040967,2380,Town,65400,30223,1470046,616231.62508296,213402,471224.01,1126703.84,952.4184664778093,15676519.161999999,7401.567120868744
.,1425,CLARKSDALE COLLEGIATE,4244987.836370161,8307.21690092008,3758302,486685.83637016045,486685.83637016045,1131367.77,511,Inf,3152814,6169.890410958904,7354.79843444227,4190251,8200.099804305284,0,69,73,78,76,5,70,75,0,0,0,0,0,0,0.5208,0,0,5,0,5,5,0,5,21,0,5,0,15,0,0,58,17381637.013220016,396211,CLARKSDALE C,0,0.516,1251932,416.883333,41,20,0,266.1288,263.676,17381.637013220017,34.014945231350325,3703565.1636298397,7247.681337827475,3058883.23,5986.072857142857,NA,NA,NA,NA,NA,NA,NA,68371,187836.37553092,0,118507.23,113604.7,952.4184664778091,4477099.766370161,8761.447683698945
2800750,0614,CLEVELAND,19451813.48,6902.701731724627,14951069,4500744.48,6140151.164000001,4500744.48,2818,26.20708102528859,14704672,5218.123491838183,5305.560326472676,16669424,5915.338537970191,68,218,217,203,204,184,247,207,203,219,235,227,206,129,0.4468,869,62,34,0,45,5,5,41,153,15,67,5,77,5,5,450,219291113,12328721.85,CLEVELAND,107.5281904642781,0.405,9162184.58,2530.39444,275,157,25,1259.0824,1141.29,219291.113,77.81799609652236,10529272.836,3736.434647267565,12168679.52,4318.19713271824,27279790,9680,12328721,4374,Town,129500,35789,2073160,841033.26990588,366002,637882.11,1699925.19,1597.141405251952,21789620.78,7732.299779985806
2801090,2521,CLINTON,35716945.3,6854.144175781999,27452788,8264157.300000001,8273302.408,8264157.300000001,5211,38.89745095683939,27710753,5317.741892151219,5268.2379581654195,30607990,5873.726731913261,46,342,324,369,358,383,376,444,405,452,465,468,395,348,0.1769,1262,237,49,0,66,21,5,31,252,5,74,5,114,0,5,630,295475086,19754262.53,CLINTON,133.9676475402495,0.155,9536034.84,4786.26257,432,185,10,921.8259,807.705,295475.086,56.70218499328344,22334687.592,4286.065552101324,22343832.7,4287.82051429668,47207050,9059,19754262,3790,Rural,167600,62362,2332623,1518946.77230744,423413,1193720.75,2470788.5,1585.9062176165805,39381454.55,7557.369900211092
2801110,1400,COAHOMA COUNTY,7457518.38,7548.095526315789,5732004,1725514.3800000001,4089162.9239999996,1725514.3800000001,988,1.8493732558731437,6170910,6245.86032388664,5801.6234817813765,6390794,6468.414979757085,0,49,61,58,78,50,80,87,72,122,82,79,87,63,0.5342,365,0,5,0,5,5,5,15,36,5,24,5,66,5,5,162,146041533,5658673.3,COAHOMA COU,534.2350425271701,0.44,5966637.66,962.591506,107,59,15,527.7896000000001,434.72,146041.533,147.81531680161942,2301631.0760000004,2329.5861093117414,4665279.62,4721.9429352226725,11390677,11529,5658673,5727,Rural,71700,27333,992769,308992.95452468,107670,226729.81,643050.39,1746.472044534413,8327298.579999999,8428.439858299595
2801140,8111,COFFEEVILLE,3141324.0300000003,7533.151151079137,2414487,726837.03,1406185.228,726837.03,417,1.2403494183040804,2336671,5603.52757793765,5790.136690647482,2691989,6455.6091127098325,0,31,26,27,29,24,33,32,20,28,37,36,44,32,0.5037,131,0,5,0,5,5,0,5,15,5,5,5,21,0,0,67,50220901,1989737.93,COFFEEVILLE,336.1955863777166,0.35100000000000003,2464604.96,368.960894,41,25,5,210.0429,146.36700000000002,50220.901,120.43381534772182,1285803.772,3083.4622829736213,1965151.97,4712.594652278178,4404224,10561,1989737,4771,Rural,74000,38197,307919,117224.65579764,57880,96067.99,277663.89,1743.0144604316547,3515055.9100000006,8429.390671462832
2801170,4620,COLUMBIA,12052505.288,7322.299688942892,9629524,2422981.288,2422981.288,2898791.2800000003,1646,24.845600519653804,9044947,5495.107533414338,5850.25759416768,10736264,6522.6391251518835,5,138,121,140,137,103,98,132,120,120,109,155,106,99,0.3224,498,5,38,0,32,20,0,11,113,5,83,0,65,0,0,363,86535046,6203323.22,COLUMBIA,66.2491533942982,0.298,6256365.45,1419.66006,210,152,5,530.6704000000001,490.508,86535.046,52.5729319562576,8313282.711999999,5050.597030376671,7837472.72,4761.526561360874,15832847,9618,6203323,3768,Town,94100,31430,1456267,459835.41939272,79052,367442.53,816243.04,1472.0420947752127,13236190.858,8041.4282247873625
