dist_id,district,total_enroll,model_4_total_funding,model_4_pp_funding,model_4_diff_total,model_4_diff_pp,model_4_state_share,model_4_state_share_pp,model_4_local_share_total,model_4_local_share_pp,model_4_local_mills_total,base_funding,sped_tier_1_funding,sped_tier_2_funding,sped_tier_3_funding,total_sped_funding,ell_funding,ed_funding,gifted_funding,vocational_funding,conc_pov_funding,sparsity_funding,local_share_expected_total,maep_rev_fy24,maep_fy24_pp,maep_rev_full_funding_fy24,maep_full_pp_fy24,maep_expected_local_total,maep_expected_local_pp,sped_pp_diff,ed_pp_diff,ell_enroll,gifted_enroll,econ_dis_enroll,stpov_enroll,sped_tier_1_enroll,sped_tier_2_enroll,sped_tier_3_enroll,local_diff_pp,local_funding_28_mill,local_funding_27_pct,totalEnrollment,direct_cert_pct,vocational_enroll,assessed_value,stpov_rate,ada_addon_fy24,teacher_addon_fy24,mill_1_value,mill_1_value_pp,local_share_mills,local_share_pp_mills,local_share_pct,sped_funding,at_risk_funding,cte_funding,local_share_expected_pp,sparsity_weight_adj,conc_pov_weight_adj,conc_pov_adm,sparsity_weighted_enroll,cte_pp_funding
5921,BOONEVILLE,1321,10551116.6295,7987.2192501892505,655816.5474999994,496.4546158213461,9131752.4175,6912.757318319455,1419364.2119999998,1074.4619318697955,1419364.2119999998,8388350,518160,714375,161925,1394460,0,455235.7545,20970.875,292100,0,0,1419364.2119999998,8475935.870000001,6416.302702498108,9334019.87,7065.874239212717,9895300.082,7490.764634367904,2485.5850622406642,340.40382985166684,0,66.05,238.9689,290.62,136,90,15,2144.5380681302045,1419364.2119999998,2520185.3649,1321,0.1809,460,50691579,0.22,298956.11,710956.76,50691.579,38.37364042392127,7914655.658,5991.412307342922,6813834.505099999,795434,373889.82572456,116419,1074.4619318697955,0,0,0,1661.5931699999999,253.08478260869566
4320,BROOKHAVEN,2586,20918499.946,8089.133776488785,872363.8505999967,337.34100951276105,15270504.960579999,5905.0676568368135,5647994.98542,2184.0661196519723,6022839.676,16421100,1051560,912812.5,107950,2072322.5,36830,1925702.3969999999,41052.75,354330,67162.29900000009,0,4590659.0754,15455477.02,5976.595908739366,17002441.02,6574.803178654292,20046136.0954,7751.792766976024,1158.6571072319202,1136.6293297414477,29,129.3,1010.8674,724.08,276,115,10,2914.803141763341,6022839.676,4590659.0754,2586,0.3909,558,215101417,0.28,578745.37,1416898.65,215101.417,83.17920224284609,10979601.344,4245.785515854602,12411781.9446,1607701,776720.86168052,280855,1775.1968582366592,0,0.04090000000000005,105.76740000000012,3294.2519600000005,503.32437275985666
0700,CALHOUN COUNTY,2080,17116402.115353595,8229.039478535382,418599.6513535939,201.24983238153527,14261179.871353596,6856.336476612306,2855222.244,1372.703001923077,2855222.244,13208000,1127760,642937.5,107950,1878647.5,170180,1074602.8800000001,33020,506730,0,245221.73535359238,2855222.244,13842580.22,6655.08664423077,15225279.22,7319.845778846154,16697802.464000002,8027.789646153847,1318.5645994832043,775.2641881729355,134,104,564.096,673.9200000000001,296,81,10,1014.296998076923,2855222.244,4110825.3894000007,2080,0.2712,798,101972223,0.324,464211.75,1347776.47,101972.223,49.02510721153846,12370056.976,5947.142776923077,11114453.8306,1368363,637279.4525084,489806,1372.703001923077,0.01453494834565881,0,0,2656.8788,613.7919799498746
4520,CANTON,3166,26465246.282,8359.206027163615,2743041.477500003,866.4060257422616,19319629.785860002,6102.220399829438,7145616.496140001,2256.985627334176,8080929.3040000005,20104100,617220,1301750,172720,2091690,391160,2932987.149,50260.25,621030,274018.8830000001,0,5431176.4545,18291028.35,5777.3304958938725,20115468.35,6353.590761212886,23722204.8045,7492.800001421353,1256.6345029239765,1321.907033946846,308,158.3,1539.6258,987.792,162,164,16,3509.5304944725203,8080929.304,5431176.4545,3166,0.4863,978,288604618,0.312,718289.38,1698647.97,288604.618,91.15749147188882,12034539.045999996,3801.180999999998,14684291.895499997,1661921,897744.97433396,393681,1715.4695055274794,0,0.13630000000000003,431.5258000000001,4167.755319999999,402.5368098159509
0800,CARROLL COUNTY,805,6937133.732431147,8617.557431591487,407291.63453114685,505.95234103248094,5064107.624674737,6290.816925061786,1873026.1077564098,2326.7405065297016,2510623.22,5111750,358140,301625,53975,713740,41910,655581.9375,12779.375,113030,39616.06250000001,248726.35743114687,1495707.3279,5034134.7700000005,6253.583565217392,5539656.7700000005,6881.561204968944,6529842.0979,8111.605090559006,375.52554744525514,1182.112543202063,33,40.25,344.1375,177.905,94,38,5,1739.9784746583848,2510623.22,1495707.3279,805,0.4275,178,89665115,0.221,180916.36,454766.41,89665.115,111.38523602484472,3029033.5500000003,3762.774596273293,4043949.4421000006,662293,248772.6821638,99740,1858.0215253416152,0.03718768063692395,0.07750000000000001,62.38750000000001,1053.2925,560.3370786516854
0911,CHICKASAW COUNTY CONSOL,2214,18132326.321,8189.849286811201,1060055.4569999985,478.7965027100263,15913341.917,7187.597975158084,2218984.404,1002.2513116531165,2218984.404,14058900,815340,1127125,107950,2050415,58420,1397314.071,35147.25,532130,0,0,2218984.404,14853286.46,6708.801472448057,16361201.46,7389.883224932249,17072270.864,7711.052784101174,1448.55737704918,1023.8229756209355,46,110.7,733.4982,584.496,214,142,10,1018.7486883468836,2218984.404,4417524.3942,2214,0.3313,838,79249443,0.264,492494.54,1240723.92,79249.443,35.79468970189702,14142217.055999998,6387.631913279132,11943677.0658,1520243,646341.7612634,378375,1002.2513116531164,0,0,0,2855.48446,451.5214797136038
1000,CHOCTAW COUNTY,1230,10336141.296838732,8403.366907998969,-390101.875061268,-317.1559959847709,7545383.146692274,6134.457842839247,2790758.150146458,2268.9090651597216,7774436.208,7810500,670560,841375,0,1511935,6350,543142.17,19526.25,236220,0,208467.87683873178,2452470.2019,8273772.970000001,6726.644691056911,9083222.97,7384.73412195122,10726243.1719,8720.52290398374,977.1702127659573,656.1736104742665,5,61.5,285.11400000000003,364.08,176,106,0,7003.121787073171,7774436.208,2452470.2019,1230,0.2318,372,277658436,0.29600000000000004,269270.86,961634.11,277658.436,225.7385658536585,1308786.762000001,1064.0542780487813,6630752.768100001,1236373,356057.88722324,239967,1993.8782129268295,0.02058398490881944,0,0,1594.9092,645.0725806451613
1100,CLAIBORNE COUNTY,1188,10813940.870642493,9102.643830507148,1129032.1786424927,950.363786736104,8629103.418642493,7263.555066197385,2184837.452,1839.0887643097644,2184837.452,7543800,300990,706437.5,172720,1180147.5,0,1268716.284,18859.5,373380,158872.428,270165.15864249255,2184837.452,7500071.24,6313.19127946128,8261275.24,6953.935387205387,9684908.692,8152.280043771044,1873.557065217391,1363.788890666085,0,59.400000000000006,665.9928,472.824,79,89,16,2615.9112356902356,2184837.452,2230544.3148000003,1188,0.5606,588,78029909,0.398,267400.93,609582.31,78029.909,65.68174158249158,6076437.788000001,5114.846622895623,6030730.9252,835413,360442.7020964,371360,1839.0887643097644,0.02562318907590326,0.2106,250.1928,1660.43712,631.5646258503401
1420,CLARKSDALE,2118,17912633.466000002,8457.334025495751,2236114.3040000014,1055.7669046270075,15895411.154000003,7504.9155590179425,2017222.312,952.4184664778093,2017222.312,13449300,434340,809625,215900,1459865,34290,2280866.787,33623.25,365125,289563.4290000001,0,2017222.312,13659296.85,6449.148654390935,15045532.85,7103.651015108593,15676519.162,7401.567120868744,-43.139830508474915,1390.3179271696595,27,105.9,1197.3054,1092.888,114,102,20,1427.5815335221907,2017222.312,4062293.8695,2118,0.5653,575,72043654,0.516,471224.01,1126703.84,72043.654,34.014945231350325,13028310.538,6151.232548630783,10983238.9805,1470046,616231.62508296,213402,952.4184664778091,0,0.21530000000000005,456.0054000000001,2820.88716,371.1339130434783
1425,CLARKSDALE COLLEGIATE,600,4794834.2,7991.390333333334,317734.4336298397,529.557389383066,4308148.363629839,7180.247272716399,486685.83637016045,811.1430606169341,486685.83637016045,3810000,156210,158750,0,314960,0,595274.4,9525,0,65074.800000000025,0,486685.83637016045,3990413.93,6650.6898833333335,4422362.930000001,7370.604883333334,4477099.7663701605,7461.832943950268,4042.44262295082,1303.8851269491809,0,30,312.48,309.6,41,20,0,NA,486685.83637016045,1194037.9911000002,511,0.5208,0,17381637.013220016,0.516,118507.23,113604.7,17381.637013220017,28.96939502203336,3935677.09362984,6559.4618227164,3228324.9389000004,68371,187836.37553092,0,811.1430606169341,0,0.17080000000000006,102.48000000000003,755.0920000000001,NA
