dist_id,district,total_enroll,geoid,local_diff_pp,maep_expected_local_total,maep_expected_local_pp,maep_rev_fy24,local_share_expected_total,local_funding_28_mill,local_funding_27_pct,st_per_sq_mile,maep_rev_fy23,maep_fy23_pp,maep_fy24_pp,maep_rev_full_funding_fy24,maep_full_pp_fy24,gr_prek_enroll,gr_k_enroll,gr_1_enroll,gr_2_enroll,gr_3_enroll,gr_4_enroll,gr_5_enroll,gr_6_enroll,gr_7_enroll,gr_8_enroll,gr_9_enroll,gr_10_enroll,gr_11_enroll,gr_12_enroll,totalEnrollment,assessed_value,local_revenue,sq_miles,stpov_rate,federal_revenue,total_ada,ada_addon_fy24,teacher_addon_fy24,econ_dis_enroll,stpov_enroll,mill_1_value,mill_1_value_pp,local_share_mills,local_share_pp_mills,local_share_pct,local_share_pp_pct,rev_total_local_state,rev_pp_local_state,local_revenue_total,local_revenue_pp,urbanicity,mpv,mhi,sped_funding,at_risk_funding,cte_funding,local_share_expected_pp,direct_cert_pct,ell_enroll,vocational_enroll,sped_tier_1_enroll,sped_tier_2_enroll,sped_tier_3_enroll,sped_enroll,sparsity_multiplier,students_sq_mile,matt_wsf_pp,matt_wsf_total
0614,CLEVELAND,2818,2800750,2552.8671217175297,22420828.751,7956.291253016324,17288876.3,5131952.451,6140151.164000001,5131952.451,26.20708102528859,14704672,5218.123491838183,6135.158374733854,19007231.3,6744.93658623137,68,218,217,203,204,184,247,207,203,219,235,227,206,129,2818,219291113,12328721.85,107.5281904642781,0.405,9162184.58,2530.39444,637882.11,1699925.19,1259.0824,1141.29,219291.113,77.81799609652236,12867080.136,4566.032695528744,13875278.849,4923.8037079488995,27279790,9680,12328721,4374,Town,129500,35789,2073160,841033.26990588,366002,1821.13287828247,0.45,52,824,310,186,17,513,0,24.97,8905,25095138
2521,CLINTON,5211,2801090,2202.338820188063,39390599.658,7559.124862406448,31117297.25,8273302.408,8273302.408,9253574.7975,38.89745095683939,27710753,5317.741892151219,5971.463682594512,34272499.25,6576.952456342353,46,342,324,369,358,383,376,444,405,452,465,468,395,348,5211,295475086,19754262.53,133.9676475402495,0.155,9536034.84,4786.26257,1193720.75,2470788.5,921.8259,807.705,295475.086,56.70218499328344,25999196.842,4989.291276530416,25018924.4525,4801.175293129918,47207050,9059,19754262,3790,Rural,167600,62362,2332623,1518946.77230744,423413,1587.6611798119363,0.18,259,1105,454,214,16,684,0,38.097,7947,41414348
1400,COAHOMA COUNTY,988,2801110,3742.83498582996,8562139.234,8666.132827935222,6601784.199999999,1960355.034,4089162.924,1960355.034,1.8493732558731435,6170910,6245.86032388664,6681.967813765182,7260574.199999999,7348.75931174089,0,49,61,58,78,50,80,87,72,122,82,79,87,63,988,146041533,5658673.3,534.2350425271701,0.44,5966637.66,962.591506,226729.81,643050.39,527.7896000000001,434.72,146041.533,147.81531680161942,3171411.2759999996,3209.930441295546,5300219.165999999,5364.594297570849,11390677,11529,5658673,5727,Rural,71700,27333,992769,308992.95452468,107670,1984.1650141700404,0.53,0,319,122,50,5,177,0.061,1.855,9575,9459978
8111,COFFEEVILLE,417,2801140,2786.000869064748,3615963.5176,8671.375341966428,2788218.8800000004,827744.6376000001,1406185.228,827744.6376000001,1.2403494183040804,2336671,5603.52757793765,6686.376211031176,3065720.8800000004,7351.848633093526,0,31,26,27,29,24,33,32,20,28,37,36,44,32,417,50220901,1989737.93,336.1955863777166,0.35100000000000003,2464604.96,368.960894,96067.99,277663.89,210.0429,146.36700000000002,50220.901,120.43381534772182,1659535.6520000005,3979.7018033573154,2237976.2424000003,5366.849502158274,4404224,10561,1989737,4771,Rural,74000,38197,307919,117224.65579764,57880,1984.999130935252,0.5,0,97,45,23,5,73,0.07,1.026,9506,3964141
4620,COLUMBIA,1646,2801170,2295.9579052247873,13236190.858,8041.428224787363,10813209.57,2422981.288,2422981.288,3218386.3839,24.845600519653804,9044947,5495.107533414338,6569.386130012151,11919949.57,7241.767660996355,5,138,121,140,137,103,98,132,120,120,109,155,106,99,1646,86535046,6203323.22,66.2491533942982,0.298,6256365.45,1419.66006,367442.53,816243.04,530.6704000000001,490.508,86535.046,52.5729319562576,9496968.282,5769.725566221142,8701563.1861,5286.490392527339,15832847,9618,6203323,3768,Town,94100,31430,1456267,459835.41939272,79052,1472.0420947752127,0.32,14,390,229,129,4,362,0,28.324,8694,14309676
4420,COLUMBUS,3090,2801200,2520.283006116505,24212194.4411,7835.661631423949,18666518.93,5545675.511100001,6158857.2360000005,5545675.511100001,46.88638155601814,16151073,5226.884466019417,6040.944637540453,20539538.93,6647.099977346278,95,255,260,250,248,212,191,221,186,250,265,248,193,172,3090,219959187,13334111.09,65.90399807901962,0.32899999999999996,13193710.86,2717.00049,694447.69,1675292.24,1691.157,1016.61,219959.187,71.18420291262136,14380681.693999998,4653.94229579288,14993863.418899998,4852.382983462782,29630890,9589,13334111,4315,Town,127200,40362,2375056,939256.16621032,337991,1794.7169938834954,0.55,50,984,251,226,13,490,0,47.559,9097,28110381
1500,COPIAH COUNTY,2205,2801220,570.4264253968254,17568251.762000002,7967.461116553289,13884637.03,3683614.732,3683614.732,4129570.628100001,4.93409564785735,12820619,5814.339682539682,6296.887541950114,15294706.03,6936.3746167800455,0,163,174,145,151,130,165,171,162,186,197,202,164,163,2205,131557669,4941811.16,446.89040451770114,0.247,6866971.38,2136.74843,509557.71,1106346.32,867.888,544.635,131557.669,59.66334195011338,11611091.298,5265.801042176871,11165135.4019,5063.553470249433,17210544,7805,4941811,2241,Rural,99400,46493,1483727,671774.403562,137076,1670.5735746031746,0.39,106,361,217,124,14,355,0.033,4.654,8863,19542716
0220,CORINTH,2490,2801260,1433.7870570281125,17212260.758,6912.554521285141,14081800.53,3130460.228,3130460.228,4189722.4431000007,81.66326476738158,12920052,5188.775903614458,5655.341578313253,15517490.53,6231.923907630523,119,187,193,200,188,182,204,187,174,154,193,176,132,141,2490,111802151,6702195.74,30.4910660514588,0.27,5945567.09,2147.51111,548826.38,1041315.15,807.2579999999999,672.3000000000001,111802.151,44.900462248995986,12387030.302,4974.710964658635,11327768.0869,4549.304452570281,19193854,7708,6702195,2691,Town,123400,38646,1309748,731117.53393968,149433,1257.2129429718875,0.32,257,789,215,95,0,310,0,128.336,8319,20714850
1600,COVINGTON COUNTY,2609,2801290,2042.3725507857416,21701161.515,8317.808169796857,16731988.5,4969173.015000001,8160987.716,4969173.015000001,6.305562967360604,14578892,5587.923342276735,6413.180720582599,18404344.5,7054.1757378305865,0,241,209,188,195,178,177,208,192,226,229,216,179,103,2609,291463847,10299071.680000002,413.7616281852912,0.28600000000000003,11599438.1,2312.99991,600717.12,1580427.38,1000.8124,746.1740000000001,291463.847,111.7147746262936,10243356.784,3926.162048294366,13435171.485,5149.548288616328,24849915,9524,10299071,3947,Rural,77100,38178,2930320,761519.45408596,323221,1904.6274492142584,0.38,64,495,509,131,8,648,0.02,6.032,9009,23505372
1700,DESOTO COUNTY,35003,2801320,1785.981608205011,263758600.308,7535.314124732165,205127931.54,58630668.768,58630668.768,60973728.8958,73.49241433175584,181119369,5174.395594663315,5860.295732937177,225828625.54,6451.693441704996,5,2388,2584,2490,2574,2485,2564,2684,2736,2877,3092,2794,2597,2437,35003,2093952456,121174285.74,476.28044769343376,0.127,51394776.14,30014.9157,8036987.35,16978282.19,6178.0295,4445.381,2093952.456,59.82208542124961,167197956.77199998,4776.675049910007,164854896.6442,4709.736212444647,301286947,8607,121174285,3461,Suburb,168500,67038,25877680,10076320.6892928,1562060,1675.018391794989,0.18,1521,6277,2836,2381,141,5358,0,71.675,8131,284614810
