dist_id,district,total_enroll,model_8_total_funding,model_8_pp_funding,model_8_diff_total,model_8_diff_pp,model_8_state_share,model_8_state_share_pp,model_8_local_share_total,model_8_local_share_pp,model_8_local_mills_total,base_funding,sped_tier_1_funding,sped_tier_2_funding,sped_tier_3_funding,total_sped_funding,ell_funding,ed_funding,gifted_funding,vocational_funding,conc_pov_funding,sparsity_funding,local_share_expected_total,maep_rev_fy24,maep_fy24_pp,maep_rev_full_funding_fy24,maep_full_pp_fy24,maep_expected_local_total,maep_expected_local_pp,sped_pp_diff,ed_pp_diff,ell_enroll,gifted_enroll,econ_dis_enroll,stpov_enroll,sped_tier_1_enroll,sped_tier_2_enroll,sped_tier_3_enroll,direct_cert_pct,local_diff_pp,local_funding_28_mill,local_funding_27_pct,totalEnrollment,vocational_enroll,assessed_value,stpov_rate,ada_addon_fy24,teacher_addon_fy24,mill_1_value,mill_1_value_pp,local_share_mills,local_share_pp_mills,local_share_pct,sped_funding,at_risk_funding,cte_funding,local_share_expected_pp,sparsity_weight_adj,conc_pov_weight_adj,conc_pov_adm,sparsity_weighted_enroll,cte_pp_funding
5921,BOONEVILLE,1321,11132674.239,8427.459681302043,1237374.1569999997,936.6950469341391,9713310.027,7352.997749432248,1419364.2119999998,1074.4619318697955,1419364.2119999998,8850700,546720,753750,170850,1471320,0,480327.489,22126.75,308200,0,0,1419364.2119999998,8475935.870000001,6416.302702498108,9334019.87,7065.874239212717,9895300.082,7490.764634367904,2804.50622406639,445.40382985166684,0,66.05,238.9689,290.62,136,90,15,0.1809,2144.5380681302045,1419364.2119999998,2520185.3649,1321,460,50691579,0.22,298956.11,710956.76,50691.579,38.37364042392127,7914655.658,5991.412307342922,6813834.505099999,795434,373889.82572456,116419,1074.4619318697955,0,0,0,1661.5931699999999,253.08478260869566
4320,BROOKHAVEN,2586,22071488.132,8534.99154369683,2025352.0365999974,783.1987767208057,16112186.33636,6230.543826898685,5959301.79564,2304.447716798144,6022839.676,17326200,1109520,963125,113900,2186545,38860,2031843.474,43315.50000000001,373860,70864.15800000008,0,4590659.0754,15455477.02,5976.595908739366,17002441.02,6574.803178654292,20046136.0954,7751.792766976024,1443.5012468827927,1241.6293297414477,29,129.3,1010.8674,724.08,276,115,10,0.3909,2914.803141763341,6022839.676,4590659.0754,2586,558,215101417,0.28,578745.37,1416898.65,215101.417,83.17920224284609,10979601.344,4245.785515854602,12411781.9446,1607701,776720.86168052,280855,1775.1968582366592,0,0.04090000000000005,105.76740000000012,3294.2519600000005,503.32437275985666
0700,CALHOUN COUNTY,2080,18059825.85399513,8682.608583651505,1362023.389995128,654.8189374976582,15204603.60999513,7309.905581728428,2855222.244,1372.703001923077,2855222.244,13936000,1189920,678375,113900,1982195,179560,1133832.96,34840,534660,0,258737.89399512895,2855222.244,13842580.22,6655.08664423077,15225279.22,7319.845778846154,16697802.464000002,8027.789646153847,1586.1291989664082,880.2641881729353,134,104,564.096,673.9200000000001,296,81,10,0.2712,1014.296998076923,2855222.244,4110825.3894000007,2080,798,101972223,0.324,464211.75,1347776.47,101972.223,49.02510721153846,12370056.976,5947.142776923077,11114453.8306,1368363,637279.4525084,489806,1372.703001923077,0.01453494834565881,0,0,2656.8788,613.7919799498746
4520,CANTON,3166,27923960.643999998,8819.949666456096,4201755.839499999,1327.1496650347426,20384491.27012,6438.56325651295,7539469.37388,2381.3864099431457,8080929.3040000005,21212200,651240,1373500,182240,2206980,412720,3094647.858,53030.50000000001,655260,289122.2860000001,0,5431176.4545,18291028.35,5777.3304958938725,20115468.35,6353.590761212886,23722204.8045,7492.800001421353,1593.7397660818715,1426.907033946846,308,158.3,1539.6258,987.792,162,164,16,0.4863,3509.5304944725203,8080929.304,5431176.4545,3166,978,288604618,0.312,718289.38,1698647.97,288604.618,91.15749147188882,12034539.045999996,3801.180999999998,14684291.895499997,1661921,897744.97433396,393681,1715.4695055274794,0,0.13630000000000003,431.5258000000001,4167.755319999999,402.5368098159509
0800,CARROLL COUNTY,805,7319495.434218691,9092.540912072907,789653.3363186903,980.9358215139009,5343231.666979644,6637.554865813223,1976263.7672390465,2454.9860462596853,2510623.22,5393500,377880,318250,56950,753080,44220,691716.375,13483.75,119260,41799.62500000001,262435.6842186904,1495707.3279,5034134.7700000005,6253.583565217392,5539656.7700000005,6881.561204968944,6529842.0979,8111.605090559006,662.6788321167878,1287.112543202063,33,40.25,344.1375,177.905,94,38,5,0.4275,1739.9784746583848,2510623.22,1495707.3279,805,178,89665115,0.221,180916.36,454766.41,89665.115,111.38523602484472,3029033.5500000003,3762.774596273293,4043949.4421000006,662293,248772.6821638,99740,1858.0215253416152,0.03718768063692395,0.07750000000000001,62.38750000000001,1053.2925,560.3370786516854
0911,CHICKASAW COUNTY CONSOL,2214,19131745.882,8641.258302619692,2059475.0179999992,930.2055185185172,16912761.478,7639.006990966576,2218984.404,1002.2513116531165,2218984.404,14833800,860280,1189250,113900,2163430,61640,1474331.382,37084.5,561460,0,0,2218984.404,14853286.46,6708.801472448057,16361201.46,7389.883224932249,17072270.864,7711.052784101174,1757.3415300546449,1128.8229756209355,46,110.7,733.4982,584.496,214,142,10,0.3313,1018.7486883468836,2218984.404,4417524.3942,2214,838,79249443,0.264,492494.54,1240723.92,79249.443,35.79468970189702,14142217.055999998,6387.631913279132,11943677.0658,1520243,646341.7612634,378375,1002.2513116531164,0,0,0,2855.48446,451.5214797136038
1000,CHOCTAW COUNTY,1230,10905849.87225504,8866.544611589463,179606.7003550399,146.02170760572335,7961270.406746179,6472.577566460308,2944579.465508861,2393.9670451291554,7774436.208,8241000,707520,887750,0,1595270,6700,573079.14,20602.5,249240,0,219958.23225503982,2452470.2019,8273772.970000001,6726.644691056911,9083222.97,7384.73412195122,10726243.1719,8720.52290398374,1272.6843971631206,761.1736104742663,5,61.5,285.11400000000003,364.08,176,106,0,0.2318,7003.121787073171,7774436.208,2452470.2019,1230,372,277658436,0.29600000000000004,269270.86,961634.11,277658.436,225.7385658536585,1308786.762000001,1064.0542780487813,6630752.768100001,1236373,356057.88722324,239967,1993.8782129268295,0.02058398490881944,0,0,1594.9092,645.0725806451613
1100,CLAIBORNE COUNTY,1188,11409984.855638538,9604.364356598096,1725076.1636385377,1452.0843128270526,9225147.403638538,7765.275592288332,2184837.452,1839.0887643097644,2184837.452,7959600,317580,745375,182240,1245195,0,1338645.528,19899.000000000004,393960,167629.176,285056.15163853543,2184837.452,7500071.24,6313.19127946128,8261275.24,6953.935387205387,9684908.692,8152.280043771044,2227.076086956522,1468.788890666085,0,59.400000000000006,665.9928,472.824,79,89,16,0.5606,2615.9112356902356,2184837.452,2230544.3148000003,1188,588,78029909,0.398,267400.93,609582.31,78029.909,65.68174158249158,6076437.788000001,5114.846622895623,6030730.9252,835413,360442.7020964,371360,1839.0887643097644,0.02562318907590326,0.2106,250.1928,1660.43712,631.5646258503401
1420,CLARKSDALE,2118,18899943.972,8923.486294617564,3223424.8099999987,1521.91917374882,16882721.66,7971.067828139755,2017222.312,952.4184664778093,2017222.312,14190600,458280,854250,227800,1540330,36180,2406583.854,35476.5,385250,305523.6180000001,0,2017222.312,13659296.85,6449.148654390935,15045532.85,7103.651015108593,15676519.162,7401.567120868744,297.81355932203314,1495.3179271696595,27,105.9,1197.3054,1092.888,114,102,20,0.5653,1427.5815335221907,2017222.312,4062293.8695,2118,575,72043654,0.516,471224.01,1126703.84,72043.654,34.014945231350325,13028310.538,6151.232548630783,10983238.9805,1470046,616231.62508296,213402,952.4184664778091,0,0.21530000000000005,456.0054000000001,2820.88716,371.1339130434783
1425,CLARKSDALE COLLEGIATE,600,5059116.399999999,8431.860666666666,582016.6336298389,970.0277227163979,4572430.563629839,7620.717606049731,486685.83637016045,811.1430606169341,486685.83637016045,4020000,164820,167500,0,332320,0,628084.8,10050,0,68661.60000000002,0,486685.83637016045,3990413.93,6650.6898833333335,4422362.930000001,7370.604883333334,4477099.7663701605,7461.832943950268,4327.0327868852455,1408.8851269491809,0,30,312.48,309.6,41,20,0,0.5208,NA,486685.83637016045,1194037.9911000002,511,0,17381637.013220016,0.516,118507.23,113604.7,17381.637013220017,28.96939502203336,3935677.09362984,6559.4618227164,3228324.9389000004,68371,187836.37553092,0,811.1430606169341,0,0.17080000000000006,102.48000000000003,755.0920000000001,NA
