geoid,dist_id,district,maep_expected_local_total,maep_expected_local_pp,maep_rev_fy24,local_share_expected_total,local_funding_28_mill,local_funding_27_pct,total_enroll,st_per_sq_mile,maep_rev_fy23,maep_fy23_pp,maep_fy24_pp,maep_rev_full_funding_fy24,maep_full_pp_fy24,gr_prek_enroll,gr_k_enroll,gr_1_enroll,gr_2_enroll,gr_3_enroll,gr_4_enroll,gr_5_enroll,gr_6_enroll,gr_7_enroll,gr_8_enroll,gr_9_enroll,gr_10_enroll,gr_11_enroll,gr_12_enroll,direct_cert_pct,vocational_enroll,ell_enroll,autism,deaf_blind,developmentally_delayed,emotional_disability,hearing_impaired,intellectual_disability,language_speech_impaired,multiple_disabilities,other_health_impairment,orthopedic_impairment,specific_learning_disability,traumatic_brain_injury,visually_impaired,sped_enroll,assessed_value,local_revenue,shortName,sq_miles,stpov_rate,federal_revenue,total_ada,sped_tier_1_enroll,sped_tier_2_enroll,sped_tier_3_enroll,econ_dis_enroll,stpov_enroll,mill_1_value,mill_1_value_pp,local_share_mills,local_share_pp_mills,local_share_pct,local_share_pp_pct,rev_total_local_state,rev_pp_local_state,local_revenue_total,local_revenue_pp,urbanicity,mpv,mhi,sped_funding,at_risk_funding,local_share_expected_pp
2802040,2700,HUMPHREYS COUNTY,9611035.44,7962.746843,7387242,2223793.44,2416598.576,2223793.44,1207,2.883267673,7296613,6045.246893,6120.333057,8236272,6823.754764,0,78,63,66,105,56,79,108,106,114,121,123,95,68,0.6359,641,0,5,0,5,5,5,21,67,5,22,0,62,5,5,210,86307092,3266347.3,HUMPHREYS C,418.6222498,0.433,4763728.07,1194.56182,134,58,15,767.5313,522.631,86307.092,71.50546147,5819673.424,4821.601843,6012478.56,4981.340978,10653589,8826,3266347,2706,Town,69100,28962,906418,367458.9429,1842.413786
2801950,4720,HOLLY SPRINGS,7304756.41,7126.59162,5614588,1690168.41,2606961.504,1690168.41,1025,5.711054768,5870114,5726.940488,5477.646829,6259883,6107.202927,17,75,87,90,88,68,73,85,63,71,96,86,72,43,0.43,342,22,15,0,23,5,5,5,65,5,25,0,40,0,5,191,93105768,5233731.99,HOLLY SPRIN,179.4764788,0.329,4063947.91,930.405556,128,55,10,440.75,337.225,93105.768,90.83489561,3652921.496,3563.82585,4569714.59,4458.258137,10848319,10583,5233731,5106,Town,88900,36744,977384,314546.6953,1648.94479
2801890,7611,HOLLANDALE,4220933.064,7702.432599,3280251,940682.064,940682.064,987459.12,548,2.873005181,3244025,5919.75365,5985.859489,3657256,6673.824818,40,33,29,32,45,49,36,30,46,47,47,35,37,32,0.7313,20,0,5,0,5,5,0,5,23,0,11,0,23,0,5,83,33595788,1852461.6,HOLLANDALE,190.7410413,0.366,4336243.53,486.931409,51,26,5,400.7524,200.568,33595.788,61.30618248,2716573.936,4957.251708,2669796.88,4871.892117,5132712,9366,1852461,3380,Rural,67300,32604,335956,153181.2118,1716.573109
2801860,2500,HINDS COUNTY,33476825.19,6738.491383,25730985,7745840.19,12272488.31,7745840.19,4968,7.864957046,25479863,5128.7969,5179.344807,28688297,5774.616948,86,329,320,326,362,309,380,399,367,391,452,434,352,399,0.3017,1212,74,50,0,56,19,5,42,112,16,101,5,225,5,0,631,438303154,28401203.2,HINDS COUNT,631.6626996,0.204,10854508.62,4539.08777,393,222,21,1498.8456,1013.472,438303.154,88.22527254,16415808.69,3304.309317,20942456.81,4215.470372,54132188,10896,28401203,5716,Rural,149700,60334,2923802,1502575.544,1559.146576
2801830,1520,HAZLEHURST,8830033.95,6454.70318,6786948,2043085.95,3159608.676,2043085.95,1368,4.141842972,6715514,4909.001462,4961.219298,7566985,5531.421784,39,101,98,89,125,83,97,123,66,131,105,116,90,84,0.5122,524,137,5,0,5,5,5,14,5,5,24,5,37,5,0,107,112843167,5442692.68,HAZLEHURST,330.287751,0.317,4178602.9,1174.90906,47,58,10,700.6896,433.656,112843.167,82.48769518,4407376.324,3221.766319,5523899.05,4037.937902,12229640,8939,5442692,3978,Town,89900,37137,661335,413062.2707,1493.483882
2801800,1820,HATTIESBURG,24377844.45,6647.898677,18737319,5640525.45,10077916.02,5640525.45,3667,151.6861203,18204749,4964.480229,5109.71339,20890835,5696.982547,96,357,347,305,275,269,209,275,237,269,259,256,235,182,0.5398,1463,202,65,0,62,14,5,37,110,19,92,5,79,5,5,483,359925572,23641465.01,HATTIESBURG,24.17492117,0.339,16408732.55,3235.37222,251,218,29,1979.4466,1243.113,359925.572,98.15259667,10812918.98,2948.70984,15250309.55,4158.797259,42378784,11556,23641465,6447,City,106900,33639,2403680,1061450.1,1538.185288
2801770,2400,HARRISON COUNTY,96615855.78,6730.467139,74260959,22354896.78,30333828.2,22354896.78,14355,31.39476026,73342961,5109.227517,5173.17722,82795914,5767.740439,0,1047,1232,1180,1070,1093,1091,1141,1155,1253,1296,1087,832,784,0.3484,3413,624,256,5,294,104,24,77,579,40,486,22,332,5,5,2228,1083351007,56565734.38,HARRISON CO,457.2419053,0.226,30180940.03,13107.5533,1205,969,55,5001.282,3244.23,1083351.007,75.46854803,52462085.8,3654.621094,60441017.22,4210.45052,130826693,9113,56565734,3940,Rural,147400,51499,9073970,4185580.127,1557.289918
2801740,2300,HANCOCK COUNTY,28983853,7138.880049,22277593,6706260,12012236.94,6706260,4060,10.28833036,22007459,5420.556404,5487.091872,24838000,6117.73399,5,296,342,338,316,302,289,295,319,344,337,314,293,241,0.2348,1309,0,91,0,75,44,5,29,150,12,67,5,257,0,5,736,429008462,19348284.81,HANCOCK COU,394.6218537,0.211,10670942.95,3713.07263,482,241,17,953.288,856.66,429008.462,105.6671089,12825763.06,3159.054942,18131740,4465.945813,41625877,10252,19348284,4765,Rural,135900,53182,3003329,1208492.213,1651.788177
2801710,2421,GULFPORT,42077057.77,6883.209189,32341303,9735754.77,12165904.83,9735754.77,6113,271.2453621,32914005,5384.263864,5290.577949,36058351,5898.634222,81,484,523,498,449,482,456,466,460,485,549,416,360,401,0.4456,1636,320,122,0,112,73,5,37,149,17,150,5,316,5,5,992,434496601,31515294.04,GULFPORT,22.53679087,0.328,22103133.67,5786.39444,577,392,27,2723.9528,2005.064,434496.601,71.0774744,23892446.17,3908.464939,26322596.23,4306.002982,63856597,10446,31515294,5155,City,135900,36464,4718089,1856002.9,1592.63124
2801680,2220,GRENADA,27536664.59,7126.465991,21165254,6371410.59,6652979.312,6371410.59,3864,9.155008377,22643366,5860.084369,5477.550207,23597817,6107.095497,152,346,334,279,271,252,266,250,281,288,280,258,245,253,0.2991,1144,5,156,0,72,21,5,39,89,23,184,5,75,5,5,675,237606404,9572418.34,GRENADA,422.0640594,0.344,15370924.91,3285.71111,236,410,33,1155.7224,1329.216,237606.404,61.49234058,16944837.69,4385.309961,17226406.41,4458.179713,30737672,7954,9572418,2477,Town,105000,40122,3357478,1112608.063,1648.915784
2801620,7620,GREENVILLE,24656075.76,6961.06035,19253569,5402506.76,5402506.76,5795933.13,3542,94.38547615,18699214,5279.281197,5435.790232,21466419,6060.536138,110,250,289,315,303,271,287,261,285,247,294,198,198,163,0.6286,984,13,17,0,59,5,5,32,68,5,14,5,168,5,5,388,192946670,11675470.27,GREENVILLE,37.52696013,0.427,16480297.61,3148.30556,295,78,15,2226.5012,1512.434,192946.67,54.47393281,16063912.24,4535.266019,15670485.87,4424.191381,30929039,8732,11675470,3296,Town,73000,26150,1973598,1072265.798,1525.270119
2801590,2100,GREENE COUNTY,12276084.24,7485.41722,9435654,2840430.24,3571711.892,2840430.24,1640,2.301300767,9199826,5609.65,5753.447561,10520112,6414.702439,0,149,149,134,106,124,147,121,129,131,157,103,83,90,0.2595,763,5,22,0,15,5,5,5,59,5,30,0,77,5,0,230,127561139,6635647.57,GREENE COUN,712.6404439,0.234,6685145.14,1503.28556,151,67,10,425.58,383.76,127561.139,77.78118232,6948400.108,4236.829334,7679681.76,4682.73278,16071301,9799,6635647,4046,Rural,77700,49677,1159160,484975.3827,1731.969659
2801560,2000,GEORGE COUNTY,27816538.08,6678.640595,22454696,5361842.08,5361842.08,6759573.39,4165,8.701916152,22230598,5337.478511,5391.283553,25035457,6010.914046,123,314,334,328,303,299,292,318,334,312,297,255,273,254,0.2409,1368,55,54,0,72,13,12,32,125,5,99,5,278,5,5,697,191494360,9944452.61,GEORGE COUN,478.6302151,0.201,14084643.9,3607.17978,475,215,15,1003.3485,837.165,191494.36,45.97703721,19673614.92,4723.557004,18275883.61,4387.967253,32399148,7778,9944452,2387,Rural,110800,47292,2616531,1193583.484,1287.357042
2801530,1900,FRANKLIN COUNTY,9356942.112,7726.62437,7404663,1952279.112,1952279.112,2229037.65,1211,2.147597055,7162297,5914.365813,6114.50289,8255695,6817.254335,41,83,88,84,77,79,74,79,100,103,101,122,100,63,0.2573,301,0,14,0,27,18,5,5,55,5,40,5,108,0,5,275,69724254,3442611.43,FRANKLIN CO,563.8860406,0.314,5208620.27,1086.38889,190,87,10,311.5903,380.254,69724.254,57.57576713,6303415.888,5205.132855,6026657.35,4976.595665,10847274,8957,3442611,2842,Rural,76600,40219,1232123,348749.8624,1612.12148
2801510,1802,FORREST AHS,4352471.11,7123.520638,3345400,1007071.11,20963441.97,1007071.11,611,Inf,3286429,5378.770867,5475.286416,3729893,6104.571195,0,0,0,0,0,0,0,0,0,0,169,171,5,135,0.2814,480,11,5,0,0,5,0,5,0,5,32,5,48,5,5,113,748694356,2377849.11,FORREST AHS,0,0,1634607.82,525.039106,48,52,15,171.9354,0,748694.356,1225.359011,-17233548.97,-28205.48113,2722821.89,4456.336972,5723249,9367,2377849,3891,NA,NA,NA,431797,175397.9652,1648.234223
2801490,1800,FORREST COUNTY,14936478.01,7015.724758,11480488,3455990.01,5323374.588,3455990.01,2129,6.099294675,11758426,5522.980742,5392.432128,12799963,6012.194927,57,212,221,188,188,196,164,225,198,209,72,61,47,45,0.3396,575,101,28,0,40,14,5,5,142,5,74,5,93,0,5,418,190120521,9137099.36,FORREST COU,349.0567539,0.252,9825275.76,1940.25,275,131,10,723.0084,536.508,190120.521,89.30038563,7476588.412,3511.78413,9343972.99,4388.902297,20617587,9684,9137099,4291,Rural,110900,39531,1873962,631433.0327,1623.29263
2801470,6220,FOREST SEPARATE,10959134.53,6662.08786,8423419,2535715.53,2666880.104,2535715.53,1645,18.33270915,8395131,5103.4231,5120.619453,9391539,5709.142249,0,152,125,162,149,107,110,125,97,130,146,123,99,92,0.265,182,510,16,0,37,5,5,12,71,5,16,5,80,0,5,243,95245718,5753213.69,FOREST SEPA,89.73032771,0.282,4835253.22,1487.47486,188,59,10,435.925,463.89,95245.718,57.90013252,6724658.896,4087.938539,6855823.47,4167.673842,14176632,8618,5753213,3497,Town,71100,31197,1013349,483513.7777,1541.468407
2801440,1211,ENTERPRISE,6603157.07,6914.300597,5075324,1527833.07,1784787.256,1527833.07,955,5.296080284,4969352,5203.509948,5314.475393,5658641,5925.278534,54,75,53,69,63,71,66,64,62,69,76,72,75,69,0.125,291,0,17,0,5,5,0,5,37,5,53,0,37,0,0,164,63742402,3690708.5,ENTERPRISE,180.3220399,0.145,1824087.87,798.201117,79,80,5,119.375,138.475,63742.402,66.74597068,3873853.744,4056.391355,4130807.93,4325.45333,8766032,9179,3690708,3864,Rural,109200,62896,680199,272743.7195,1599.825204
2801410,6811,E. TALLAHATCHIE,6141383.13,7199.745756,4720395,1420988.13,1551309.06,1420988.13,853,2.320099545,4785661,5610.388042,5533.87456,5262919,6169.893318,20,59,60,50,72,40,57,79,55,79,94,70,51,60,0.4033,320,0,5,0,5,5,0,5,24,0,16,5,41,5,0,107,55403895,2587029.16,E. TALLAHAT,367.6566387,0.431,4882824.79,770.616667,70,36,5,344.0149,367.643,55403.895,64.95181125,3711609.94,4351.242603,3841930.87,4504.022122,7307424,8566,2587029,3032,Town,65600,31982,647247,264558.5527,1665.871196
2801380,3111,EAST JASPER,5637418.07,7466.778901,4333037,1304381.07,2451217.468,1304381.07,755,2.285488557,3672371,4864.06755,5739.121854,4831041,6398.729801,5,59,47,55,65,39,58,50,59,56,62,64,54,64,0.3718,212,5,5,0,5,5,5,25,5,5,20,0,48,0,0,116,87543481,5808166.72,EAST JASPER,330.3451237,0.297,3508970.12,682.879915,58,60,5,280.709,224.235,87543.481,115.9516305,2379823.532,3152.084148,3526659.93,4671.072755,10141203,13432,5808166,7692,Rural,75100,31824,639301,230940.7437,1727.657046
2801320,1700,DESOTO COUNTY,234332268.1,6694.633835,180112662,54219606.12,58630668.77,54219606.12,35003,73.49241433,181119369,5174.395595,5145.635003,200813356,5737.032711,5,2388,2584,2490,2574,2485,2564,2684,2736,2877,3092,2794,2597,2437,0.1765,7346,1567,749,5,794,292,66,161,598,110,1131,24,1347,13,5,5297,2093952456,121174285.7,DESOTO COUN,476.2804477,0.127,51394776.14,30014.9157,2739,2423,133,6178.0295,4445.381,2093952.456,59.82208542,142182687.2,4062.01432,146593749.9,4188.033879,301286947,8607,121174285,3461,Suburb,168500,67038,25877680,10076320.69,1548.998832
2801290,1600,COVINGTON COUNTY,18931108,7256.078191,14550844,4380264,8160987.716,4380264,2609,6.305562967,14578892,5587.923342,5577.172863,16223200,6218.16788,0,241,209,188,195,178,177,208,192,226,229,216,179,103,0.3836,559,61,34,0,65,5,5,36,167,5,51,0,248,0,0,618,291463847,10299071.68,COVINGTON C,413.7616282,0.286,11599438.1,2312.99991,480,131,5,1000.8124,746.174,291463.847,111.7147746,8062212.284,3090.154191,11842936,4539.262553,24849915,9524,10299071,3947,Rural,77100,38178,2930320,761519.4541,1678.905328
2801260,220,CORINTH,15622119.23,6273.943465,12491659,3130460.228,3130460.228,3760384.23,2490,81.66326477,12920052,5188.775904,5016.730522,13927349,5593.312851,119,187,193,200,188,182,204,187,174,154,193,176,132,141,0.3242,965,231,35,0,32,5,0,18,98,5,33,5,89,5,5,318,111802151,6702195.74,CORINTH,30.49106605,0.27,5945567.09,2147.51111,219,96,15,807.258,672.3,111802.151,44.90046225,10796888.77,4336.099908,10166964.77,4083.118382,19193854,7708,6702195,2691,Town,123400,38646,1309748,731117.5339,1257.212943
2801220,1500,COPIAH COUNTY,15952347.73,7234.624822,12268733,3683614.732,3683614.732,3693276.54,2205,4.934095648,12820619,5814.339683,5564.051247,13678802,6203.538322,0,163,174,145,151,130,165,171,162,186,197,202,164,163,0.3936,556,103,24,0,24,5,5,21,86,12,58,5,108,0,5,350,131557669,4941811.16,COPIAH COUN,446.8904045,0.247,6866971.38,2136.74843,218,118,17,867.888,544.635,131557.669,59.66334195,9995187.268,4532.964747,9985525.46,4528.582975,17210544,7805,4941811,2241,Rural,99400,46493,1483727,671774.4036,1670.573575
2801200,4420,COLUMBUS,21202624.73,6861.690851,16296779,4905845.73,6158857.236,4905845.73,3090,46.88638156,16151073,5226.884466,5274.038511,18169799,5880.193851,95,255,260,250,248,212,191,221,186,250,265,248,193,172,0.5473,1104,45,69,0,61,33,5,31,91,5,109,5,98,5,5,506,219959187,13334111.09,COLUMBUS,65.90399808,0.329,13193710.86,2717.00049,250,252,15,1691.157,1016.61,219959.187,71.18420291,12010941.76,3887.03617,13263953.27,4292.541511,29630890,9589,13334111,4315,Town,127200,40362,2375056,939256.1662,1587.65234
2801170,4620,COLUMBIA,12052505.29,7322.299689,9629524,2422981.288,2422981.288,2898791.28,1646,24.84560052,9044947,5495.107533,5850.257594,10736264,6522.639125,5,138,121,140,137,103,98,132,120,120,109,155,106,99,0.3224,498,5,38,0,32,20,0,11,113,5,83,0,65,0,0,363,86535046,6203323.22,COLUMBIA,66.24915339,0.298,6256365.45,1419.66006,210,152,5,530.6704,490.508,86535.046,52.57293196,8313282.712,5050.59703,7837472.72,4761.526561,15832847,9618,6203323,3768,Town,94100,31430,1456267,459835.4194,1472.042095
2801140,8111,COFFEEVILLE,3141324.03,7533.151151,2414487,726837.03,1406185.228,726837.03,417,1.240349418,2336671,5603.527578,5790.136691,2691989,6455.609113,0,31,26,27,29,24,33,32,20,28,37,36,44,32,0.5037,131,0,5,0,5,5,0,5,15,5,5,5,21,0,0,67,50220901,1989737.93,COFFEEVILLE,336.1955864,0.351,2464604.96,368.960894,41,25,5,210.0429,146.367,50220.901,120.4338153,1285803.772,3083.462283,1965151.97,4712.594652,4404224,10561,1989737,4771,Rural,74000,38197,307919,117224.6558,1743.01446
2801110,1400,COAHOMA COUNTY,7457518.38,7548.095526,5732004,1725514.38,4089162.924,1725514.38,988,1.849373256,6170910,6245.860324,5801.623482,6390794,6468.41498,0,49,61,58,78,50,80,87,72,122,82,79,87,63,0.5342,365,0,5,0,5,5,5,15,36,5,24,5,66,5,5,162,146041533,5658673.3,COAHOMA COU,534.2350425,0.44,5966637.66,962.591506,107,59,15,527.7896,434.72,146041.533,147.8153168,2301631.076,2329.586109,4665279.62,4721.942935,11390677,11529,5658673,5727,Rural,71700,27333,992769,308992.9545,1746.472045
2801090,2521,CLINTON,35716945.3,6854.144176,27452788,8264157.3,8273302.408,8264157.3,5211,38.89745096,27710753,5317.741892,5268.237958,30607990,5873.726732,46,342,324,369,358,383,376,444,405,452,465,468,395,348,0.1769,1262,237,49,0,66,21,5,31,252,5,74,5,114,0,5,630,295475086,19754262.53,CLINTON,133.9676475,0.155,9536034.84,4786.26257,432,185,10,921.8259,807.705,295475.086,56.70218499,22334687.59,4286.065552,22343832.7,4287.820514,47207050,9059,19754262,3790,Rural,167600,62362,2332623,1518946.772,1585.906218
2801050,1420,CLARKSDALE,14078591.31,6647.115822,12061369,2017222.312,2017222.312,3630853.35,2118,112.7163168,11613241,5483.116619,5694.697356,13447605,6349.199717,75,173,167,153,179,121,110,183,110,167,190,164,149,133,0.5653,575,27,17,5,30,15,0,41,52,5,24,5,32,5,5,220,72043654,5040967.68,CLARKSDALE,18.79053593,0.516,14527676.69,1745.65093,114,102,20,1197.3054,1092.888,72043.654,34.01494523,11430382.69,5396.78125,9816751.65,4634.915793,17102336,8074,5040967,2380,Town,65400,30223,1470046,616231.6251,952.4184665
2801020,1100,CLAIBORNE COUNTY,8616846.84,7253.238081,6623088,1993758.84,2184837.452,1993758.84,1188,2.437681092,6431257,5413.515993,5574.989899,7384292,6215.734007,39,75,91,87,90,61,83,80,97,93,96,109,73,81,0.5606,588,0,5,0,5,5,5,15,30,11,59,0,44,0,5,179,78029909,5292737.7,CLAIBORNE C,487.3484082,0.398,3868931.62,1017.72881,79,89,16,665.9928,472.824,78029.909,65.68174158,5199454.548,4376.645242,5390533.16,4537.485825,11915825,10030,5292737,4455,Rural,67500,29338,835413,360442.7021,1678.248182
2800990,1000,CHOCTAW COUNTY,9162993.86,7449.588504,7042868,2120125.86,7774436.208,2120125.86,1230,2.941601509,6945544,5646.78374,5725.908943,7852318,6383.998374,65,91,105,89,96,83,92,103,88,95,99,86,65,62,0.2318,372,5,14,0,16,5,0,5,79,0,82,0,81,0,0,280,277658436,11067317.21,CHOCTAW COU,418.1395734,0.296,4353851.68,1098.55556,176,106,0,285.114,364.08,277658.436,225.7385659,77881.792,63.31853008,5732192.14,4660.318813,18110185,14723,11067317,8997,Rural,81400,36777,1236373,356057.8872,1723.679561
2800930,800,CARROLL COUNTY,5722524.98,7108.726683,4398452,1324072.98,2510623.22,1324072.98,805,1.281231936,4615780,5733.888199,5463.915528,4903974,6091.893168,20,54,53,50,69,56,54,53,61,79,83,63,47,46,0.4275,178,33,5,0,5,5,5,5,37,5,18,0,52,0,0,137,89665115,2896775.33,CARROLL COU,628.301541,0.221,3245091.3,738.583333,94,38,5,344.1375,177.905,89665.115,111.385236,2393350.78,2973.106559,3579901.02,4447.082012,7295227,9062,2896775,3598,Rural,99000,46052,662293,248772.6822,1644.811155
2800900,4520,CANTON,20652694.37,6523.276807,15874091,4778603.37,8080929.304,4778603.37,3166,16.88371459,15486257,4891.426721,5013.926406,17698531,5590.186671,94,231,245,237,260,182,252,240,253,259,252,258,167,168,0.4863,978,308,38,0,13,13,5,27,57,11,76,5,92,5,0,335,288604618,16544485.96,CANTON,187.5179768,0.312,11363603.64,2751.11876,162,164,16,1539.6258,987.792,288604.618,91.15749147,9617601.696,3037.77691,12919927.63,4080.83627,32418576,10239,16544485,5225,Rural,153400,41939,1661921,897744.9743,1509.350401
2800870,700,CALHOUN COUNTY,14885814.24,7156.641463,12030592,2855222.244,2855222.244,3621588.57,2080,3.546505165,12223903,5876.876442,5783.938462,13413291,6448.697596,86,150,158,134,149,139,155,151,164,138,169,166,150,130,0.2712,798,134,19,0,47,5,5,14,131,5,33,5,118,5,0,382,101972223,4965747.48,CALHOUN COU,586.492872,0.324,7455794.86,1911.48889,296,81,10,564.096,673.92,101972.223,49.02510721,10558068.76,5075.994594,9791702.43,4707.549245,16996339,8171,4965747,2387,Rural,70500,37263,1368363,637279.4525,1372.703002
2800840,4320,BROOKHAVEN,17511668.19,6771.720104,13459833,4051835.19,6022839.676,4051835.19,2586,17.19387533,13659606,5282.136891,5204.885151,15006797,5803.092421,77,196,201,212,196,158,199,159,169,228,220,189,194,150,0.3909,558,29,26,0,38,5,5,18,134,5,61,0,104,5,0,399,215101417,12128797.01,BROOKHAVEN,150.4023933,0.28,7496815.42,2368.99435,276,115,10,1010.8674,724.08,215101.417,83.17920224,8983957.324,3474.074758,10954961.81,4236.257467,25588630,9895,12128797,4690,Town,101900,39841,1607701,776720.8617,1566.834954
2800820,5921,BOONEVILLE,8885387.212,6726.258298,7466023,1419364.212,1419364.212,2247508.89,1321,191.9886821,7346069,5560.990916,5651.796366,8324107,6301.367903,39,100,98,99,93,90,113,98,99,102,86,115,84,82,0.1809,460,0,12,0,15,5,5,15,71,5,53,0,50,5,5,226,50691579,4253175.59,BOONEVILLE,6.880613926,0.22,2787017.86,1164.18436,136,90,15,238.9689,290.62,50691.579,38.37364042,6904742.788,5226.905971,6076598.11,4599.998569,11719198,8871,4253175,3219,Town,96200,32016,795434,373889.8257,1074.461932
2800750,614,CLEVELAND,19451813.48,6902.701732,14951069,4500744.48,6140151.164,4500744.48,2818,26.20708103,14704672,5218.123492,5305.560326,16669424,5915.338538,68,218,217,203,204,184,247,207,203,219,235,227,206,129,0.4468,869,62,34,0,45,5,5,41,153,15,67,5,77,5,5,450,219291113,12328721.85,CLEVELAND,107.5281905,0.405,9162184.58,2530.39444,275,157,25,1259.0824,1141.29,219291.113,77.8179961,10529272.84,3736.434647,12168679.52,4318.197133,27279790,9680,12328721,4374,Town,129500,35789,2073160,841033.2699,1597.141405
2800630,2420,BILOXI,38855866.13,6685.455287,29865428,8990438.13,17883311.82,8990438.13,5812,302.4831359,29253636,5033.316586,5138.580179,33297919,5729.167068,120,459,485,441,447,419,361,430,405,464,493,409,403,405,0.3302,1122,533,121,0,99,32,11,22,183,5,165,5,161,5,5,810,638689708,36754607.75,BILOXI,19.21429432,0.26,29870477.84,5304.15,443,356,15,1919.1224,1511.12,638689.708,109.8915533,15414607.18,2652.203575,24307480.87,4182.29196,66620035,11462,36754607,6323,City,159100,47342,3290688,1747548.769,1546.875108
2800600,500,BENTON COUNTY,7300347.812,7596.615829,5822038,1478309.812,1478309.812,1752617.52,961,2.363732143,5252649,5465.815817,6058.312175,6491176,6754.605619,16,93,62,68,74,58,66,73,70,87,76,71,69,60,0.3462,310,21,17,0,14,5,0,5,42,5,45,0,66,0,0,199,52796779,2191816.51,BENTON COUN,406.5604483,0.293,5808895.95,806.11359,122,72,5,332.6982,281.573,52796.779,54.93941623,5012866.188,5216.301965,4738558.48,4930.862102,8013854,8339,2191816,2280,Rural,78000,36258,761898,268066.2256,1538.303655
2800570,2320,BAY ST. LOUIS,12112798.14,7244.496495,9310149,2802649.14,7071755.796,2802649.14,1672,89.03631856,8998844,5382.083732,5568.270933,10380182,6208.242823,58,113,142,109,125,114,117,115,142,131,112,153,133,90,0.2935,642,34,27,0,51,5,5,15,76,5,38,5,64,5,0,294,252562707,10323680.67,BAY ST. LOU,18.7788537,0.246,8233825.93,1530.40499,191,95,10,490.732,411.312,252562.707,151.0542506,3308426.204,1978.723806,7577532.86,4532.017261,19633829,11742,10323680,6174,Suburb,168900,41778,1252592,507484.8151,1676.225562
2800540,5920,BALDWYN,5434640.63,7188.678082,4177178,1257462.63,2409164.94,1257462.63,756,11.48374505,4166149,5510.779101,5525.367725,4657269,6160.40873,0,67,58,56,64,58,56,58,68,67,51,56,39,44,0.2834,306,5,5,0,13,5,0,5,38,0,13,5,20,0,0,111,86041605,4448889.35,BALDWYN,65.83218252,0.246,2408297.18,688.707339,71,33,0,214.2504,185.976,86041.605,113.8116468,2248104.06,2973.682619,3399806.37,4497.098373,8626067,11410,4448889,5884,Rural,101400,43036,473072,219832.367,1663.310357
2800510,400,ATTALA COUNTY,7459623.46,7429.903845,5733622,1726001.46,2935606.828,1726001.46,1004,1.725257814,5643432,5620.948207,5710.778884,6392598,6367.129482,48,82,84,67,56,69,56,66,82,84,82,68,72,72,0.3617,336,0,12,0,5,5,5,11,45,5,27,0,67,0,0,180,104843101,5820060.4,ATTALA COUN,581.94201,0.293,3534710.96,852.659218,117,60,5,363.1468,294.172,104843.101,104.4253994,3456991.172,3443.218299,4666596.54,4648.004522,11553682,11507,5820060,5796,Rural,60600,34921,871786,292914.4049,1719.12496
2800450,4821,AMORY,10750661.14,7082.12196,8266379,2484282.136,2484282.136,2488441.5,1518,19.73466969,8630797,5685.637022,5445.572464,9216450,6071.442688,0,119,121,111,103,131,123,87,123,117,122,117,108,99,0.2361,560,12,16,0,23,5,0,17,78,5,34,0,68,5,5,252,88724362,4662402.55,AMORY,76.92046655,0.208,5228334.37,1410.86508,169,72,15,358.3998,315.744,88724.362,58.44819631,6732167.864,4434.893191,6728008.5,4432.153162,12928781,8516,4662402,3071,Town,108000,42610,1104393,449311.5057,1636.549497
2800420,300,AMITE COUNTY,6967980.6,8168.7932,5355735,1612245.6,3221128.96,1612245.6,853,1.168493306,5418370,6352.133646,6278.704572,5971280,7000.328253,0,71,63,61,73,63,61,59,59,68,65,73,47,62,0.549,274,0,5,0,34,5,5,20,69,5,23,0,56,5,0,219,115040320,5652860.82,AMITE COUNT,729.9999027,0.29,7452499.36,780.137143,159,58,10,468.297,247.37,115040.32,134.8655569,2750151.04,3224.092661,4359034.4,5110.239625,11008595,12905,5652860,6627,Rural,83600,33981,1068117,259003.9169,1890.088628
2800390,200,ALCORN COUNTY,22737026.04,7132.065886,17920968,4816058.044,4816058.044,5394777.93,3188,8.627912006,17423282,5465.270389,5621.382685,19980659,6267.458908,135,210,243,246,219,233,194,233,232,240,256,235,237,200,0.1905,1369,29,43,0,41,5,5,43,128,15,59,5,220,5,0,563,172002073,9459645.49,ALCORN COUN,369.4984369,0.188,7744573.91,2814.40782,389,160,20,607.314,599.344,172002.073,53.95297146,15164600.96,4756.775708,14585881.07,4575.245003,27380613,8588,9459645,2967,Rural,94100,44520,2366894,915285.1289,1510.683201
2800360,4820,ABERDEEN,7311114.64,7325.766172,5619475,1691639.64,3032312.136,1691639.64,998,4.640070636,5461563,5472.508016,5630.736473,6265332,6277.887776,0,76,64,71,87,49,70,79,68,74,103,81,77,78,0.4201,317,0,13,0,11,14,0,16,32,5,28,5,31,0,0,151,108296862,6114256.61,ABERDEEN,215.0829326,0.309,4672500.27,910.472222,74,76,5,419.2598,308.382,108296.862,108.5138898,3233019.864,3239.498862,4573692.36,4582.858076,11733731,11757,6114256,6126,Town,77200,39991,743263,304899.9236,1695.029699
