geoid,dist_id,district,maep_expected_local_total,maep_expected_local_pp,maep_rev_fy24,local_share_expected_total,local_funding_28_mill,local_funding_27_pct,total_enroll,st_per_sq_mile,maep_rev_fy23,maep_fy23_pp,maep_fy24_pp,maep_rev_full_funding_fy24,maep_full_pp_fy24,gr_prek_enroll,gr_k_enroll,gr_1_enroll,gr_2_enroll,gr_3_enroll,gr_4_enroll,gr_5_enroll,gr_6_enroll,gr_7_enroll,gr_8_enroll,gr_9_enroll,gr_10_enroll,gr_11_enroll,gr_12_enroll,direct_cert_pct,vocational_enroll,ell_enroll,autism,deaf_blind,developmentally_delayed,emotional_disability,hearing_impaired,intellectual_disability,language_speech_impaired,multiple_disabilities,other_health_impairment,orthopedic_impairment,specific_learning_disability,traumatic_brain_injury,visually_impaired,sped_enroll,assessed_value,local_revenue,shortName,sq_miles,stpov_rate,federal_revenue,total_ada,sped_tier_1_enroll,sped_tier_2_enroll,sped_tier_3_enroll,econ_dis_enroll,stpov_enroll,mill_1_value,mill_1_value_pp,local_share_mills,local_share_pp_mills,local_share_pct,local_share_pp_pct,rev_total_local_state,rev_pp_local_state,local_revenue_total,local_revenue_pp,urbanicity,mpv,mhi,sped_funding,at_risk_funding,local_share_expected_pp
2804260,7100,TISHOMINGO,20490354.24,7072.956244,15749313,4741041.24,5488730.352,4741041.24,2897,6.82869677,16077407,5549.674491,5436.42147,17559412,6061.239903,0,259,252,228,180,200,243,207,218,217,272,252,205,5,0.177,1019,80,45,0,47,5,5,24,102,5,92,5,198,5,5,527,196026084,10142771.65,TISHOMINGO,424.2390748,0.192,12096886,2574.30972,347,176,15,512.769,556.224,196026.084,67.66519986,12070681.65,4166.614307,12818370.76,4424.705129,25892084,8937,10142771,3501,Rural,88100,37681,1791674,845710.7638,1636.534774
2804230,6900,TATE COUNTY,14735949.93,7316.757662,11336853,3399096.932,3399096.932,3412751.13,2014,5.586396339,11083581,5503.267627,5629.023337,12639819,6275.977656,0,160,169,152,135,135,157,161,171,164,170,162,164,98,0.302,734,74,34,0,24,13,5,5,111,5,73,5,81,0,5,357,121396319,5934089.81,TATE COUNTY,360.5186381,0.198,7219167.87,1776.33056,216,135,10,608.228,398.772,121396.319,60.27622592,9240722.068,4588.243331,9227067.87,4581.463689,17270942,8575,5934089,2946,Rural,105500,48404,1200972,595183.7977,1687.734326
2804170,6600,STONE COUNTY,17654507.41,7011.32145,13940623,3713884.412,3713884.412,4196568.42,2518,5.6530469,13232967,5255.348292,5536.387212,15542846,6172.694996,0,205,233,202,180,186,181,209,186,193,201,190,153,169,0.2857,900,20,32,0,24,15,5,17,60,5,55,5,113,5,5,327,132638729,7227078.97,STONE COUNT,445.4235113,0.231,10053634.51,2200.52222,197,129,15,719.3926,581.658,132638.729,52.6762228,11828961.59,4697.760758,11346277.58,4506.067347,21167701,8406,7227078,2870,Town,112800,45483,1228939,704807.7497,1474.934238
2804110,7012,S. TIPPAH,17981572.65,7236.045331,15350520,2631052.648,2631052.648,4620991.95,2485,9.460592295,15945273,6416.608853,6177.27163,17114785,6887.237425,58,205,181,173,160,180,169,175,204,199,200,169,206,160,0.1761,660,143,58,0,49,22,5,29,82,5,83,5,248,0,5,583,93966166,5824874.33,S. TIPPAH,262.6685436,0.283,7482767.52,2281.03438,379,202,10,437.6085,703.255,93966.166,37.81334648,14483732.35,5828.463723,12493793.05,5027.68332,21175394,8521,5824874,2344,Town,88800,41241,2653744,740471.6267,1058.773701
2804080,5712,SOUTH PIKE,10623651.88,6823.154708,8165560,2458091.88,3103385.852,2458091.88,1557,6.508362142,8151934,5235.667309,5244.418754,9104044,5847.170199,32,102,116,105,135,101,107,128,122,126,112,133,95,99,0.4463,602,0,25,0,20,5,5,25,76,5,27,0,46,5,0,231,110835209,5294228.08,SOUTH PIKE,239.2306952,0.332,5536574.28,1417,142,87,10,694.8891,516.924,110835.209,71.18510533,6000658.148,3853.98725,6645952.12,4268.434245,13459788,8644,5294228,3400,Rural,81300,33446,989675,470358.4381,1578.735954
2804050,5412,SOUTH PANOLA,28498078.44,6607.483989,22847199,5650879.444,5650879.444,6877729.44,4313,11.15202429,22396135,5192.704614,5297.287039,25473072,5906.114537,162,372,373,315,316,269,307,334,296,360,301,308,294,271,0.3266,1311,51,60,0,74,12,5,61,226,5,125,5,153,5,5,731,201817123,13181107.33,SOUTH PANOL,386.7459295,0.327,12557599.67,3535.91111,453,268,15,1408.6258,1410.351,201817.123,46.7927482,19822192.56,4595.917588,18595342.56,4311.463612,36028306,8353,13181107,3056,Town,87500,40911,2421020,1245325.911,1310.19695
2804020,6500,SMITH COUNTY,17110405.37,7003.849926,13151414,3958991.37,4576746.552,3958991.37,2443,3.840105743,13389319,5480.68727,5383.304953,14662931,6002.01842,0,201,210,161,189,167,187,204,194,214,195,189,149,142,0.2268,622,5,34,0,5,31,5,20,38,17,63,0,93,0,5,309,163455234,6370545.35,SMITH COUNT,636.180398,0.239,5750282.46,2303.78212,136,153,22,554.0724,583.877,163455.234,66.90758657,10086184.45,4128.605996,10703939.63,4381.473447,19521959,7990,6370545,2607,Rural,102600,43105,1660431,723516.8301,1620.544973
2803990,6400,SIMPSON COUNTY,23076181.74,7671.602972,17736834,5339347.74,7191170.112,5339347.74,3008,5.106230492,17149063,5701.151263,5896.553856,19775362,6574.255984,0,229,249,205,225,215,217,238,226,278,247,255,211,211,0.3251,1205,50,46,0,41,23,5,31,141,12,132,5,149,5,5,592,256827504,11132884.07,SIMPSON COU,589.0842579,0.292,10928964.51,2737.25007,331,242,22,977.9008,878.336,256827.504,85.38148404,12584191.89,4183.574431,14436014.26,4799.206868,28869718,9597,11132884,3701,Rural,87900,43850,2455121,919669.9437,1775.049116
2803960,6312,SOUTH DELTA,4961165.4,8213.85,3813255,1147910.4,2225227.816,1147910.4,604,0.761183187,3745880,6201.788079,6313.336093,4251520,7038.940397,20,38,42,37,34,41,54,65,40,45,44,55,34,33,0.6514,147,0,5,0,5,5,0,14,28,5,5,0,28,0,0,87,79472422,2496558.9,SOUTH DELTA,793.5014986,0.499,3274558.38,543.522222,61,29,5,393.4456,301.396,79472.422,131.5768576,2026292.184,3354.788384,3103609.6,5138.42649,6309813,10446,2496558,4133,Rural,65100,28660,263819,180659.922,1900.513907
2803930,6920,SENATOBIA,11611854.11,6969.900426,8925113,2686741.11,2798534.872,2686741.11,1666,37.70151821,8826781,5298.187875,5357.210684,9950893,5972.92497,61,124,140,145,113,113,129,141,129,120,116,121,109,91,0.2839,388,24,18,0,41,13,5,5,105,5,56,5,101,0,5,359,99947674,6807959.98,SENATOBIA,44.1892019,0.202,6195274.78,1466.96648,247,102,10,472.9774,336.532,99947.674,59.99260144,7152358.128,4293.13213,7264151.89,4360.235228,15733072,9443,6807959,4086,Town,141400,56982,1326033,482636.6357,1612.689742
