dist_id,district,total_enroll,model_7_total_funding,model_7_pp_funding,model_7_diff_total,model_7_diff_pp,model_7_state_share,model_7_state_share_pp,model_7_local_share_total,model_7_local_share_pp,model_7_local_mills_total,base_funding,sped_tier_1_funding,sped_tier_2_funding,sped_tier_3_funding,total_sped_funding,ell_funding,ed_funding,gifted_funding,vocational_funding,conc_pov_funding,sparsity_funding,local_share_expected_total,maep_rev_fy24,maep_fy24_pp,maep_rev_full_funding_fy24,maep_full_pp_fy24,maep_expected_local_total,maep_expected_local_pp,sped_pp_diff,ed_pp_diff,ell_enroll,gifted_enroll,econ_dis_enroll,stpov_enroll,sped_tier_1_enroll,sped_tier_2_enroll,sped_tier_3_enroll,direct_cert_pct,model_9_state_diff_pp,model_9_state_share_pp,model_9_diff_pp,model_9_pp_funding,model_9_local_share_total,model_9_diff_total,local_funding_28_mill,local_funding_27_pct,totalEnrollment,vocational_enroll,assessed_value,stpov_rate,ada_addon_fy24,teacher_addon_fy24,mill_1_value,mill_1_value_pp,local_share_mills,local_share_pp_mills,local_share_pct,sped_funding,at_risk_funding,cte_funding,local_share_expected_pp,sparsity_weight_adj,conc_pov_weight_adj,conc_pov_adm,sparsity_weighted_enroll,model_9_total_funding,model_9_local_mills_total,model_9_local_pct_total,model_9_local_share_pp,model_9_state_share,model_9_local_diff_total,model_9_local_diff_pp,sped_model_9_pp,ed_model_9_pp,cte_pp_funding,cte_model_9_pp
5921,BOONEVILLE,1321,10697166.6295,8097.779431869795,801866.5474999994,607.0147978697951,9277802.4175,7023.3175,1419364.2119999998,1074.4619318697955,1419364.2119999998,8388350,518160,714375,161925,1394460,0,455235.7545,20970.875,438150,0,0,1419364.212,8475935.87,6416.302702,9334019.87,7065.874239,9895300.082,7490.764634,2485.5850622406642,340.4038299544418,0,66.05,238.9689,290.62,136,90,15,0.1809,936.6950474322484,7352.997749432248,936.6950473020432,8427.459681302043,1419364.2119999998,1237374.1569999997,1419364.212,2520185.365,1321,460,50691579,0.22,298956.11,710956.76,50691.579,38.37364042,7914655.658,5991.412307,6813834.505,795434,373889.8257,116419,1074.461932,0,0,0,1684.5931699999999,11132674.239,1419364.2119999998,3005822.04453,1074.4619318697955,9713310.027,-2833811.378,-2145.2016487509463,6105.0622406639,2010,253.08478260869566,670
4320,BROOKHAVEN,2586,21095664.946,8157.643057231245,1049528.845999997,405.8502902312448,15399835.410579998,5955.079431778809,5695829.53542,2202.563625452436,6022839.676,16421100,1051560,912812.5,107950,2072322.5,36830,1925702.3969999999,41052.75,531495,67162.29900000009,0,4590659.075,15455477.02,5976.595909,17002441.02,6574.8031789999995,20046136.1,7751.792767,1158.6571072319202,1136.6293297221773,29,129.3,1010.8674,724.08,276,115,10,0.3909,253.94791789868577,6230.543826898685,783.1987766968296,8534.99154369683,5959301.79564,2025352.0319999976,6022839.676,4590659.075,2586,558,215101417,0.28,578745.37,1416898.65,215101.417,83.17920224,10979601.34,4245.785516,12411781.94,1607701,776720.8617,280855,1775.196858,0,0.04090000000000005,105.76740000000012,3322.15196,22071488.132,6022839.676,5959301.79564,2304.447716798144,16112186.33636,-6169495.21436,-2385.729007873163,5452.730673316708,2010,503.32437275985666,670
700,CALHOUN COUNTY,2080,18572167.939215533,8928.926893853622,1874365.4792155325,901.1372478536223,15716945.695215534,7556.2238919305455,2855222.244,1372.703001923077,2855222.244,13208000,1127760,642937.5,107950,1878647.5,170180,1074602.8800000001,33020,760095,0,1447622.5592155312,2855222.244,13842580.22,6655.086644,15225279.22,7319.845779,16697802.46,8027.789646,1318.5645994832043,775.2641881878264,134,104,564.096,673.92,296,81,10,0.2712,911.5653987271209,7566.652042727121,911.5653986501976,8939.355044650198,2855222.244,1896056.0328724089,2855222.244,4110825.389,2080,798,101972223,0.324,464211.75,1347776.47,101972.223,49.02510721,12370056.98,5947.142777,11114453.83,1368363,637279.4525,489806,1372.703002,0.08453494835000001,0,0,2696.7787999999996,18593858.49287241,2855222.244,5020341.793075551,1372.703001923077,15738636.24887241,-2110525.2360000005,-1014.6755942307695,5121.950904392765,2010,613.7919799498746,670
4520,CANTON,3166,26775761.282,8457.284043588124,3053556.482000001,964.4840425881248,19546305.73586,6173.817351819331,7229455.546140001,2283.4666917687937,8080929.3040000005,20104100,617220,1301750,172720,2091690,391160,2932987.149,50260.25,931545,274018.8830000001,0,5431176.455,18291028.35,5777.330496,20115468.35,6353.590761,23722204.8,7492.800001,1256.6345029239765,1321.9070339689033,308,158.3,1539.6258,987.792,162,164,16,0.4863,661.2327605129503,6438.56325651295,1327.149665456096,8819.949666456096,7539469.37388,4201755.843999997,8080929.304,5431176.455,3166,978,288604618,0.312,718289.38,1698647.97,288604.618,91.15749147,12034539.05,3801.181,14684291.9,1661921,897744.9743,393681,1715.469506,0,0.13630000000000003,431.5258000000001,4216.65532,27923960.644,8080929.304,7539469.37388,2381.3864099431457,20384491.27012,-9005016.586120002,-2844.288245773848,6453.1578947368425,2010,402.5368098159509,670
800,CARROLL COUNTY,805,7467894.96047309,9276.888149656013,938052.8624730902,1165.283058656013,5451563.321145356,6772.128349248889,2016331.6393277345,2504.7598004071237,2510623.22,5111750,358140,301625,53975,713740,41910,655581.9375,12779.375,169545,39616.06250000001,722972.5854730904,1495707.328,5034134.77,6253.583565,5539656.77,6881.561205,6529842.098,8111.605091,375.52554744525514,1182.1125430968725,33,40.25,344.1375,177.905,94,38,5,0.4275,575.9583921683115,6829.5419571683115,1243.931836627823,9355.536927627823,2033425.9512199075,1001365.1287403982,2510623.22,1495707.328,805,178,89665115,0.221,180916.36,454766.41,89665.115,111.385236,3029033.55,3762.774596,4043949.442,662293,248772.6822,99740,1858.021525,0.10718768064,0.07750000000000001,62.38750000000001,1062.1925,7531207.226740398,2510623.22,2033425.9512199075,2525.994970459513,5497781.2755204905,-863349.3787800923,-1072.4837003479406,5496.934306569343,2010,560.3370786516854,670
911,CHICKASAW COUNTY CONSOL,2214,19594868.854736775,8850.437603765482,2522597.9947367758,1139.3848197654816,17375884.450736776,7848.186292112365,2218984.404,1002.2513116531165,2218984.404,14058900,815340,1127125,107950,2050415,58420,1397314.071,35147.25,798195,0,1196477.5337367773,2218984.404,14853286.46,6708.801472,16361201.46,7389.883225,17072270.86,7711.052784,1448.55737704918,1023.8229755710375,46,110.7,733.4982,584.496,214,142,10,0.3313,1146.510373155702,7855.311845155702,1146.510372808817,8857.563156808817,2218984.404,2538373.969174724,2218984.404,4417524.394,2214,838,79249443,0.264,492494.54,1240723.92,79249.443,35.7946897,14142217.06,6387.631913,11943677.07,1520243,646341.7613,378375,1002.251312,0.06503163852,0,0,2897.3844599999998,19610644.829174723,2218984.404,5294874.103877176,1002.2513116531164,17391660.425174724,-2257055.666,-1019.4470036133696,5911.0109289617485,2010,451.5214797136038,670
1000,CHOCTAW COUNTY,1230,11173887.310708407,9084.461228218217,447644.1407084074,363.93832421821753,8156937.736817137,6631.656696599299,3016949.57389127,2452.8045316189186,7774436.208,7810500,670560,841375,0,1511935,6350,543142.1699999999,19526.25,354330,0,928103.8907084082,2452470.202,8273772.97,6726.644691,9083222.97,7384.734122,10726243.17,8720.522904,977.1702127659573,656.1736105557775,5,61.5,285.114,364.08,176,106,0,0.2318,-63.806127039521925,6662.8385639604785,406.6532110143544,9127.176115014354,3031135.187796267,500183.4514676556,7774436.208,2452470.202,1230,372,277658436,0.296,269270.86,961634.11,277658.436,225.7385659,1308786.762,1064.054278,6630752.768,1236373,356057.8872,239967,1993.878213,0.09058398491,0,0,1613.5092,11226426.621467656,7774436.208,3031135.187796267,2464.337551053876,8195291.433671389,-8036182.022203734,-6533.481318864824,5656.985815602837,2010,645.0725806451613,670
1100,CLAIBORNE COUNTY,1188,11756547.063695032,9896.08338694868,2071638.3716950323,1743.8033429486795,9571709.611695033,8056.994622638917,2184837.452,1839.0887643097644,2184837.452,7543800,300990,706437.5,172720,1180147.5,0,1268716.284,18859.5,560070,158872.428,1026081.3516950329,2184837.452,7500071.24,6313.191279,8261275.24,6953.935387,9684908.692,8152.280044,1873.557065217391,1363.78889066068,0,59.400000000000006,665.9928,472.824,79,89,16,0.5606,1733.0168563569987,8046.208135356998,1733.0168556667622,9885.296899666762,2184837.452,2058824.0248041137,2184837.452,2230544.315,1188,588,78029909,0.398,267400.93,609582.31,78029.909,65.68174158,6076437.788,5114.846623,6030730.925,835413,360442.7021,371360,1839.088764,0.09562318908,0.2106,250.1928,1689.8371200000001,11743732.716804111,2184837.452,3170807.8335371106,1839.0887643097644,9558895.264804114,-3107900.248,-2616.0776498316495,6767.364130434783,2010,631.5646258503401,670
1420,CLARKSDALE,2118,18095195.966000002,8543.529728989613,2418676.8060000017,1141.9626079896134,16077973.654000003,7591.111262511805,2017222.312,952.4184664778093,2017222.312,13449300,434340,809625,215900,1459865,34290,2280866.787,33623.25,547687.5,289563.4290000001,0,2017222.312,13659296.85,6449.148654,15045532.85,7103.651015,15676519.16,7401.567121,-43.139830508474915,1390.3179271554277,27,105.9,1197.3054,1092.888,114,102,20,0.5653,1521.9191741397551,7971.067828139755,1521.9191736175635,8923.486294617564,2017222.312,3223424.811999999,2017222.312,4062293.87,2118,575,72043654,0.516,471224.01,1126703.84,72043.654,34.01494523,13028310.54,6151.232549,10983238.98,1470046,616231.6251,213402,952.4184665,0,0.21530000000000005,456.0054000000001,2849.63716,18899943.972,2017222.312,5102984.87244,952.4184664778091,16882721.66,-3023745.368,-1427.6418168083094,6526.822033898305,2010,371.1339130434783,670
1425,CLARKSDALE COLLEGIATE,600,4794834.2,7991.390333333334,317734.43400000036,529.557389333334,4308148.36372,7180.247272866666,486685.83627999993,811.1430604666665,486685.83627999993,3810000,156210,158750,0,314960,0,595274.4,9525,0,65074.800000000025,0,486685.8364,3990413.93,6650.689883,4422362.93,7370.604883,4477099.766,7461.832944,4042.44262295082,1303.8851270481312,0,30,312.48,309.6,41,20,0,0.5208,970.027723199998,7620.717606199998,970.0277226666658,8431.860666666666,486685.83627999993,582016.6339999996,486685.8364,1194037.991,511,0,17381637.01,0.516,118507.23,113604.7,17381.63701,28.96939502,3935677.094,6559.461823,3228324.939,68371,187836.3755,0,811.1430606,0,0.17080000000000006,102.48000000000003,755.0920000000001,5059116.399999999,486685.83627999993,1365961.4279999998,811.1430604666665,4572430.563719999,90474.83627999992,150.7913937999998,5447.868852459016,2010,NA,NA
