dist_id,district,model_2_diff_total,model_2_diff_pp,ell_funding,conc_pov_funding,sparsity_funding,model_2_state_share_pp,geoid,maep_expected_local_total,maep_expected_local_pp,maep_rev_fy24,local_share_expected_total,local_funding_28_mill,local_funding_27_pct,total_enroll,st_per_sq_mile,maep_rev_fy23,maep_fy23_pp,maep_fy24_pp,maep_rev_full_funding_fy24,maep_full_pp_fy24,gr_prek_enroll,gr_k_enroll,gr_1_enroll,gr_2_enroll,gr_3_enroll,gr_4_enroll,gr_5_enroll,gr_6_enroll,gr_7_enroll,gr_8_enroll,gr_9_enroll,gr_10_enroll,gr_11_enroll,gr_12_enroll,direct_cert_pct,vocational_enroll,ell_enroll,autism,deaf_blind,developmentally_delayed,emotional_disability,hearing_impaired,intellectual_disability,language_speech_impaired,multiple_disabilities,other_health_impairment,orthopedic_impairment,specific_learning_disability,traumatic_brain_injury,visually_impaired,sped_enroll,assessed_value,local_revenue,shortName,sq_miles,stpov_rate,federal_revenue,total_ada,sped_tier_1_enroll,sped_tier_2_enroll,sped_tier_3_enroll,econ_dis_enroll,stpov_enroll,mill_1_value,mill_1_value_pp,local_share_mills,local_share_pp_mills,local_share_pct,local_share_pp_pct,rev_total_local_state,rev_pp_local_state,local_revenue_total,local_revenue_pp,urbanicity,mpv,mhi,sped_funding,at_risk_funding,cte_funding,local_share_expected_pp,sparsity_weight_adj,gr_9_12_enroll,gifted_enroll,conc_pov_weight_adj,conc_pov_adm,base_funding,sped_tier_1_funding,sped_tier_2_funding,sped_tier_3_funding,total_sped_funding,ed_funding,gifted_funding,vocational_funding,gr_9_12_funding,model_2_total_funding,model_2_pp_funding,model_2_local_mills_total,model_2_local_pct_total,model_2_local_share_total,model_2_local_share_pp,model_2_state_share,model_2_local_diff_total,current_local_pp,model_2_local_diff_pp,model_2_state_diff_total,model_2_state_diff_pp,sped_pp_funding,sped_model_2_pp,sped_pp_diff,at_risk_pp_funding,ed_model_2_pp,ed_pp_diff,cte_pp_funding,cte_model_2_pp,cte_pp_diff
2220,GRENADA,2028490.8900000006,524.9717624223604,7250,0,0,5929.6522173913045,2801680,27536664.59,7126.465991200828,21165254,6371410.590000001,6652979.312,6371410.590000001,3864,9.15500837734796,22643366,5860.084368530021,5477.550207039338,23597817,6107.09549689441,152,346,334,279,271,252,266,250,281,288,280,258,245,253,0.2991,1144,5,156,0,72,21,5,39,89,23,184,5,75,5,5,675,237606404,9572418.34,GRENADA,422.0640594453864,0.344,15370924.91,3285.71111,236,410,33,1155.7224,1329.216,237606.404,61.492340579710145,16944837.688,4385.3099606625265,17226406.41,4458.179712732919,30737672,7954,9572418,2477,Town,105000,40122,3357478,1112608.06346152,380913,1648.9157841614908,0,1036,193.20000000000002,0,0,22411200,821280,2972500,325380,4119160,1675797.4800000002,56028.00000000001,995280,300440,29565155.48,7651.437753623189,6652979.312,7982591.9796,6652979.312,1721.785536231884,22912176.168,-2919439.028,2477.333938923395,-755.5484026915112,-685640.8319999985,-177.44327950310526,4944.739322533137,6066.509572901326,1121.7702503681885,962.6949027392044,1450,487.3050972607956,332.96590909090907,870,537.034090909091
2421,GULFPORT,5163267.225999996,844.6372036643215,464000,242514.93599999987,0,5737.677109111729,2801710,42077057.77,6883.209188614429,32341303,9735754.77,12165904.828000002,9735754.77,6113,271.24536213882203,32914005,5384.263863896614,5290.577948634059,36058351,5898.634222149517,81,484,523,498,449,482,456,466,460,485,549,416,360,401,0.4456,1636,320,122,0,112,73,5,37,149,17,150,5,316,5,5,992,434496601,31515294.04,GULFPORT,22.53679086638686,0.32799999999999996,22103133.67,5786.39444,577,392,27,2723.9528,2005.064,434496.601,71.07747439882219,23892446.172,3908.464938982496,26322596.229999997,4306.002982169147,63856597,10446,31515294,5155,City,135900,36464,4718089,1856002.90003748,560025,1592.63123998037,0,1726,305.65000000000003,0.045599999999999974,278.75279999999987,35455400,2007960,2842000,266220,5116180,3949731.56,88638.50000000001,1423320,500540,47240324.996,7727.8463922787505,12165904.828000002,12754887.748920001,12165904.828000002,1990.1692831670214,35074420.168,-19349389.211999997,5155.454611483723,-3165.2853283167015,-983930.8320000023,-160.95711303778808,4737.037148594378,5136.726907630522,399.6897590361441,681.3638254075034,1450,768.6361745924966,342.3135696821516,870,527.6864303178484
2300,HANCOCK COUNTY,1079994.6000000015,266.0085221674881,0,0,0,5405.568657142857,2801740,28983853,7138.8800492610835,22277593,6706260,12012236.936,6706260,4060,10.288330364717131,22007459,5420.556403940886,5487.091871921182,24838000,6117.7339901477835,5,296,342,338,316,302,289,295,319,344,337,314,293,241,0.2348,1309,0,91,0,75,44,5,29,150,12,67,5,257,0,5,736,429008462,19348284.81,HANCOCK COU,394.62185369974026,0.211,10670942.95,3713.07263,482,241,17,953.288,856.6600000000001,429008.462,105.66710886699508,12825763.064,3159.054941871921,18131740,4465.945812807881,41625877,10252,19348284,4765,Rural,135900,53182,3003329,1208492.21282504,628698,1651.7881773399015,0,1185,203,0,0,23548000,1677360,1747250,167620,3592230,1382267.6,58870,1138830,343650,30063847.6,7404.888571428572,12012236.936,8117238.852000001,8117238.852000001,1999.3199142857145,21946608.748,-11231045.957999997,4765.587391625615,-2766.2674773399003,-2891391.2520000003,-712.1653330049267,4058.552702702703,4854.364864864865,795.8121621621622,1267.709456979465,1450,182.2905430205351,480.28877005347596,870,389.71122994652404
2400,HARRISON COUNTY,10897920.620000005,759.1724569836297,904800,0,0,5467.436905050505,2801770,96615855.78,6730.467138975967,74260959,22354896.78,30333828.196,22354896.78,14355,31.394760263462175,73342961,5109.227516544758,5173.177220480668,82795914,5767.740438871473,0,1047,1232,1180,1070,1093,1091,1141,1155,1253,1296,1087,832,784,0.3484,3413,624,256,5,294,104,24,77,579,40,486,22,332,5,5,2228,1083351007,56565734.38,HARRISON CO,457.24190532222747,0.226,30180940.03,13107.5533,1205,969,55,5001.282,3244.23,1083351.007,75.46854803204458,52462085.804000005,3654.6210939742255,60441017.22,4210.4505203761755,130826693,9113,56565734,3940,Rural,147400,51499,9073970,4185580.12706168,966721,1557.2899184952978,0,3999,717.75,0,0,83259000,4193400,7025250,542300,11760950,7251858.9,208147.5,2969310,1159710,107513776.4,7489.639595959597,30333828.196,29028719.628000002,29028719.628000002,2022.202690909091,78485056.772,-27537014.752,3940.49002995472,-1918.2873390456289,-4310857.228,-300.30353382096837,4070.8703454463885,5276.334679228354,1205.4643337819653,836.9014438821246,1450,613.0985561178754,283.246703779666,870,586.753296220334
1820,HATTIESBURG,4836037.1620000005,1318.7993351513505,292900,446002.5419999997,0,5815.68954915735,2801800,24377844.45,6647.898677392964,18737319,5640525.45,10077916.016,5640525.45,3667,151.6861202731426,18204749,4964.4802290700845,5109.713389691846,20890835,5696.982547041178,96,357,347,305,275,269,209,275,237,269,259,256,235,182,0.5398,1463,202,65,0,62,14,5,37,110,19,92,5,79,5,5,483,359925572,23641465.01,HATTIESBURG,24.174921168771405,0.33899999999999997,16408732.55,3235.37222,251,218,29,1979.4466,1243.1129999999998,359925.572,98.15259667302972,10812918.984,2948.7098401963462,15250309.55,4158.79725934006,42378784,11556,23641465,6447,City,106900,33639,2403680,1061450.09985564,680291,1538.1852877011181,0,932,183.35000000000002,0.13979999999999992,512.6465999999997,21268600,873480,1580500,285940,2739920,2870197.57,53171.50000000001,1272810,270280,29213881.612,7966.698012544314,10077916.015999999,7887748.03524,7887748.03524,2151.0084633869646,21326133.57676,-15753716.974760002,6447.086176711208,-4296.077713324244,435298.5767600015,118.70700211617168,4826.666666666667,5501.847389558233,675.1807228915659,536.2357842114255,1450,913.7642157885745,464.99726589200276,870,405.00273410799724
1520,HAZLEHURST,1793567.533252446,1311.087378108513,198650,133535.95199999996,68089.61125244522,5669.027107291145,2801830,8830033.95,6454.703179824561,6786948,2043085.95,3159608.676,2043085.95,1368,4.141842971712477,6715514,4909.001461988304,4961.2192982456145,7566985,5531.421783625731,39,101,98,89,125,83,97,123,66,131,105,116,90,84,0.5122,524,137,5,0,5,5,5,14,5,5,24,5,37,5,0,107,112843167,5442692.68,HAZLEHURST,330.28775097052744,0.317,4178602.9,1174.90906,47,58,10,700.6895999999999,433.656,112843.167,82.4876951754386,4407376.324,3221.7663187134503,5523899.05,4037.937902046784,12229640,8939,5442692,3978,Town,89900,37137,661335,413062.27066,132461,1493.4838815789476,0.008581570282875229,395,68.4,0.11219999999999997,153.48959999999997,7934400,163560,420500,98600,682660,1015999.9199999999,19836,455880,114550,10623601.483252445,7765.790557933074,3159608.676,2868372.4004781605,2868372.4004781605,2096.7634506419304,7755229.082774285,-2574320.279521839,3978.576520467836,-1881.8130698259056,188244.08277428523,137.60532366541338,5750.739130434783,5936.173913043478,185.43478260869506,589.5082082850952,1450,860.4917917149048,252.7881679389313,870,617.2118320610687
2500,HINDS COUNTY,2403606.929999996,483.817820048308,107300,0,0,5272.285718115942,2801860,33476825.19,6738.491382850242,25730985,7745840.19,12272488.312,7745840.19,4968,7.8649570458118365,25479863,5128.796900161031,5179.344806763285,28688297,5774.6169484702095,86,329,320,326,362,309,380,399,367,391,452,434,352,399,0.3017,1212,74,50,0,56,19,5,42,112,16,101,5,225,5,0,631,438303154,28401203.2,HINDS COUNT,631.6626996259956,0.204,10854508.62,4539.08777,393,222,21,1498.8456,1013.472,438303.154,88.22527254428341,16415808.688,3304.309317230274,20942456.81,4215.470372383253,54132188,10896,28401203,5716,Rural,149700,60334,2923802,1502575.543721,0,1559.1465760869569,0,1637,248.4,0,0,28814400,1367640,1609500,207060,3184200,2173326.12,72036,1054440,474730,35880432.12,7222.30920289855,12272488.311999999,9687716.6724,9687716.6724,1950.0234847826086,26192715.4476,-18713486.527599998,5716.828341384863,-3766.8048566022544,-2495581.5524000004,-502.331230354268,4597.172955974843,5006.603773584906,409.43081761006306,1002.4885443310504,1450,447.51145566894957,0,870,870
7611,HOLLANDALE,248528.90732902102,453.5199038850742,0,157950.58799999996,67604.40332902131,6439.37939293617,2801890,4220933.064,7702.432598540147,3280251,940682.064,940682.064,987459.12,548,2.8730051809394253,3244025,5919.753649635037,5985.859489051095,3657256,6673.824817518248,40,33,29,32,45,49,36,30,46,47,47,35,37,32,0.7313,20,0,5,0,5,5,0,5,23,0,11,0,23,0,5,83,33595788,1852461.6,HOLLANDALE,190.74104134431565,0.366,4336243.53,486.931409,51,26,5,400.7524,200.568,33595.788,61.306182481751826,2716573.936,4957.251708029196,2669796.88,4871.892116788321,5132712,9366,1852461,3380,Rural,67300,32604,335956,153181.21180896,0,1716.5731094890511,0.021269948190605747,151,27.400000000000002,0.33129999999999993,181.55239999999995,3178400,177480,188500,49300,415280,581090.98,7946.000000000001,17400,43790,4469461.971329021,8155.952502425222,940682.064,1206754.7322588358,940682.064,1716.5731094890511,3528779.907329021,-911779.5360000001,3380.404379562044,-1663.831270072993,-128476.09267097898,-234.44542458207798,4097.024390243902,5064.390243902439,967.3658536585363,382.23404727946735,1449.9999999999998,1067.7659527205324,0,870,870
4720,HOLLY SPRINGS,679306.0899999999,662.7376487804877,31900,26752.499999999975,0,5686.210365853659,2801950,7304756.41,7126.591619512195,5614588,1690168.41,2606961.5039999997,1690168.41,1025,5.711054768038826,5870114,5726.940487804878,5477.646829268293,6259883,6107.202926829268,17,75,87,90,88,68,73,85,63,71,96,86,72,43,0.43,342,22,15,0,23,5,5,5,65,5,25,0,40,0,5,191,93105768,5233731.99,HOLLY SPRIN,179.47647879972698,0.32899999999999996,4063947.91,930.405556,128,55,10,440.75,337.22499999999997,93105.768,90.83489560975607,3652921.496,3563.825849756098,4569714.59,4458.258136585366,10848319,10583,5233731,5106,Town,88900,36744,977384,314546.69534688,162627,1648.9447902439026,0,297,51.25,0.02999999999999997,30.74999999999997,5945000,445440,398750,98600,942790,639087.5,14862.5,297540,86130,7984062.5,7789.329268292683,2606961.5039999997,2155696.875,2155696.875,2103.118902439024,5828365.625,-3078035.115,5106.079990243903,-3002.961087804879,-431517.375,-420.9925609756092,5064.165803108808,4884.922279792746,-179.24352331606224,713.6623830899149,1450,736.3376169100851,475.5175438596491,870,394.4824561403509
2611,HOLMES CONSOL,2710979.967289973,1065.6367795951155,7250,366961.82399999985,241609.95928997087,6479.101795318385,2800195,17320682.856,6808.444518867924,13771855,3548827.856,3548827.856,4145763.87,2544,3.362543650442076,13537544,5321.361635220126,5413.465015723271,15354681,6035.645047169812,101,188,176,170,203,134,161,223,174,202,213,220,188,182,0.5658,878,5,5,0,29,32,5,24,90,5,32,0,91,0,5,312,126743852,6609648.9,HOLMES CONS,756.5701042023762,0.433,20286509.1,2157.23261,210,98,10,1439.3952,1101.552,126743.852,49.820696540880505,11805853.144,4640.665544025157,11208917.13,4406.020884433962,20381503,8011,6609648,2598,Rural,60400,21504,1299812,731409.31790552,344157,1394.9795031446542,0.016374563495579243,803,127.2,0.16579999999999995,421.79519999999985,14755200,730800,710500,98600,1539900,2087123.0399999998,36888,763860,232870,20031662.82328997,7874.081298463039,3548827.856,5408548.962288293,3548827.856,1394.9795031446542,16482834.967289971,-3060821.044,2598.132429245283,-1203.152926100629,1128153.9672899712,443.45674814857284,4087.4591194968552,4842.452830188679,754.9937106918242,508.1365547873996,1450,941.8634452126005,391.9783599088838,870,478.0216400911162
2700,HUMPHREYS COUNTY,626306.6392851137,518.8953100953722,0,247716.23099999997,148183.96328511194,6479.489232216332,2802040,9611035.44,7962.746843413422,7387242,2223793.44,2416598.5760000004,2223793.44,1207,2.883267672983574,7296613,6045.246893123446,6120.333057166528,8236272,6823.754763877382,0,78,63,66,105,56,79,108,106,114,121,123,95,68,0.6359,641,0,5,0,5,5,5,21,67,5,22,0,62,5,5,210,86307092,3266347.3,HUMPHREYS C,418.6222497861288,0.433,4763728.07,1194.56182,134,58,15,767.5313,522.631,86307.092,71.50546147473074,5819673.424,4821.601842584921,6012478.5600000005,4981.340977630489,10653589,8826,3266347,2706,Town,69100,28962,906418,367458.94291916,234793,1842.413786246893,0.02116732327016426,407,60.35,0.2359,284.7313,7000600,466320,420500,147900,1034720,1112920.385,17501.5,557670,118030,10237342.079285113,8481.642153508794,2416598.5760000004,2764082.3614069805,2416598.5760000004,2002.1529212924609,7820743.503285113,-849748.7239999995,2706.1700911350454,-704.0171698425845,-415528.4967148872,-344.26553166104986,4378.830917874396,4998.647342995169,619.8164251207736,478.75434255145035,1450,971.2456574485497,366.29173166926677,870,503.70826833073323
