dist_id,district,total_enroll,model_9_total_funding,model_9_pp_funding,model_9_diff_total,model_9_diff_pp,model_9_state_share,model_9_state_share_pp,model_9_state_total_diff,model_9_local_share_total,model_9_local_share_pp,model_9_local_mills_total,base_funding,sped_tier_1_funding,sped_tier_2_funding,sped_tier_3_funding,total_sped_funding,ell_funding,ed_funding,gifted_funding,vocational_funding,conc_pov_funding,sparsity_funding,local_share_expected_total,maep_rev_fy24,maep_fy24_pp,maep_rev_full_funding_fy24,maep_full_pp_fy24,maep_expected_local_total,maep_expected_local_pp,sped_pp_diff,ed_pp_diff,ell_enroll,gifted_enroll,econ_dis_enroll,stpov_enroll,sped_tier_1_enroll,sped_tier_2_enroll,sped_tier_3_enroll,local_funding_28_mill,local_funding_27_pct,totalEnrollment,direct_cert_pct,vocational_enroll,assessed_value,stpov_rate,ada_addon_fy24,teacher_addon_fy24,mill_1_value,mill_1_value_pp,local_share_mills,local_share_pp_mills,local_share_pct,sped_funding,at_risk_funding,cte_funding,local_share_expected_pp,sparsity_weight_adj,conc_pov_weight_adj,conc_pov_adm,sparsity_weighted_enroll,cte_pp_funding
130,NATCHEZ-ADAMS,2842,25730878.941842213,9053.792731119709,2662440.9218422137,936.8194651197091,18783541.627544817,6609.268693717388,997609.1775448173,6947337.314297398,2444.5240374023215,8975601.04,18757200,1255320,1551000,168300,2974620,17160,2655180,46893,583440,228462.69600000005,467923.24584221595,5282505.572,17785932.45,6258.245056,19564835.45,6884.178554,23068438.02,8116.973266,1366.3903846153844,1363.2947924683072,13,142.1,1341,1009,317,188,15,8975601.04,5282505.572,2842,0.4718,884,320557180,0.355,654711.54,1653340.91,320557.18,112.7928149,10589234.41,3725.979736,14282329.88,2264097,827001.6833,271731,1858.72821,0.01852211006,0.12180000000000002,346.15560000000005,3827.72056,307.38800904977376
5000,NESHOBA COUNTY,3038,26193335.48749933,8621.901082126178,454984.28749933094,149.76441312617862,22694698.24749933,7470.275920835857,454984.28749933094,3498637.24,1151.6251612903227,3498637.24,20050800,1556280,1171500,235620,2963400,6600,1700820,50127,844800,0,576788.4874993319,3498637.24,22239713.96,7320.511508,24551399.96,8081.435142,25738351.2,8472.136669,607.5989208633091,928.0881383003493,5,151.9,859,854,393,142,21,3498637.24,6628877.989,3038,0.2827,1280,124951330,0.281,692577.75,1433615.21,124951.33,41.12947005,21052762.72,6929.80998,17922521.97,2625575,903592.2892,304320,1151.625161,0.022516246530000002,0,0,3881.2949999999996,237.75
4111,NETTLETON,1112,9264948,8331.787769784172,475882.3420000002,427.95174678417243,8009903.132,7203.150298561151,475882.3420000002,1255044.868,1128.6374712230215,1255044.868,7339200,502920,478500,56100,1037520,14520,584100,18348,271260,0,0,1255044.868,7534020.79,6775.198552,8295780.79,7460.234523,8789065.658,7903.836023,1585.9473684210525,828.5167671186441,11,55.6,295,247,127,58,5,1255044.868,2239860.813,1112,0.2651,411,44823031,0.222,258518.73,647574.06,44823.031,40.30848112,7040735.922,6331.597052,6055919.977,736190,339687.5537,96437,1128.637471,0,0,0,1403.78,234.63990267639903
7320,NEW ALBANY,2114,17740371,8391.85004730369,1112788.25,526.3898993036892,14734263.028,6969.850060548723,1112788.2480000015,3006107.972,1421.9999867549668,3006107.972,13952400,1009800,1014750,56100,2080650,250800,920700,34881,500940,0,0,3006107.972,13621474.78,6443.460161,15000366.78,7095.726954,16627582.75,7865.460148,1031.9895561357707,651.6274623655913,190,105.7,465,476,255,123,5,3006107.972,4050099.031,2114,0.2201,759,107360999,0.225,482677.38,1141325.4,107360.999,50.78571381,11994258.81,5673.726967,10950267.75,1685398,617693.23,414684,1421.999987,0,0,0,2687.935,546.3557312252965
5100,NEWTON COUNTY,1688,14292663.031584475,8467.217435772793,744567.9815844744,441.0947757727927,12230152.651584474,7245.3510969102335,744567.9815844744,2062510.3800000001,1221.8663388625594,2062510.3800000001,11140800,443520,1047750,112200,1603470,0,653400,27852.000000000004,339900,0,527241.031584475,2062510.38,11485584.67,6804.256321,12654967.67,7497.018762,13548095.05,8026.12266,1333.9558232931722,471.39986878787863,0,84.4,330,397,112,127,10,2062510.38,3416841.271,1688,0.1954,515,73661085,0.235,386375.64,924635.03,73661.085,43.63808353,10592457.29,6275.1524230000005,9238126.399,1271315,497838.0433,194110,1221.866339,0.03830184295,0,0,2085.67,376.9126213592233
5130,NEWTON MUNICIPAL,816,7357711.498148857,9016.803306554972,394135.534148857,483.0092325549722,5371129.393648665,6582.266413785129,1356.193648665212,1986582.1045001915,2434.5368927698423,2037048.356,5385600,273240,495000,168300,936540,0,675180,13464.000000000002,163020,36352.80000000001,147554.69814885678,1593802.764,5369773.2,6580.604412,5902973.2,7234.035784,6963575.964,8533.794074,1994.2569444444443,1259.0338058651027,0,40.800000000000004,341,283,69,60,15,2037048.356,1593802.764,816,0.4175,247,72751727,0.347,185357.46,545151.74,72751.727,89.15652819,3865924.844,4737.652995,4309170.436,649367,245849.4722,167684,1953.189662,0.020464839010000003,0.0675,55.080000000000005,1092.4479999999999,678.8825910931174
5411,NORTH PANOLA,1219,11155972.982260745,9151.741576916116,1497464.3562607449,1228.4367159161166,8700836.186260745,7137.683499803728,1252196.9062607447,2455136.796,2014.0580771123873,2455136.796,8045400,356400,627000,56100,1039500,6600,1197900,20113.5,308880,117382.38600000004,420197.09626074426,2209869.346,7448639.28,6110.450599,8184701.28,6714.275045,9658508.626,7923.304861,829.0760233918127,1374.5634348760332,5,60.95,605,499,90,76,5,2455136.796,2209869.346,1219,0.4959,468,87683457,0.409,277685.58,766625.7,87683.457,71.93064561,5729564.484,4700.216968,5974831.934,897728,366289.1219,287541,1812.854262,0.03913989084,0.14590000000000003,177.85210000000004,1626.6327099999999,614.4038461538462
5711,NORTH PIKE,2245,18863542.5,8402.46881959911,1168051.4899999984,520.2901955991092,16494984.28,7347.431750556792,1168051.4900000002,2368558.22,1055.0370690423163,2368558.22,14817000,1116720,940500,112200,2169420,0,1425600,37042.5,414480,0,0,2368558.22,15326932.79,6827.141555,16901632.79,7528.566944,17695491.01,7882.178624,1025.8128078817736,1079.0548497222221,0,112.25,720,595,282,114,10,2368558.22,4563440.853,2245,0.3206,628,84591365,0.265,517504.94,1108270.85,84591.365,37.67989532,14533074.57,6473.529875,12338191.94,1752940,648680.5082,289277,1055.037069,0,0,0,2858.1125,460.63216560509557
5200,NOXUBEE COUNTY,1397,13259023.01101687,9491.068726568983,2139384.9810168706,1531.4137275689827,11009813.447016869,7881.040405881796,2139384.977016868,2249209.5640000002,1610.028320687187,2249209.5640000002,9220200,328680,709500,168300,1206480,35640,1544400,23050.500000000004,287760,192148.96800000002,749343.54301687,2249209.564,8870428.47,6349.626679,9783962.47,7003.552233,11119638.03,7959.654999,1075.157608695652,1458.6777078205128,27,69.85000000000001,780,545,83,86,15,2249209.564,2641669.867,1397,0.5584,436,80328913,0.39,314383.08,607567.39,80328.913,57.50101145,7534752.906,5393.523913,7142292.603,1008651,406631.3879,178319,1610.028321,0.059901098580000006,0.20840000000000003,291.13480000000004,1895.40598,408.98853211009174
3021,OCEAN SPRINGS,5861,47458306.5,8097.305323323665,2060034.3500000015,351.4817183236655,37902354.444,6466.875011772735,2060034.3539999947,9555952.056,1630.43031155093,9555952.056,38682600,2174040,3118500,628320,5920860,139920,1387980,96706.5,1230240,0,0,9555952.056,35842320.09,6115.393293,39463825.09,6733.292116,45398272.15,7745.823605,2185.7792472024416,-482.9114721825963,106,293.05,701,651,549,378,56,9555952.056,10655232.77,5861,0.1196,1864,341284002,0.111,1360846.33,2971475.76,341284.002,58.22965398,29907873.03,5102.861804,28808592.32,3772239,1726500.942,666214,1630.430312,0,0,0,7190.652499999999,357.4109442060086
921,OKOLONA,511,4758093.875366799,9311.33830795851,39027.639366799034,76.37502795850924,3971686.6593667986,7772.380938095496,39027.63936679857,786407.216,1538.9573698630138,786407.216,3372600,209880,338250,56100,604230,0,431640,8431.5,149160,25631.760000000006,166400.61536679912,786407.216,3932659.02,7696.00591,4326340.02,8466.418826,4719066.236,9234.96328,1822.9595959595954,1281.3574779816513,0,25.55,218,161,53,41,5,786407.216,1168111.805,511,0.426,226,28085972,0.315,118974.71,388343.31,28085.972,54.96276321,3539932.804,6927.461456,3158228.215,423757,152304.0698,245521,1538.95737,0.036239488560000005,0.07600000000000001,38.836000000000006,695.7111,1086.3761061946902
