ELSI Export,,,,,,
,,,,,,
National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/,,,,,,
,,,,,,
This is a District based table with the following filters applied: State(s) (All Years): MISSISSIPPI,,,,,,
,,,,,,
Agency Name,State Name [District] Latest available year,Latitude [District] 2021-22,Longitude [District] 2021-22,Agency Type [District] 2021-22,Agency Name [District] 2021-22,Agency ID - NCES Assigned [District] Latest available year
ROGER AMOS MCMURTRY ADM,Mississippi,30.496893,-89.173454,5-State agency providing elementary and/or secondary level instruction,ROGER AMOS MCMURTRY ADM,2800183
SCOTT CO SCHOOL DIST,Mississippi,32.363495,-89.480777,1-Regular local school district that is NOT a component of a supervisory union,SCOTT CO SCHOOL DIST,2803900
SENATOBIA MUNICIPAL SCHOOL DIST,Mississippi,34.622368,-89.96368,1-Regular local school district that is NOT a component of a supervisory union,SENATOBIA MUNICIPAL SCHOOL DIST,2803930
SIMPSON CO SCHOOL DIST,Mississippi,31.967102,-89.883236,1-Regular local school district that is NOT a component of a supervisory union,SIMPSON CO SCHOOL DIST,2803990
SMITH CO SCHOOL DIST,Mississippi,32.033124,-89.521669,1-Regular local school district that is NOT a component of a supervisory union,SMITH CO SCHOOL DIST,2804020
SOUTH DELTA SCHOOL DISTRICT,Mississippi,32.899828,-90.878865,1-Regular local school district that is NOT a component of a supervisory union,SOUTH DELTA SCHOOL DISTRICT,2803960
SOUTH PANOLA SCHOOL DISTRICT,Mississippi,34.319924,-89.94984,1-Regular local school district that is NOT a component of a supervisory union,SOUTH PANOLA SCHOOL DISTRICT,2804050
SOUTH PIKE SCHOOL DIST,Mississippi,31.146073,-90.463971,1-Regular local school district that is NOT a component of a supervisory union,SOUTH PIKE SCHOOL DIST,2804080
SOUTH TIPPAH SCHOOL DIST,Mississippi,34.724893,-88.94296,1-Regular local school district that is NOT a component of a supervisory union,SOUTH TIPPAH SCHOOL DIST,2804110
STARKVILLE- OKTIBBEHA CONS DIST,MISSISSIPPI,33.461698,-88.822105,1-Regular local school district that is NOT a component of a supervisory union,STARKVILLE- OKTIBBEHA CONS DIST,2800189
