ID,GEOID,Name,Short Name,Total Enrollment (FY23),Average Daily Attendance (FY23),Revenue: MAEP (FY24),Revenue: MAEP PP (FY24),Revenue: Local (FY22),Revenue: Local PP (FY22),Revenue: Total (MAEP + Local),Revenue: Total PP (MAEP + Local),Revenue: Federal (FY22),Revenue: Federal PP (FY22),Projected Revenue: State Formula,Projected Revenue: State Formula PP,Projected Revenue: Total (State + Local),Projected Revenue: Total PP (State + Local),Change in Revenue: Total (State + Local),Change in Revenue: Total PP (State + Local),Assessed Value (FY22),Assessed Value PP (FY22),Direct Certification % (FY24),Census Poverty % (FY21),ELL % (FY23),Vocational % (FY23),SPED Tier 1 %,SPED Tier 2 %,SPED Tier 3 %,Students per Square Mile,Calculations: Weighted Enrollment,Calculations: Formula Amount,Calculations: Formula Amount PP,Calculations: Mills Rule Expectation,Calculations: Maximum % Expectation,Calculations: Sparsity Multiplier %
4211,2800198,GREENWOOD-LEFLORE CONS,GREENWOOD-L,4030,3442,23630794,5863,12187376,3024,35818170,8887,16341008,4054,26363056,6541,38550433,9565,2732262,677,289602474,71861,0.59,0.47,0.03,0.31,0.079,0.042,0.004,6.8,5428,34471926,8553,8108869,9307420,0
2220,2801680,GRENADA,GRENADA,3864,3383,23980788,6206,9572418,2477,33553207,8683,15370924,3977,25386877,6570,34959295,9047,1406088,363,237606404,61492,0.3,0.34,0,0.3,0.061,0.106,0.009,9.2,5045,32039856,8291,6652979,8650761,0
2421,2801710,GULFPORT,GULFPORT,6113,5519,36836092,6025,31515294,5155,68351386,11181,22103133,3615,39392612,6444,70907906,11599,2556520,418,434496601,71077,0.45,0.33,0.05,0.27,0.094,0.064,0.004,271.2,8119,51558517,8434,12165904,13920799,0
2300,2801740,HANCOCK COUNTY,HANCOCK COU,4060,3765,25469273,6273,19348284,4765,44817557,11038,10670942,2628,23669866,5830,43018150,10595,-1799406,-443,429008462,105667,0.23,0.21,0,0.32,0.119,0.059,0.004,10.3,5106,32424474,7986,12012236,8754608,0
2400,2801770,HARRISON COUNTY,HARRISON CO,14355,12999,84779476,5905,56565734,3940,141345211,9846,30180940,2102,86484774,6024,143050508,9965,1705297,118,1083351007,75468,0.35,0.23,0.04,0.24,0.084,0.068,0.004,31.4,18396,116818602,8137,30333828,31541022,0
1820,2801800,HATTIESBURG,HATTIESBURG,3667,3148,21645436,5902,23641465,6447,45286902,12349,16408732,4474,23187133,6323,46828598,12770,1541696,420,359925572,98152,0.54,0.34,0.06,0.4,0.068,0.059,0.008,151.7,5002,31763196,8661,10077916,8576062,0
1520,2801830,HAZLEHURST,HAZLEHURST,1368,1172,7823792,5719,5442692,3978,13266484,9697,4178602,3054,8427583,6160,13870276,10139,603791,441,112843167,82487,0.51,0.32,0.1,0.38,0.034,0.042,0.007,4.1,1818,11544635,8439,3159608,3117051,0.009
2500,2801860,HINDS COUNTY,HINDS COUNT,4968,4388,29652487,5968,28401203,5716,58053690,11685,10854508,2184,28345450,5705,56746653,11422,-1307036,-263,438303154,88225,0.3,0.2,0.01,0.24,0.079,0.045,0.004,7.9,6114,38829384,7815,12272488,10483933,0
7611,2801890,HOLLANDALE,HOLLANDALE,548,522,3731608,6809,1852461,3380,5584070,10189,4336243,7912,4017726,7331,5870187,10712,286117,522,33595788,61306,0.73,0.37,0,0.04,0.093,0.047,0.009,2.9,780,4958408,9048,940682,1338770,0.021
4720,2801950,HOLLY SPRINGS,HOLLY SPRIN,1025,859,6488521,6330,5233731,5106,11722253,11436,4063947,3964,6350924,6196,11584656,11302,-137597,-134,93105768,90834,0.43,0.33,0.02,0.33,0.125,0.054,0.01,5.7,1370,8699896,8487,2606961,2348972,0
